Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
Inox Green,543667,INOXGREEN,Engineering - Turnkey Services,179.92,34.37,39.80,3402622,5306892,4940480,188.20,60.40,188.20,38.40,2.84,6.08,6.97,160.04,127.78,159.23,127.26,63.86,4.83,4.47,4.28,4.14,150.76,,,3142571,,,5282.56
Inox India,544046,INOXINDIA,Packaging,1292.75,-4.22,29.46,251434,192743,212358,1507.20,801.55,1507.20,801.55,-1.71,0.87,-10.34,1314.89,1182.34,1315.79,1181.23,45.33,-10.54,-9.78,-7.49,-6.73,,,,869966,,,11733.45
Inox Wind,539083,INOXWIND,Electric Equipment,179.38,18.46,35.69,16169298,16112591,12512106,190.00,46.50,190.00,4.00,0.76,5.38,12.96,156.46,125.11,155.53,124.56,65.49,7.35,7.02,5.52,5.06,236.23,79.65,70.80,5045175,26.71,,23387.46
Inox Wind Energy,543297,IWEL,Power Generation And Supply,8564.00,19.25,45.37,17172,16411,11646,8789.80,2351.00,8789.80,208.25,0.61,3.70,8.04,7561.70,5941.50,7520.79,5915.14,64.10,321.34,312.94,265.63,251.71,212.90,111.19,,12590,,,10317.54
Insecticid.India,532851,INSECTICID,Pesticides / Agrochemicals - Indian,759.50,32.12,28.02,111131,94568,125493,832.60,442.15,832.60,11.69,-4.76,-1.85,8.51,696.07,607.14,693.48,605.61,54.95,29.22,32.51,31.40,31.95,59.61,11.95,12.51,66375,6.49,14.51,2247.96
Insolation Ener,543620,,Electric Equipment,3126.00,76.32,183.78,33011,32660,35600,3569.00,205.00,3569.00,72.55,-1.83,-10.59,-0.04,2843.35,1783.38,2831.82,1769.89,51.42,103.77,120.35,139.36,148.25,1202.77,,,57722,,,6512.08
Inspire,,INSPIRE,Entertainment / Electronic Media Software,31.85,-31.14,-40.47,11412,10800,8000,72.10,29.10,72.10,29.10,-0.47,-0.78,-5.21,34.46,45.96,34.57,46.10,42.99,-0.58,-0.58,-0.64,-0.66,,,,53889,,,43.35
Inspirisys Sol.,532774,INSPIRISYS,Computers - Software - Medium / Small,184.55,59.85,51.21,85869,161509,137744,192.90,57.10,192.90,16.45,-0.64,16.11,56.48,132.02,97.18,129.87,96.30,80.43,16.92,16.18,13.02,12.04,144.76,41.10,37.43,47651,23.32,16.36,731.13
Intec Capital,526871,,Finance & Investments,17.10,-1.16,-5.58,3166,2576,3960,35.84,15.07,119.00,0.85,4.27,4.59,1.30,17.82,18.25,17.85,18.27,50.23,-0.40,-0.48,-0.64,-0.70,-2.17,-1.88,-13.10,4923,-12.60,-16.19,31.41
Integ. Capital,539149,,Miscellaneous,4.16,-8.97,-8.97,13624,15466,10646,6.57,3.42,13.33,0.99,-3.48,4.00,-2.58,4.13,4.16,4.12,4.16,53.10,-0.01,-0.02,-0.04,-0.05,10.93,5.73,32.99,18908,1.11,,14.80
Integ. Hitech,532303,,Computers - Software - Medium / Small,6.99,-1.96,-23.44,6212,2645,4880,14.82,6.08,14.82,0.63,1.90,3.40,0.58,6.86,6.62,6.86,6.61,54.36,-0.01,-0.03,-0.02,-0.02,,,,8146,,3.74,6.99
Integ. Industrie,531889,,Trading,264.10,-2.35,0.81,18281,29869,52216,365.40,81.83,365.40,0.29,0.08,1.44,10.04,257.69,237.75,257.42,237.48,60.58,3.62,3.11,-0.17,-1.12,210.05,461.73,238.99,10099,130.24,67.71,505.96
Integ. Proteins,519606,,Solvent Extraction,32.35,119.03,107.77,2256,3252,3816,32.35,10.39,32.35,1.62,5.00,27.51,139.63,19.73,16.49,19.22,16.33,91.19,3.76,3.40,2.49,2.17,211.06,111.90,,728,,,11.89
Integra Capital,531314,,Finance & Investments,20.70,26.61,35.03,1579,2655,1829,22.19,13.30,49.60,2.35,-4.61,-1.85,1.97,19.63,18.82,19.58,18.80,52.78,0.45,0.49,0.50,0.51,15.00,10.03,,1065,-4.22,0.39,9.73
Integra Engg.,505358,,Engineering,272.15,-0.95,-9.07,53555,58149,116009,328.55,198.10,328.55,3.15,2.04,7.08,-2.30,258.98,251.98,258.44,251.77,59.50,-0.47,-1.96,-1.54,-1.80,18.07,53.50,50.07,42421,29.34,31.17,935.25
Integra Essentia,535958,ESSENTIA,Trading,3.98,-5.91,-34.21,6762534,10178814,7200375,7.71,2.51,7.71,0.02,4.19,2.31,4.46,3.91,3.91,3.91,3.91,53.68,0.00,-0.01,-0.02,-0.02,18.81,75.21,150.94,7843553,37.42,25.83,424.94
Integra Switch,517423,,Electric Equipment,151.50,17.58,227.99,1111,1370,2522,202.05,5.47,202.05,3.57,4.99,5.98,-2.70,149.32,97.17,149.23,96.62,49.86,-4.63,-5.47,-4.51,-4.49,,,,1648,,,48.29
Integra Tele.,536868,,Computers - Software - Medium / Small,5.60,-39.20,-49.00,22050,17285,17285,12.62,5.60,70.90,5.60,-4.92,-4.92,-18.37,8.82,10.54,8.95,10.59,13.29,-0.94,-0.86,-0.63,-0.55,-48.95,-50.95,-14.04,20704,-26.75,-20.75,5.91
Integrated Perso,,IPSL,Miscellaneous,184.00,9.72,-10.24,19143,0,0,221.75,114.00,221.75,65.00,15.00,0.00,26.90,167.90,140.43,167.24,139.99,56.51,-0.13,-1.93,-2.80,-3.46,52.38,,,10958,,,132.60
Intellect Design,538835,INTELLECT,Computers - Software - Medium / Small,946.15,-9.73,-0.13,336980,307257,137676,1199.00,620.00,1199.00,43.80,-0.97,-5.39,-12.83,1016.36,922.60,1019.23,922.37,29.02,-21.40,-18.17,-8.38,-5.13,36.74,9.68,34.91,596357,36.42,,12984.10
