Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Adhbhut Infra.,539189,,Construction,27.08,1.32,0.52,0.24,0.76,0.26,0.50,0.06,0.44,0.04,0.39,0.00,0.39,39.39,29.55,11.00,0.35,29.79
Adinath Exim Res,532056,,Finance & Investments,23.49,0.25,0.21,0.00,0.21,0.00,0.21,0.00,0.21,-0.14,0.35,0.00,0.35,84.00,140.00,4.77,0.81,10.15
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,30.67,0.00,-0.32,0.52,0.20,0.02,0.18,0.00,0.18,-0.10,0.27,0.00,0.27,,,6.99,0.40,20.89
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,165.60,78.45,32.47,0.97,33.44,1.85,31.59,18.54,13.05,3.61,9.44,0.00,9.44,41.39,12.03,,1.67,935.79
Aditya AMC,543374,ABSLAMC,Finance & Investments,686.00,311.16,169.95,77.75,247.70,6.61,241.09,0.79,240.30,55.73,184.57,0.00,184.57,54.62,59.32,,6.41,19763.64
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,335.50,2879.73,192.80,38.76,231.56,348.48,-116.92,142.23,-259.15,-64.61,-186.94,0.00,-194.54,6.70,-6.76,938.29,-1.97,34090.21
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,211.59,7044.97,2555.10,70.23,2625.33,42.80,2582.53,1671.01,911.52,245.82,648.76,0.00,665.70,36.27,9.45,,2.50,55060.03
Aditya Consumer,540146,,Trading,79.99,45.97,2.96,0.12,3.82,0.99,2.83,0.43,2.40,0.08,2.32,0.00,0.94,8.15,5.11,14.63,0.64,117.06
Aditya Ispat,513513,,Steel - Medium / Small,11.20,19.33,1.13,0.03,1.16,0.24,0.92,0.59,0.33,0.15,0.17,0.00,0.17,5.85,0.88,5.35,0.32,5.99
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,24.95,16.21,1.40,0.03,1.43,0.69,0.74,0.45,0.29,-0.02,0.31,0.00,0.31,8.64,1.91,,0.19,41.77
