Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Sarthak Global,530993,,Finance & Investments,15.08,2.40,-0.05,0.87,0.82,0.01,0.81,0.87,-0.06,-0.04,-0.02,0.00,-0.02,-2.08,-0.83,3.00,-0.07,4.52
Sarthak Industri,531930,,Trading,23.87,19.99,0.26,1.04,1.30,0.18,1.12,0.30,0.82,0.21,0.61,0.00,0.61,1.30,3.05,6.97,0.66,22.18
Sarthak Metals,540393,SMLT,Steel - Medium / Small,188.37,80.82,7.84,0.62,8.46,0.44,8.02,0.20,7.82,2.04,5.78,0.00,5.78,9.70,7.15,,4.22,257.87
Sarup Industries,514412,,Leather / Leather Products,49.43,1.09,-0.43,0.01,-0.42,0.25,-0.67,0.61,-1.28,0.00,-1.28,0.00,-1.28,-39.45,-117.43,3.25,-3.94,16.06
Sarveshwar Foods,543688,SARVESHWAR,Food - Processing - Indian,9.09,129.81,11.24,0.86,12.10,1.69,10.41,7.74,2.67,0.86,1.81,0.00,1.81,8.66,1.39,24.57,0.02,889.74
Sarvottam Finve.,539124,,Finance & Investments,27.41,0.57,0.45,0.00,0.45,0.00,0.45,0.00,0.45,-0.07,0.52,0.00,0.52,78.95,91.23,7.50,0.69,20.56
Sasken Technol.,532663,SASKEN,Computers - Software - Medium / Small,1668.30,98.49,9.29,21.51,30.80,1.86,28.94,0.08,28.86,3.16,25.70,0.00,25.70,9.43,26.09,,17.08,2515.45
Sastasundar Ven.,533259,SASTASUNDR,Finance & Investments,311.35,336.05,9.26,12.11,21.37,2.09,19.28,0.25,19.03,-5.49,-0.28,0.00,-0.28,2.76,-0.08,,0.41,990.40
Sat Industries,511076,SATINDLTD,Steel - Medium / Small,102.07,107.07,10.86,7.03,17.89,2.10,15.79,0.93,14.86,3.75,9.63,0.00,11.11,10.14,10.38,22.62,0.85,1154.26
Satchmo Holdings,533202,,Construction,3.71,12.16,-32.02,64.35,32.33,0.02,32.31,0.35,31.96,0.21,31.75,0.00,31.75,-263.32,261.10,,2.18,54.10
Sati Poly,,SATIPOLY,Packaging,207.50,,,,,,,,,,,,,,,,,102.65
Satia Industries,539201,SATIA,Paper,124.44,520.64,136.17,2.78,138.95,112.30,26.65,9.98,16.67,-29.60,46.28,0.00,46.28,26.15,8.89,10.00,4.63,1244.40
Satin Creditcare,539404,SATIN,Finance & Investments,215.57,462.34,306.02,1.38,307.40,4.37,303.03,185.48,117.55,29.67,87.87,0.00,87.87,66.19,19.01,,9.93,2381.42
Satra Properties,508996,,Construction,0.95,0.00,-0.07,0.00,-0.07,0.02,-0.09,0.02,-0.11,0.00,-0.11,0.00,-0.11,,,35.67,-0.01,16.94
Sattrix,544189,,Computers - Software - Medium / Small,162.90,,,,,,,,,,,,,,,,,110.77
Saumya Cons,539218,,Finance & Investments,201.00,0.13,-2.64,0.00,-2.64,0.04,-2.68,0.00,-2.68,-0.24,-2.44,0.00,-2.44,-2030.77,-1876.92,6.91,-3.53,138.83
Saurashtra Cem.,502175,SAURASHCEM,Cement - North India,131.39,471.42,29.81,3.35,33.16,9.84,23.32,1.95,21.37,7.06,14.31,0.00,14.31,6.32,3.04,110.56,2.03,1458.20
Savani Financial,511577,,Finance & Investments,20.56,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,55.85
Saven Tech.,532404,,Computers - Software - Medium / Small,61.98,3.43,0.69,0.11,0.80,0.06,0.74,0.00,0.74,0.19,0.55,0.00,0.55,20.12,16.03,,0.51,67.43
Savera Industrie,512634,,Hotels,154.00,16.25,3.78,0.64,4.42,0.69,3.73,0.07,3.66,0.98,2.69,0.00,2.69,23.26,16.55,11.93,2.26,183.72
Savita Oil Tech,524667,SOTL,Petrochemicals,628.75,920.32,69.00,17.09,86.09,4.68,81.41,8.52,72.89,17.25,55.64,0.00,55.64,7.50,6.05,,8.05,4344.69
Sawaca Business,531893,,Trading,0.62,0.48,-0.33,0.22,-0.11,0.03,-0.14,0.00,-0.14,-0.13,-0.01,0.00,-0.01,-68.75,-2.08,10.40,0.00,35.47
Sayaji (Indore),544080,,Hotels,1150.00,22.61,3.55,0.14,3.69,1.41,2.28,0.63,1.65,2.73,-1.08,0.00,-1.08,15.70,-4.78,,,350.36
Sayaji Hot. Pune,544090,,Hotels,858.25,15.78,5.66,0.10,5.76,0.99,4.77,0.61,4.16,1.08,3.07,0.00,3.07,35.87,19.46,,,261.47
Sayaji Hotels,523710,,Hotels,393.45,42.83,12.09,2.36,13.20,2.56,10.64,0.77,11.12,4.25,5.61,1.25,6.86,28.23,13.10,17.52,3.92,689.24
Sayaji Industr,540728,,Miscellaneous,177.00,269.19,2.78,2.85,5.63,3.77,1.86,2.97,-1.11,-0.98,-0.04,0.00,-0.12,1.03,-0.04,3.16,-0.06,111.86
SBC Exports,542725,SBC,Textiles - Products,28.29,49.61,5.14,0.95,6.09,0.35,5.74,1.16,4.58,0.00,4.58,0.00,4.58,10.36,9.23,,0.14,898.09
SBEC Sugar,532102,,Sugar,66.07,220.93,27.80,-2.77,25.03,5.35,19.68,5.08,14.60,-0.13,13.64,0.00,14.73,12.58,6.67,47.69,2.86,314.82
SBEC Systems,517360,,Miscellaneous,49.56,1.07,1.01,0.00,1.01,0.00,1.01,0.26,0.75,-0.13,0.88,0.00,0.88,94.39,82.24,10.00,,49.56
SBFC Finance,543959,SBFC,Finance & Investments,82.60,229.58,154.17,0.34,154.51,3.12,151.39,88.61,62.78,15.82,46.97,0.00,46.97,67.15,20.46,,0.51,8873.02
SBI Cards,543066,SBICARD,Finance & Investments,714.55,3911.88,1280.96,134.23,1415.19,47.56,1367.63,571.07,796.56,203.25,593.31,0.00,593.31,32.75,15.17,,6.27,67957.46
SBI Life Insuran,540719,SBILIFE,Finance & Investments,1744.90,27895.42,424.06,8.58,432.64,0.00,432.64,0.00,432.64,51.60,381.04,0.00,381.04,1.52,1.37,,3.81,174765.15
SBL Infratech,543366,,Construction,37.10,0.08,-0.40,,,,,,,,,,-0.41,,,,-5.05,3.01
SC Agrotech,526081,,Miscellaneous,20.39,0.00,-0.23,0.41,0.18,0.00,0.18,0.00,0.18,0.00,0.17,0.00,0.17,,,6.00,0.28,12.23
Scan Projects,531797,,Trading,70.43,1.45,-0.04,0.00,-0.04,0.01,-0.05,0.01,-0.06,-0.01,-0.06,0.00,-0.06,-2.76,-4.14,4.00,-0.21,20.21
Scan Steels,511672,,Steel - Medium / Small,69.96,227.15,12.03,0.65,12.68,3.84,8.84,2.86,5.98,1.27,4.71,0.00,4.71,5.30,2.07,,0.90,366.26
Scanpoint Geoma,526544,,Computers - Software - Medium / Small,9.61,3.43,0.71,0.12,0.83,0.31,0.52,0.35,0.17,-0.06,0.23,0.00,0.23,20.70,6.71,,0.01,161.55
Scarnose Inter.,543537,,Trading,101.35,21.38,0.00,,,,,,,,,,0.02,,,,0.06,31.93
Schaeffler India,505790,SCHAEFFLER,Bearings,4044.40,1829.14,342.02,30.79,372.81,53.93,318.88,0.84,318.04,80.76,237.28,0.00,237.28,18.70,12.97,31.26,15.18,63215.46
Schneider Elect.,534139,SCHNEIDER,Electric Equipment,804.75,410.51,60.96,3.34,64.90,5.12,59.78,14.34,44.84,0.00,45.44,-0.60,44.84,14.85,11.07,47.82,1.88,19241.57
Scintilla Comm,538857,,Finance & Investments,5.24,0.19,-0.14,0.01,-0.13,0.00,-0.13,0.01,-0.14,-0.03,-0.10,0.00,-0.12,-73.68,-63.16,10.03,-0.10,5.25
Scoobee Garments,531234,,Textiles - Products,75.65,13.98,4.74,0.77,5.51,0.60,4.91,0.73,4.18,0.00,4.18,0.00,4.18,33.91,29.90,13.50,3.10,102.13
SDC Techmedia,535647,,Entertainment / Electronic Media Software,11.14,5.53,1.39,,,,,,,,,,-0.33,,,,-0.51,7.23
Sea TV Network,533268,,Entertainment / Electronic Media Software,8.63,2.39,-1.53,3.46,1.93,0.13,1.80,0.10,1.70,0.00,1.70,0.00,1.70,-64.02,71.13,12.02,1.41,10.37
Seacoast Ship.,542753,,Shipping,6.44,115.50,5.76,0.00,5.76,0.00,5.76,0.56,5.20,3.98,1.22,0.00,1.22,4.99,1.06,33.67,0.02,346.91
Sealmatic India,543782,,Engineering,664.00,32.91,7.15,,,,,,,,,,5.55,,,,6.13,600.92
SEAMEC Ltd,526807,SEAMECLTD,Miscellaneous,1492.25,125.84,26.86,-1.28,25.58,31.44,-5.86,1.20,-7.06,-2.42,-4.64,0.00,-4.64,21.34,-3.69,25.43,-1.90,3794.05
Seasons Textiles,514264,,Textiles - Products,15.97,5.16,1.12,0.05,1.17,0.42,0.75,0.70,0.05,0.12,-0.07,0.00,-0.07,21.71,-1.36,7.49,-0.09,11.96
Secmark Consult.,543234,SECMARK,Computers - Software - Medium / Small,97.95,6.16,-0.01,0.71,0.70,0.71,-0.01,0.14,-0.15,-0.01,-0.13,0.00,-0.13,-0.16,-2.11,,-0.13,101.69
SecUR Credential,543625,SECURCRED,Miscellaneous,6.69,12.00,6.45,0.08,6.53,0.95,5.58,0.59,4.99,1.31,3.68,0.00,3.68,53.75,30.67,,0.90,27.47
SecureKloud Tech,512161,SECURKLOUD,Computers - Software - Medium / Small,36.87,106.55,-23.33,0.10,-23.23,4.62,-27.85,2.51,-30.36,-4.15,-8.18,0.00,-26.22,-21.90,-24.61,16.09,-2.45,123.18
Sejal Glass,532993,SEJALLTD,Glass & Glass Products,353.35,12.21,0.01,0.04,0.05,0.21,-0.16,0.84,-1.00,-9.03,8.03,0.00,8.03,0.08,65.77,,7.95,356.88
SEL Mfg. Co,532886,SELMC,Textiles - Cotton/Blended,56.92,228.31,-23.44,-2.44,-24.91,24.57,-49.48,11.59,-62.04,0.00,-61.07,-0.97,-62.04,-10.27,-26.75,33.13,-18.72,188.60
Selan Expl. Tech,530075,SELAN,Oil Drilling / Allied Services,977.45,28.12,4.98,3.41,8.39,0.69,7.70,0.09,7.61,2.57,5.04,0.00,5.04,17.71,17.92,,3.32,1485.72
Sellwin Traders,538875,,Miscellaneous,24.50,10.03,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.11,0.34,0.00,0.34,4.59,3.39,,0.41,49.64
Semac Consul,505368,SEMAC,Engineering - Turnkey Services,571.70,77.66,5.69,1.35,7.04,0.77,6.27,0.92,5.35,0.60,4.46,0.00,4.75,7.33,6.12,3.07,14.39,175.34
Senco Gold,543936,SENCO,Diamond Cutting / Jewellery,987.30,812.79,67.02,7.53,74.55,13.87,60.68,24.52,36.16,9.51,26.64,0.00,26.64,8.25,3.28,,4.77,7671.73
Senthil Infotek,531980,,Computers - Software - Medium / Small,24.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.05,0.00,12.22
SEPC,532945,SEPC,Engineering - Turnkey Services,20.36,142.23,12.90,7.90,20.80,1.39,19.41,9.34,10.07,30.22,-20.15,0.00,-20.15,9.07,-14.17,971.53,-0.13,3183.61
Sequent Scien.,512529,SEQUENT,Pharmaceuticals - Indian - Bulk Drugs & Formln,139.32,366.67,-3.37,-59.86,-1.63,14.71,-16.34,10.87,-88.81,3.64,-34.25,-61.60,-92.44,-0.92,-9.34,49.67,-3.75,3475.77
Sera Investments,512399,,Finance & Investments,26.02,1.48,-7.75,0.00,-7.75,0.00,-7.75,0.25,-8.00,1.39,-9.39,0.00,-9.39,-523.65,-634.46,,-1.88,169.13
Service Care Ltd,,SERVICE,Miscellaneous,66.75,84.50,2.82,,,,,,,,,,3.05,,,,3.63,76.75
Servoteach Inds.,531944,,Engineering - Turnkey Services,21.00,0.00,-0.02,0.28,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,,,4.23,0.66,8.25
Servotech Power,,SERVOTECH,Electric Equipment,125.98,68.14,6.72,0.25,6.97,0.65,6.32,0.93,5.39,1.35,4.03,0.00,4.03,9.86,5.91,,0.19,2808.15
Seshasayee Paper,502450,SESHAPAPER,Paper,350.10,426.50,95.05,12.53,107.58,11.44,96.14,0.50,95.64,24.27,71.37,0.00,71.37,22.29,16.73,,11.32,2208.02
Setco Automotive,505075,SETCO,Auto Ancillaries,13.26,160.36,20.51,-9.37,22.17,11.32,10.85,40.48,-40.66,31.20,-55.61,-11.03,-71.86,12.79,-43.21,26.75,-4.31,177.38
Setubandhan Inf.,533605,SETUINFRA,Construction,0.75,2.76,0.70,0.41,1.11,0.23,0.88,0.00,0.88,0.11,0.77,0.00,0.77,25.36,27.90,12.57,0.06,9.43
Seven Hill Inds.,511760,,Finance & Investments,1.08,0.00,-0.02,0.11,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,,,13.00,0.01,14.04
Seya Industries,524324,SEYAIND,Chemicals,38.76,2.47,-8.54,2.47,-6.07,4.43,-10.50,0.00,-10.50,-0.41,-10.08,0.00,-10.08,-345.75,-408.10,26.57,-3.79,102.99
SG Finserve,539199,,Finance & Investments,425.45,34.84,31.48,0.00,31.48,0.02,31.46,10.56,20.90,5.26,15.64,0.00,15.64,90.36,44.89,,3.68,2339.08
SG Mart,512329,,Trading,389.55,0.00,-0.50,0.33,-0.17,0.00,-0.17,0.00,-0.17,-0.04,-0.13,0.00,-0.13,,,1.00,-0.06,4345.04
SGN Telecoms,531812,,Cables - Power,0.91,0.00,-0.02,0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,,0.00,7.35
Sh. Ajit Pulp,538795,,Paper,232.90,75.75,3.85,-0.04,3.81,1.79,2.02,0.85,1.17,0.76,0.42,0.00,0.42,5.08,0.55,5.36,0.47,124.76
Sh. Bajrang All.,526981,,Steel - Medium / Small,272.45,361.21,2.63,0.61,3.24,0.67,2.57,-0.38,2.95,0.22,13.82,0.00,13.82,0.73,3.83,9.00,15.36,245.21
Sh. Digvijay Cem,502180,SHREDIGCEM,Cement - North India,103.01,192.81,30.68,1.77,32.45,8.96,23.49,0.67,22.82,5.58,17.24,0.00,17.24,15.91,8.94,,1.19,1518.44
Sh. Dinesh Mills,503804,,Textiles - Products,518.80,24.14,0.77,8.41,4.07,1.46,2.61,0.32,7.40,0.81,2.72,5.11,6.59,3.19,11.27,5.60,12.77,290.56
Sh. Ganesh Elas.,530797,,Finance & Investments,28.52,2.06,-1.56,0.02,-1.54,0.04,-1.58,0.02,-1.60,-0.01,-1.59,0.00,-1.59,-75.73,-77.18,5.50,-2.89,15.69
Sh. Hari Chem.,524336,,Dyes And Pigments,86.79,30.95,-0.94,0.38,-0.56,0.59,-1.15,0.60,-1.75,-0.49,-1.26,0.00,-1.26,-3.04,-4.07,4.45,-2.83,38.62
Sh. Jagdamba Pol,512453,,Packaging,870.85,66.05,12.20,0.43,12.63,2.00,10.63,1.46,9.17,3.25,5.93,0.00,5.93,18.47,8.98,0.88,6.77,762.69
Sh. Karthik Pap.,516106,,Paper,10.31,18.71,0.48,0.08,0.56,0.11,0.45,0.25,0.20,0.04,0.16,0.00,0.16,2.57,0.86,9.56,0.08,19.70
Sh. Krish. Infr.,542146,,Construction,76.90,0.44,0.04,0.00,0.04,0.03,0.01,0.00,0.01,0.01,0.00,0.00,0.00,9.09,0.00,,0.00,84.59
Sh. Krishna Pap.,500388,,Paper,51.30,44.16,3.56,0.57,3.72,1.09,2.63,1.41,1.63,0.91,0.88,0.41,0.72,8.06,1.99,13.52,0.53,69.36
Sh. Rajas. Synt.,503837,,Textiles - Spinning - Synthetic / Blended,13.77,12.42,-2.16,0.84,-1.19,17.11,-18.30,3.77,-22.20,0.07,-22.14,-0.13,-22.27,-17.39,-178.26,13.70,-16.25,38.57
Sh. Rama Multi.,532310,SHREERAMA,Packaging,27.00,47.05,5.53,0.10,5.63,1.51,4.12,0.34,3.78,0.00,3.78,0.00,3.78,11.75,8.03,31.76,0.28,360.60
Sh. Steel Wire,513488,,Steel - Medium / Small,38.15,4.26,0.17,0.03,0.20,0.08,0.12,0.01,0.11,0.07,0.04,0.00,0.04,3.99,0.94,3.30,0.12,12.63
Sh.Pushkar Chem.,539334,SHREEPUSHK,Dyes And Pigments,264.95,180.31,20.41,2.02,22.43,4.95,17.48,0.96,16.52,3.70,12.81,0.00,12.81,11.32,7.10,30.84,4.05,837.93
Sh.Renuka Sugar,532670,RENUKA,Sugar,48.64,2284.00,70.60,70.60,141.20,64.10,77.10,214.00,-136.90,2.00,-138.20,0.00,-138.90,3.09,-6.08,,-0.65,10352.97
Shah Alloys,513436,SHAHALLOYS,Steel - Medium / Small,59.92,153.65,-5.44,0.00,-5.44,2.24,-7.68,0.98,-8.66,-2.07,-6.37,0.00,-6.37,-3.54,-4.15,19.80,-3.22,118.64
Shah Foods,519031,,Food - Processing - Indian,209.85,0.00,-0.07,0.06,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,0.60,-0.17,12.59
Shah Metacorp,533275,SHAH,Steel - Medium / Small,6.09,16.24,-0.78,3.00,2.22,0.93,1.29,0.00,1.29,0.03,1.25,0.00,1.25,-4.80,7.70,,0.04,255.38
Shahi Shipping,526508,,Shipping,27.38,3.61,0.75,0.11,0.86,0.16,0.70,0.05,0.65,-0.07,0.72,0.00,0.72,20.78,19.94,14.49,0.50,39.67
Shahlon Silk,542862,,Textiles - Products,24.41,122.86,5.80,0.45,5.92,2.27,3.65,3.23,0.75,0.43,0.19,0.33,0.34,4.72,0.15,17.86,0.04,217.99
Shaily Engineer.,501423,SHAILY,Plastics Products,846.30,157.30,26.78,0.87,27.65,8.17,19.48,3.90,15.58,2.98,12.60,0.00,12.60,17.02,8.01,,2.75,3881.77
Shakti Press,526841,,Printing & Stationery,31.65,2.72,0.98,0.00,0.98,0.43,0.55,0.18,0.37,0.00,0.37,0.00,0.37,36.03,13.60,3.52,1.05,11.14
Shakti Pumps,531431,SHAKTIPUMP,Pumps,4686.75,113.06,7.91,0.54,8.45,4.63,3.82,3.11,0.71,-0.29,1.00,0.00,1.00,7.00,0.88,,0.54,9389.95
Shalby,540797,SHALBY,Healthcare,283.00,235.49,43.13,4.53,47.66,11.94,35.72,2.75,32.97,12.15,20.82,0.00,20.82,18.32,8.84,,1.93,3056.68
Shalibhadra Fin.,511754,,Finance & Investments,749.10,7.85,4.94,0.00,4.94,0.01,4.93,1.74,3.19,0.84,2.35,0.00,2.35,62.93,29.94,11.62,3.75,524.37
Shalimar Agencie,539895,,Finance & Investments,44.76,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,,,3.00,-0.10,13.43
Shalimar Paints,509874,SHALPAINTS,Paints / Varnishes,150.18,135.36,-6.01,3.44,-2.57,3.18,-5.75,3.87,-9.62,0.00,-9.62,0.00,-9.62,-4.44,-7.11,14.44,-1.33,1257.17
Shalimar Prod.,512499,,Entertainment / Electronic Media Software,0.59,0.80,0.21,0.00,0.21,0.02,0.19,0.00,0.19,0.00,0.19,0.00,0.19,26.25,23.75,98.43,0.00,58.08
Shalimar Wires,532455,,Textiles - Products,24.07,31.07,5.67,7.08,6.74,2.59,4.15,5.97,4.19,0.00,-1.82,6.01,4.19,18.25,-5.86,8.55,0.98,102.91
Shamrock Indl.,531240,,Trading,9.24,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,,,5.43,-0.04,5.02
Shangar Decor,540259,,Miscellaneous,8.20,2.73,0.38,0.01,0.39,0.38,0.01,0.02,-0.01,-0.02,0.01,0.00,0.01,13.92,0.37,6.12,0.01,10.04
Shankar Lal Ram.,542232,,Trading,129.85,87.70,4.46,0.08,4.54,0.02,4.52,0.27,4.25,3.15,1.09,0.00,1.09,5.09,1.24,21.32,0.17,830.61
Shankara Build.,540425,SHANKARA,Trading,664.60,1210.02,35.88,0.85,36.73,4.22,32.51,6.57,25.94,6.80,19.14,0.00,19.14,2.97,1.58,22.85,8.38,1611.61
Shantai Indust.,512297,,Trading,49.37,0.31,-0.05,0.01,-0.04,0.00,-0.04,0.01,-0.05,0.00,-0.05,0.00,-0.05,-16.13,-16.13,1.50,-0.33,7.41
Shanthala,,SHANTHALA,Trading,58.00,19.95,0.21,,,,,,,,,,0.07,,,,1.40,38.85
Shanthi Gears,522034,SHANTIGEAR,Engineering,620.95,121.45,23.10,3.99,27.09,2.97,24.12,0.00,24.12,6.00,18.12,0.00,18.12,19.02,14.92,,2.36,4763.67
Shanti Educat.,539921,,Miscellaneous,134.95,7.57,3.25,0.02,3.27,0.05,3.22,0.05,3.17,0.84,2.33,0.00,2.33,42.93,30.78,,0.14,2172.70
Shanti Guru Inds,534708,,Trading,27.91,0.00,-0.11,,,,,,,,,,0.02,,,,0.02,34.36
Shanti Overseas,,SHANTI,Food - Processing - Indian,15.93,5.07,-11.33,-0.05,-11.38,0.75,-12.13,0.29,-12.42,-5.57,-6.85,0.00,-6.85,-223.47,-135.11,11.11,-6.17,17.69
Shanti Spintex,544059,,Textiles - Cotton/Blended,70.58,273.11,35.45,,,,,,,,,,26.73,,,,37.65,119.20
Shantidoot Infra,543598,,Construction,288.20,5.47,1.11,,,,,,,,,,0.61,,,,3.39,51.82
Sharanam Infra,539584,,Trading,0.85,0.00,-0.11,0.00,-0.11,0.01,-0.12,0.00,-0.12,0.00,-0.11,0.00,-0.11,,,5.00,0.00,10.20
Sharat Industrie,519397,,Aquaculture,51.05,79.90,5.78,0.17,5.95,1.15,4.80,2.31,2.49,0.69,1.80,0.00,1.80,7.23,2.25,,0.46,201.42
Sharda Cropchem,538666,SHARDACROP,Pesticides / Agrochemicals - Indian,556.00,637.75,-59.27,26.02,-33.25,70.28,-103.53,1.29,-104.82,-16.17,-88.64,0.00,-88.64,-9.29,-13.90,,-9.82,5016.26
Sharda Ispat,513548,,Steel - Medium / Small,609.80,41.93,2.72,0.18,2.90,0.20,2.70,0.11,2.59,0.67,1.92,0.00,1.92,6.49,4.58,5.08,3.78,309.78
Sharda Motor,535602,SHARDAMOTR,Auto Ancillaries,2426.70,654.10,68.24,18.40,86.64,12.18,74.46,0.51,73.95,18.86,55.09,0.00,55.09,10.43,8.42,,18.53,7214.97
Shardul Sec.,512393,,Finance & Investments,247.45,-4.40,-5.51,-0.06,-5.57,0.09,-5.66,0.00,-5.66,-0.98,-4.69,0.00,-4.69,,,17.50,-2.68,433.04
Share India Sec.,540725,SHAREINDIA,Finance & Investments,299.55,277.31,124.57,1.39,125.96,2.67,123.29,15.06,108.23,25.96,82.11,0.00,82.27,44.92,29.67,,5.03,6060.17
Sharika Enterpr.,540786,,Trading,28.81,13.05,-3.50,1.84,-1.66,0.08,-1.74,0.27,-2.01,0.41,-2.41,0.00,-2.41,-26.82,-18.47,,-0.56,124.75
Sharma E I Hosp.,524548,,Healthcare,75.26,5.09,0.92,0.05,0.97,0.43,0.54,0.33,0.21,-0.16,0.37,0.00,0.37,18.07,7.27,4.16,,24.69
Sharp Chucks and,,SCML,Castings & Forgings,128.00,,,,,,,,,,,,,,,,,137.73
Sharp India,523449,,Electronics - Consumer,83.09,0.00,-2.19,0.04,-2.15,0.04,-2.19,1.84,-4.03,0.00,-4.03,0.00,-4.03,,,25.94,-1.55,215.54
Sharp Investment,538212,,Finance & Investments,0.80,0.11,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,90.91,90.91,24.21,0.00,19.37
Sharpline Broadc,543341,,Miscellaneous,7.54,8.93,4.75,-0.54,4.81,0.15,4.66,0.02,4.04,0.57,3.98,-0.60,3.47,53.19,44.57,11.50,3.02,12.65
Shashijit Infra.,540147,,Construction,6.86,9.95,0.69,0.09,0.78,0.23,0.55,0.25,0.30,0.18,0.13,0.00,0.13,6.93,1.31,10.34,0.03,35.48
Shashwat Furnis.,543519,,Miscellaneous,42.70,2.68,0.14,,,,,,,,,,0.03,,,,0.14,8.92
Sheela Foam,540203,SFL,Miscellaneous,998.30,645.09,77.62,13.24,101.81,22.66,79.15,7.88,60.32,17.00,50.85,-10.95,43.32,12.03,7.93,,4.41,10851.26
Sheetal Cool,540757,SCPL,Food - Processing - Indian,419.35,135.14,14.64,0.56,15.20,2.32,12.88,2.00,10.88,2.76,8.12,0.00,8.12,10.83,6.01,,7.73,440.32
Sheetal Univer.,,SHEETAL,Food - Processing - Indian,57.10,,,,,,,,,,,,,,,,,65.41
Shekhawati Poly.,533301,SPYL,Textiles - Processing,6.80,15.61,-0.03,0.13,0.10,2.16,-2.06,0.01,-2.07,0.00,-2.08,0.00,-2.08,-0.19,-13.32,,-0.06,234.40
Shelter Infra,526839,,Miscellaneous,11.66,0.36,-0.34,0.04,-0.30,0.03,-0.33,0.00,-0.33,-0.02,-0.31,0.00,-0.31,-94.44,-86.11,3.57,-0.87,4.16
Shelter Pharma,543963,,Pharmaceuticals - Indian - Bulk Drugs,53.30,19.13,4.31,,,,,,,,,,2.81,,,,3.63,61.61
Shemaroo Entert.,538685,SHEMAROO,Entertainment / Electronic Media Software,160.80,153.50,7.78,0.76,8.54,1.28,7.26,8.77,-1.51,-0.48,-1.03,0.00,-1.03,5.07,-0.67,,-0.49,438.45
Shera Energy,,SHERA,Mining / Minerals / Metals,189.20,201.22,10.63,0.43,11.06,1.26,9.80,5.35,4.45,1.22,2.67,0.00,3.23,5.28,1.61,,1.17,431.16
Shervani Indl Sy,526117,,Construction,598.00,4.76,0.02,19.81,19.83,0.24,19.59,0.04,19.55,0.79,18.76,0.00,18.76,0.42,394.12,2.72,69.46,153.86
Sheshadri Indus.,539111,,Textiles - Products,15.45,5.21,-0.88,3.10,2.22,0.29,1.93,0.67,1.26,0.00,1.27,0.00,1.27,-16.89,24.38,4.96,2.56,7.66
Shetron,526137,,Packaging,133.60,55.02,4.88,0.41,5.29,1.35,3.94,2.20,1.74,0.60,1.14,0.00,1.14,8.87,2.07,9.00,1.27,120.24
Shigan Quantum,,SHIGAN,Auto Ancillaries,108.10,53.44,1.61,,,,,,,,,,-1.14,,,,-0.66,195.98
Shilchar Tech.,531201,,Electric Equipment,6818.05,94.99,21.17,1.43,22.60,0.63,21.97,0.06,21.91,5.64,16.28,0.00,16.28,22.29,17.14,3.81,21.42,5199.99
Shilp Gravures,513709,,Mining / Minerals / Metals,163.70,19.30,2.84,0.28,3.12,1.07,2.05,0.06,1.99,0.62,1.37,0.00,1.37,14.72,7.10,6.15,2.23,100.68
Shilpa Medicare,530549,SHILPAMED,Pharmaceuticals - Indian - Formulations,699.70,263.56,37.02,2.17,39.19,25.69,13.50,17.74,-4.24,3.82,-8.04,0.00,-8.05,14.05,-3.05,8.68,-0.93,6842.43
Shine Fashions,543244,,Trading,440.00,12.31,1.26,,,,,,,,,,0.91,,,,3.00,123.11
Shipping Land,544142,SCILAL,Miscellaneous,98.93,2.78,-6.28,15.99,9.71,0.18,9.53,0.00,9.53,-0.92,10.45,0.00,10.45,-225.90,375.90,,,4608.15
Shish Industries,540693,,Plastics Products,128.60,16.59,0.94,1.14,2.08,0.22,1.86,0.16,1.70,0.42,1.28,0.00,1.28,5.67,7.72,,0.37,457.83
Shiv Aum Steels,,SHIVAUM,Trading,294.00,260.99,7.80,0.41,7.49,0.33,7.16,2.44,4.72,1.53,3.19,0.00,3.83,3.50,1.58,,2.82,399.85
