Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Sandhar Tech,541163,SANDHAR,Auto Ancillaries,661.15,3979.51,36.25,0.38,3.91,4.82,0.73,11.33,70.38,4.31,0.00,38.32,4685.02,6.02,168.89,6.73,0.60,0.00,8.00,6.00,1.54,2.25,35855.00,70.38,8.92,47.43,3.96,,28.38,8.31,263.27,21.38,83.28,47.43,57.22,11.69,1.61,0.13,16.31,0.16,152.92,8.70,3.48,8.01,37270.00
Sandu Pharma.,524703,,Pharmaceuticals - Indian - Formulations,59.80,57.77,39.57,1.25,1.42,2.74,0.00,3.66,42.90,3.78,0.00,29.20,56.63,0.97,42.01,2.45,0.94,0.00,5.00,3.00,1.26,1.31,10012.00,42.90,5.12,26.42,3.76,,56.75,4.08,37.80,116.77,46.97,26.42,137.32,57.09,0.00,0.00,0.01,0.00,40.62,6.08,2.94,4.02,10001.00
Sandur Manganese,504918,SANDUMA,Mining / Minerals / Metals,583.15,9449.07,39.70,0.14,4.38,9.29,0.06,11.64,74.22,3.61,0.00,23.08,9522.49,16.20,133.12,0.52,3.54,0.00,5.00,4.00,0.49,1.19,52803.00,74.22,12.31,10.03,3.59,,322.55,13.28,209.75,529.11,274.93,10.03,794.01,23.56,0.77,0.07,1.45,0.03,119.37,18.42,10.11,14.72,57023.00
Sangal Papers,516096,,Paper,239.45,31.37,12.70,0.00,0.75,2.75,0.64,6.12,39.48,10.61,38.76,9.83,56.45,0.13,317.91,7.43,0.85,14.31,6.00,6.00,2.12,2.16,8020.00,24.18,6.17,47.71,1.07,,62.73,6.68,367.62,67.59,29.90,47.71,49.78,60.52,0.00,0.00,0.00,0.00,299.40,11.78,4.11,9.02,8128.00
Sangam Finserv,538714,,Finance & Investments,95.50,89.03,11.27,0.00,0.70,5.10,0.21,6.41,63.08,12.24,0.00,23.21,115.27,0.93,136.37,,0.60,0.00,8.00,5.00,0.12,1.22,881.00,63.08,7518.48,0.00,1.89,,-14.94,9.08,161.25,0.00,,0.00,,36.93,0.00,0.00,0.00,0.00,127.93,8.53,4.11,5.55,889.00
Sangam India,514234,SANGAMIND,Textiles - Spinning - Synthetic / Blended,413.20,2076.19,48.43,0.48,1.89,1.80,1.02,4.64,70.16,4.17,0.00,29.27,3052.64,4.50,218.81,3.28,0.65,0.00,6.00,2.00,1.11,2.42,10480.00,70.16,5.56,62.69,0.86,,96.38,4.80,204.03,116.11,94.68,62.69,148.10,25.82,2.65,0.00,0.54,0.00,191.80,15.71,7.55,19.11,10145.00
Sangani Hospital,,SANGANI,Healthcare,43.00,59.24,21.94,0.00,1.77,13.78,0.00,15.02,73.22,9.04,0.00,47.90,40.16,1.38,24.31,9.52,14.55,0.00,6.00,3.00,0.80,1.09,433.00,73.22,14.88,54.94,7.10,,40.74,10.25,32.74,41.71,51.58,54.94,38.35,26.76,0.02,0.00,0.00,0.00,,17.93,11.48,13.30,457.00
Sanghi Industrie,526521,SANGHIIND,Cement - North India,94.86,2450.48,,0.00,2.21,-12.42,1.88,-34.13,75.00,-2.46,21.47,30.76,4341.83,25.83,43.00,2.49,0.69,0.00,3.00,5.00,0.22,3.30,72594.00,58.90,-5.35,0.00,3.11,,-72.91,-2.95,,209.93,97.92,0.00,307.85,24.52,0.18,0.05,0.30,0.21,60.36,-3.06,-8.90,-19.75,57095.00
Sanghvi Brands,540782,,Miscellaneous,22.10,23.02,46.04,0.00,5.09,6.82,0.00,12.47,53.13,3.39,0.00,33.53,18.88,1.04,4.34,1.22,2.37,0.00,6.00,2.00,1.25,1.83,494.00,53.13,16.99,44.78,3.44,,-40.38,8.95,6.85,-202.90,547.50,44.78,299.82,46.87,0.00,-0.18,0.00,0.00,3.85,15.83,-1.62,-2.92,507.00
Sanghvi Movers,530073,SANGHVIMOV,Miscellaneous,1137.20,4924.08,26.20,0.35,4.86,14.77,0.29,20.28,47.25,5.40,0.00,33.53,5135.10,4.33,233.82,0.00,1.79,0.00,8.00,5.00,0.49,1.26,66371.00,47.25,15.76,69.74,3.44,,126.56,19.47,477.92,69.74,,69.74,,47.01,2.41,-0.08,3.34,0.75,194.44,15.25,9.39,12.43,49310.00
