Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
EMS,543983,EMSLIMITED,Construction,814.25,33.87,,28.46,,8.81,8.81,,,28.14,,,,,,,,,,,96.46,,136.16,,4521.60
eMudhra,543533,EMUDHRA,Computers - Software - Medium / Small,864.15,41.54,29.72,62.81,31.76,36.20,36.20,,,42.01,29.31,,,54.07,27.47,,,,,,42.36,,56.70,,7156.17
Enbee Trade,512441,,Finance & Investments,11.19,73.87,50.44,181.41,40.99,33.79,86.67,40.47,49.81,200.22,61.40,43.34,39.91,273.91,67.20,46.72,,29.90,34.59,9.23,0.45,0.39,1.35,0.88,16.03
Encode Packaging,530733,,Packaging,13.63,5.90,22.28,122.40,36.56,20.89,85.54,-3.85,6.81,233.22,62.27,18.92,24.91,122.40,36.56,4.65,13.87,4.65,13.87,0.00,0.03,0.03,0.03,0.04,4.30
Endurance Tech.,540153,ENDURANCE,Auto Ancillaries,2540.85,16.08,6.40,7.10,4.96,13.61,15.31,9.04,9.29,8.59,3.47,8.20,9.23,7.10,4.96,10.07,-0.13,10.07,12.19,0.00,530.85,443.17,707.48,629.48,35740.32
Energy Devl.Co.,532219,ENERGYDEV,Power Generation And Supply,30.94,-1.38,-3.00,15.63,10.00,-19.85,-12.89,-17.46,-4.73,-1.69,-1.36,8.88,-7.01,15.63,10.00,9.85,6.63,9.85,6.22,0.00,0.75,-7.59,12.41,10.59,146.97
Energy-Mission,,EMMIL,Engineering,354.65,38.47,,126.03,,27.04,27.04,,,57.62,,,,-66.24,,,,,,,,,,,401.69
Enfuse,,ENFUSE,Computers - Software - Medium / Small,197.85,32.32,,51.22,,48.49,48.49,,,59.80,,,,-84.25,,,,,,,,,,,175.05
Engineers India,532178,ENGINERSIN,Engineering - Turnkey Services,253.60,1.43,5.79,10.22,3.86,-2.85,-1.48,12.05,5.92,-1.21,-2.95,-0.61,-2.78,10.22,6.32,7.12,1.54,4.38,-0.29,0.00,335.91,331.30,513.92,509.48,14253.39
Enkei Wheels,533477,,Auto Ancillaries,729.90,44.94,9.03,33.42,6.82,7.94,7.94,9.25,9.58,237.18,10.24,8.08,12.02,33.42,3.58,20.06,49.93,24.26,55.00,0.00,-4.45,-1.07,6.83,9.40,1311.99
Enser,,ENSER,Computers - Software - Medium / Small,243.80,70.85,,258.09,,79.65,79.65,,,137.01,,,,,,,,,,,,,,,212.50
Ent.Network,532700,ENIL,Entertainment / Electronic Media Software,234.05,25.55,-2.81,40.04,-8.49,14.04,17.25,-0.45,3.42,60.98,-1.92,0.11,0.37,40.04,-8.49,-5.21,-7.89,-5.21,-7.89,0.00,-10.12,25.57,-0.65,46.76,1115.72
Entero Healthcar,544122,ENTERO,Trading,1245.00,30.14,,65.66,,30.85,30.85,,,70.48,,,,26.12,,,,,,,,,,,5414.97
Enterprise Intl.,526574,,Trading,25.21,-9.87,-36.78,-26.64,24.57,-19.85,-23.84,-26.23,-22.80,-19.01,46.72,-1.58,-7.97,-26.64,24.57,4.53,,4.53,-1.81,0.00,0.07,0.10,0.19,0.28,7.52
Envair Electrody,500246,,Engineering,176.25,-20.30,-34.74,14.39,11.87,-16.95,-57.45,-29.80,-22.55,7.67,9.90,,,14.39,12.94,-14.23,-0.01,,-7.24,4.30,-1.04,-1.05,-1.03,-0.96,81.78
EP Biocomposites,543595,,Miscellaneous,182.50,57.11,,47.28,,60.45,60.45,,,54.61,,,,-54.37,,,,,,,0.59,,0.90,,30.69
Epack Durable,544095,EPACK,Air-conditioners,253.55,24.46,,65.80,,25.52,25.52,,,39.64,,,,31.85,,,,,,,,,,,2428.98
Epic Energy,530407,,Electric Equipment,24.70,29.14,-14.65,36.84,-10.59,-16.06,-16.06,-23.19,-18.27,44.89,1.68,-1.09,-11.72,36.84,-10.59,14.39,1.81,14.39,2.54,0.00,-0.30,-0.20,-0.33,-0.20,17.81
Epigral,543332,EPIGRAL,Chlor Alkali / Soda Ash,1829.55,32.54,22.12,24.76,1.90,18.89,35.72,25.56,,22.78,9.08,18.93,,24.40,1.73,25.89,,16.67,,,202.92,,344.35,,7601.81
EPL Ltd,500135,EPL,Packaging,220.70,8.20,7.67,0.05,5.58,7.61,7.61,7.88,6.31,7.54,7.80,8.31,7.49,-0.24,5.37,5.52,8.57,5.72,8.71,-0.46,231.36,199.79,368.14,340.37,7026.62
Epsom Properties,531155,,Construction,6.46,,,-42.46,,-100.00,-100.00,,,-20.63,,,,-42.46,,,,,,0.00,-0.27,-0.21,-0.23,-0.19,4.81
Epuja Spiritech,532092,,Entertainment / Electronic Media Software,4.09,-41.52,-35.27,,,-31.24,-31.91,-21.11,16.41,,,,-6.70,,,,-0.38,,-6.70,-10.92,0.08,0.21,0.08,0.22,31.74
Equinox India,532832,EMBDL,Construction,132.54,-35.21,-39.11,,,-21.60,-33.84,-21.83,-13.36,,,,,,,,,,,-11.99,-162.56,274.72,123.27,781.43,8415.37
Equippp Social,590057,EQUIPPP,Computers - Software - Medium / Small,23.99,,,,,24.67,24.67,,,,,,,,,,,,,89.10,,,,,247.33
Equitas Sma. Fin,543243,EQUITASBNK,Banks - Private Sector,81.59,19.76,21.04,27.64,30.56,25.26,20.75,27.88,,20.48,20.25,26.95,,27.81,27.45,31.50,,33.79,,-81.75,456.34,,2218.02,,9273.90
Eraaya Lifespace,531035,,Finance & Investments,796.80,,,89.98,30.53,148500.00,148500.00,,,109.10,52.51,35.18,18.22,35.23,15.51,10.87,10.48,21.41,15.61,-29.04,0.04,-0.05,0.08,0.00,1205.01
ERIS Lifescience,540596,ERIS,Pharmaceuticals - Indian - Formulations,1121.00,18.36,15.39,3.57,6.23,12.83,12.83,15.13,14.72,16.96,13.23,13.33,21.56,3.51,6.47,7.17,-40.17,7.01,19.25,2.20,362.85,285.72,422.44,329.65,15254.01
Eros Intl.Media,533261,EROSMEDIA,Entertainment / Electronic Media Software,19.56,-5.77,-6.65,,,6.25,7.41,-11.36,-4.40,,,,,,,,,,,-45.91,27.08,128.72,72.48,213.14,187.61
ERP Soft Systems,530909,,Computers - Software - Medium / Small,160.00,-2.28,-9.66,-14.29,-11.32,-21.57,9.41,-14.57,-8.59,-8.87,-7.34,-21.76,-14.74,-14.29,-11.32,-24.36,-15.44,-24.36,-15.44,0.00,0.21,0.47,0.29,0.61,63.36
Esaar (India),531502,,Finance & Investments,5.93,-33.94,,,,-60.38,-60.38,4.80,-8.40,20.35,53.00,77.85,56.40,,,8.97,,,,0.00,5.67,2.16,10.05,4.62,12.12
Esab India,500133,ESABINDIA,Electrodes - Welding Equipment,6253.60,22.21,13.11,40.35,23.08,13.98,13.98,15.04,11.09,35.75,19.69,23.15,14.60,40.35,23.08,26.68,17.14,26.68,17.14,0.00,101.66,69.55,138.10,95.89,9624.29
ESAF Small Fin,544020,ESAFSFB,Banks - Private Sector,50.66,32.51,29.92,58.56,36.35,33.81,33.81,,,32.40,28.00,,,51.55,31.40,,,,,,215.98,,1209.99,,2607.87
Esconet,,ESCONET,Computers - Software - Medium / Small,307.75,46.06,,99.07,,45.24,45.24,,,259.29,,,,33.24,,,,,,,,,,,380.38
Escorp Asset Mgt,540455,,Finance & Investments,71.44,383.04,138.17,,193.46,-13.79,6.25,67.87,,892.78,208.97,74.96,,,224.68,95.14,,91.90,,0.00,4.97,2.50,5.55,2.82,79.42
Escorts Kubota,500495,ESCORTS,Automobiles - Tractors,3905.20,8.05,7.16,6.23,17.09,4.99,4.99,11.44,3.13,7.00,14.04,26.03,12.84,13.52,19.54,35.85,16.83,33.85,15.62,31.05,757.65,493.13,1022.37,694.34,43151.78
Esha Media,531259,,Miscellaneous,16.80,-6.27,11.84,,14.67,-17.03,25.00,-13.93,-41.12,-12.64,14.68,10.21,,,14.67,10.24,,10.24,,-9.20,-0.15,-1.40,-0.18,-1.50,13.12
Espire Hospi,532016,,Hotels,153.05,587.60,160.17,81.09,107.61,22.22,91.74,131.62,41.52,139.84,149.34,86.17,55.73,81.09,107.61,68.50,51.57,68.50,51.57,0.00,0.40,0.03,0.89,0.42,206.62
Esprit,,ESPRIT,Miscellaneous,97.80,23.71,,-13.08,,29.36,29.36,,,3.38,,,,-66.19,,,,,,,,,,,190.92
Essar Shipping,533704,ESSARSHPNG,Shipping,50.23,-65.00,-56.56,21.73,9.71,-30.44,-64.88,-48.80,-36.36,,,,,21.73,9.71,8.22,4.08,8.22,4.05,-0.62,-218.25,-320.95,74.17,65.17,1039.64
Essen Speciality,,ESFL,Plastics Products,156.00,14.24,,14.53,,20.29,20.29,,,9.39,,,,-58.29,,,,,,,9.37,,14.38,,322.91
Ester Industries,500136,ESTER,Packaging,143.95,2.35,,,,-3.53,0.35,,1.38,-75.81,,,-27.04,,,,,,,-1.59,,,,,1352.47
Ethos Ltd,543532,ETHOSLTD,Trading,3046.60,37.23,17.63,160.16,44.18,26.69,26.69,,,43.87,36.07,,,135.74,33.88,,,,,,33.97,,66.91,,7458.21
ETT Ltd,537707,,Construction,20.17,,,94.92,20.44,-4.62,-4.62,,,12.67,17.14,-0.24,10.37,94.92,20.44,72.39,12.14,72.39,12.14,-68.68,0.29,-0.68,0.66,-0.21,20.91
Euphoria Infotec,544094,,Computers - Software - Medium / Small,66.85,2.69,,52.38,,-18.45,-18.45,,,36.92,,,,-74.94,,,,,,,0.58,,1.02,,19.40
Eureka Forbes,543482,,Domestic Appliances,493.15,553.34,142.83,301.08,171.52,-2.22,5.23,81.72,,441.25,294.56,100.47,,52.70,32.79,9.29,,99.86,,,26.03,,47.56,,9537.08
Eureka Industrie,521137,,Textiles - Cotton/Blended,3.64,,,,,129.71,129.71,,,,,,,,,,,,,-17.38,-1.00,-0.49,-0.98,-0.48,3.19
Euro Asia Export,530929,,Trading,17.03,91.91,24.51,,14.87,15.46,-27.78,44.09,37.44,-20.63,14.87,4.20,,58.74,14.87,0.00,,0.00,,0.00,0.01,0.01,0.03,0.03,2.67
Euro India Fresh,,EIFFL,Food - Processing - Indian,149.22,4.23,9.22,18.09,29.13,10.94,18.53,12.74,8.83,12.21,13.33,7.46,12.23,18.09,29.13,1.82,22.09,1.82,33.70,0.00,1.29,1.09,4.79,4.13,370.07
Euro Leder Fash,526468,,Leather / Leather Products,28.28,-4.48,-15.89,8.91,-6.33,-5.03,-18.25,-11.80,-6.24,4.04,-3.15,-1.31,3.65,8.91,-6.33,-9.84,-7.14,-9.84,-7.14,0.20,0.34,0.43,1.82,2.02,12.64
Euro Panel,,EUROBOND,Aluminium and Aluminium Products,194.00,40.56,29.62,59.36,29.97,31.81,31.81,26.22,,29.56,22.31,24.15,,43.80,18.98,14.02,,43.08,,,9.07,,20.13,,475.30
Eurotex Industri,521014,EUROTEXIND,Construction,15.25,-70.13,-68.30,19.02,10.09,-21.94,-78.62,-55.72,-46.76,23.81,11.96,,,19.02,10.09,5.36,,5.36,,0.00,-13.56,-11.94,-11.07,-6.79,13.34
Evans Electric,542668,,Miscellaneous,300.00,29.44,25.46,109.68,33.40,8.05,9.47,10.01,16.32,81.10,27.69,8.95,25.17,108.55,25.23,-30.55,-3.36,11.48,34.59,0.00,2.17,1.56,2.99,2.19,82.32
Evantra Ventures,512099,,Trading,963.90,22.39,20.34,37.26,45.01,10.04,25.13,8.06,-6.01,53.55,55.18,19.04,42.69,25.78,36.55,22.43,35.74,27.10,39.04,-6.50,0.32,0.12,0.42,0.22,175.37
Eveready Inds.,531508,EVEREADY,Dry Cells,415.00,1.71,-2.69,-40.24,2.09,2.54,-1.01,-0.46,1.31,-14.34,-1.19,0.06,4.60,-40.24,2.09,-4.57,22.49,-4.57,22.49,38.41,101.52,82.91,127.00,120.62,3016.22
Everest Inds.,508906,EVERESTIND,Cement Products,1160.35,8.96,2.27,-38.38,-26.61,3.58,-4.38,4.47,4.23,-21.25,-11.89,2.25,1.31,-38.58,-26.75,23.14,3.54,23.55,3.94,-0.49,34.52,35.76,59.79,62.94,1832.75
Everest Kanto,532684,EKC,Packaging,173.62,8.82,11.74,15.54,10.99,7.08,8.32,11.70,9.56,-0.50,14.57,16.15,32.61,15.54,10.99,30.28,10.39,30.28,10.52,0.00,103.02,35.81,164.50,86.40,1948.15
Everest Organics,524790,,Pharmaceuticals - Indian - Bulk Drugs,155.60,2.80,4.82,-78.31,-54.91,7.45,7.76,9.15,7.46,-20.80,-8.35,7.87,7.51,-78.31,-54.91,-27.67,,-27.66,-14.74,0.00,5.16,3.96,10.47,8.68,124.48
Everlon Fin.,514358,,Finance & Investments,155.55,-33.28,-23.90,125.25,86.42,-6.50,-5.75,-17.61,-15.33,79.71,122.02,43.55,21.86,118.02,83.14,77.53,39.44,80.13,40.87,2.77,2.07,0.99,2.64,1.53,96.44
Evexia Lifecare,524444,,Trading,2.98,-19.18,-11.79,1.75,-2.55,-4.95,-7.89,-15.13,,8.56,1.86,10.30,,-2.68,-5.12,4.29,,6.30,,-36.72,1.54,1.09,2.77,1.87,310.39
Evoq Remedies,543500,,Trading,9.55,-26.06,4.50,-14.50,114.11,21.51,21.51,,,-13.26,98.73,,,-92.28,-49.43,,,,,,0.78,,1.06,,23.78
Excel Industries,500650,EXCELINDUS,Pesticides / Agrochemicals - Indian,1352.90,3.30,0.03,-37.72,-35.63,3.12,-7.49,8.64,7.10,-24.49,-26.24,0.63,2.29,-37.72,-35.63,-2.68,-2.05,-2.68,-0.65,-0.19,84.99,74.15,114.44,108.01,1700.69
Excel Realty,533090,EXCEL,Construction,0.84,-28.84,-24.59,5.76,23.72,-24.39,-24.39,-29.77,-14.91,4.63,68.04,-0.52,-5.70,5.77,23.72,18.24,6.23,18.25,6.23,-31.74,-1.50,-0.47,-1.39,0.15,118.50
Exhicon Events,543895,,Miscellaneous,264.95,110.60,,325.32,,50.34,50.34,,,244.99,,,,-60.99,,,,,,,,,,,343.44
Exicom Tele-Sys.,544133,EXICOM,Electric Equipment,443.95,40.98,19.90,102.49,34.99,12.23,12.23,,,151.52,21.49,,,33.46,-23.14,,,,,,6.36,,38.17,,5364.00
Exide Inds.,500086,EXIDEIND,Auto Ancillaries,508.85,17.42,2.64,1.77,1.85,14.58,11.22,5.97,7.35,9.34,3.12,3.41,7.20,1.77,1.85,0.79,4.65,0.79,4.65,0.00,1509.63,1114.50,1121.81,1126.61,43252.25
Expleo Solutions,533121,EXPLEOSOL,Computers - Software - Medium / Small,1338.05,47.46,27.82,21.49,20.06,6.82,11.35,20.61,17.37,27.46,21.35,20.44,12.07,5.81,11.49,14.73,7.14,21.02,11.66,14.88,76.33,53.21,109.11,77.46,2076.62
Explicit Finance,530571,,Finance & Investments,5.64,12.17,15.62,38.67,17.61,-7.37,58.02,7.82,1.18,38.67,17.61,13.32,8.84,38.67,17.61,10.84,8.62,10.84,8.62,0.00,-0.06,-0.09,-0.06,-0.05,5.23
Expo Gas Contain,526614,,Packaging,40.14,16.26,4.74,32.27,-5.34,-1.93,-1.93,11.14,5.24,4.06,-0.07,0.30,-2.32,32.27,-5.34,31.80,-5.00,31.80,-5.00,-10.46,0.18,0.46,5.27,5.53,91.50
Exxaro Tiles,543327,EXXARO,Ceramics - Tiles / Sanitaryware,88.81,5.87,4.48,-46.95,-22.41,5.60,-0.67,8.71,,-19.87,-7.81,-2.78,,-51.80,-26.75,-24.78,,-21.40,,,10.96,,28.84,,397.35
F A C T,590024,FACT,Fertilizers,996.85,15.76,20.93,3.78,28.06,3.22,35.78,15.29,8.63,-3.10,77.06,36.63,20.14,3.78,28.06,19.56,11.84,19.56,11.84,0.00,357.15,27.50,591.27,280.06,64503.37
F Mec Intl. Fin.,539552,,Finance & Investments,103.95,92.86,24.44,149.87,81.14,94.44,3.85,32.88,27.44,107.41,1.82,61.78,13.40,75.87,46.72,37.02,-1.30,59.27,9.67,3.62,0.25,0.14,0.39,0.31,92.43
Faalcon Concepts,544164,FAALCON,Construction,59.05,54.49,,156.71,,40.76,40.76,,,163.35,,,,-67.39,,,,,,,,,,,40.33
Fabino Enter,543444,,Trading,26.86,25.72,17.11,18.56,,36.93,36.93,,,16.26,-19.23,,,-1.61,,,,,,,0.04,,0.11,,5.64
Facor Alloys,532656,,Mining / Minerals / Metals,6.97,2.29,-15.69,-78.92,,-19.29,-19.29,2.12,-4.57,,,,-2.86,-78.92,,,3.98,,3.98,0.00,3.29,-3.00,5.85,2.42,136.30
Fairchem Organic,543252,FAIRCHEMOR,Chemicals,1344.85,16.15,,-1.57,,0.76,0.76,,,-0.48,,,,-1.57,,,,,,-15.36,45.85,,66.70,,1751.12
Falcon,,FALCONTECH,Engineering - Turnkey Services,62.10,6.65,,51.35,,-27.65,-27.65,,,14.59,,,,-23.48,,,,,,,,,,,33.27
Family Care,516110,,Healthcare,8.12,4.20,23.04,43.02,262.68,68.22,12.43,55.74,129.20,6.59,45.94,55.58,41.07,58.05,285.09,94.65,,86.49,44.21,-32.70,5.50,2.84,6.37,3.37,43.86
Faze Three,530079,FAZE3Q,Textiles - Processing,546.45,20.29,16.02,23.31,25.36,10.65,10.65,,,23.77,25.93,,,23.31,25.36,,,,,6.67,39.76,,63.20,,1328.91
FCS Software,532666,FCSSOFT,Computers - Software - Medium / Small,3.77,2.40,-1.97,272.60,15.25,-7.60,0.84,-0.01,-12.14,25.41,23.81,29.90,14.57,272.60,15.25,11.33,7.66,11.33,7.68,0.00,-2.89,-37.56,1.36,-34.24,644.50
FDC,531599,FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,508.55,13.44,12.28,2.49,12.68,6.00,14.59,9.75,8.68,2.73,10.37,6.28,6.81,3.73,14.24,8.51,10.58,7.15,9.61,0.31,244.92,205.70,325.52,277.70,8279.71
Fedbank Financi.,544027,FEDFINA,Finance & Investments,125.12,31.61,43.92,58.24,46.61,35.74,35.74,,,35.77,43.37,,,45.96,33.36,,,,,,128.24,,574.67,,4639.99
Fedders Holding,511628,,Finance & Investments,895.75,359.01,138.25,278.54,125.83,6.86,37.15,76.05,61.95,217.03,87.77,50.72,87.19,167.69,83.44,68.09,75.15,95.00,94.34,8.19,23.16,12.17,30.26,17.28,1468.73
Federal Bank,500469,FEDERALBNK,Banks - Private Sector,197.71,18.08,15.16,32.64,24.36,12.23,16.80,15.14,12.90,22.46,16.06,15.70,12.61,24.13,19.38,17.91,12.37,23.88,16.41,0.00,2450.06,1690.21,13193.63,10242.55,48404.33
Federal-Mogul Go,505744,FMGOETZE,Auto Ancillaries,433.00,15.27,4.79,196.09,8.06,2.00,3.76,4.11,3.90,25.57,2.62,2.75,6.10,196.09,8.06,6.34,16.48,6.34,16.48,-0.02,62.91,66.39,106.53,123.22,2408.78
Felix Industries,,FELIX,Engineering,288.20,,,,,,,,,,,,,,,,,,,-21.32,,,,,358.61
Fermenta Biotec.,506414,,Pharmaceuticals - Indian - Bulk Drugs,256.15,-3.73,-3.64,,,5.76,-3.90,10.75,9.19,-23.98,-24.96,15.24,3.42,,,-23.11,,-37.63,,2.62,14.72,22.33,38.30,46.19,753.87
Fervent Synerg.,533896,,Trading,18.42,122.40,7.84,,,4.56,-55.91,-6.58,24.91,,,,,,,,,,,2.77,-2.49,-0.44,-2.37,0.00,55.26
FGP,500142,,Miscellaneous,8.73,69.65,44.89,,-3.46,21.43,21.43,30.32,10.00,180.20,7.96,12.35,7.37,30.25,-3.46,12.68,7.41,12.68,7.41,0.00,-0.39,-0.41,-0.37,-0.41,10.39
Fiberweb (India),507910,FIBERWEB,Textiles - Products,59.45,-7.15,-10.85,-20.32,-19.49,-9.56,-11.21,-2.72,2.97,-19.43,-13.91,-4.53,20.67,-20.32,-19.49,-10.52,25.53,-9.16,28.31,0.00,8.78,11.29,11.08,12.54,171.17
Fidel Softech,,FIDEL,Computers - Software - Medium / Small,114.25,15.96,,20.66,,17.49,14.88,16.17,19.07,19.24,,29.22,37.96,-68.16,,-32.52,-5.55,35.84,54.15,,4.52,,6.20,,157.10
Fiem Industries,532768,FIEMIND,Auto Ancillaries,1349.10,18.44,6.96,50.19,24.41,14.61,9.78,10.41,10.93,27.60,12.50,12.82,12.38,50.15,24.39,22.01,15.07,22.02,16.19,-7.60,104.70,77.04,148.86,120.55,3550.79
Filatex Fash.,532022,FILATFASH,Textiles - Products,6.96,114.59,31.42,318.89,96.64,8.58,33.26,23.88,20.83,177.15,69.64,43.89,31.48,62.22,-12.51,24.21,0.43,104.39,62.19,23.28,4.89,2.46,7.45,3.84,1160.10
Filatex India,526227,FILATEX,Textiles - Manmade,59.35,24.38,8.32,-12.59,5.87,-0.42,-0.42,15.65,9.25,-10.92,2.02,8.15,17.36,-12.74,5.44,13.99,23.14,14.32,27.62,-0.23,157.82,100.75,267.02,191.70,2634.28
Filmcity Media,531486,,Entertainment / Electronic Media Software,2.31,,,122.40,61.54,-95.88,,-13.03,10.81,,,23.97,13.35,122.40,61.54,36.87,12.63,36.87,12.63,-19.19,-0.08,,-0.08,,7.06
Filtra Consult.,539098,,Trading,87.00,20.80,13.30,38.98,14.80,12.33,10.03,12.00,15.07,33.27,12.91,16.62,10.17,38.98,14.80,18.73,-5.85,18.88,11.64,-0.73,2.57,1.95,3.51,2.72,95.39
Fine Line Cir.,517264,,Electronics - Components,96.53,2.33,-5.10,30.06,-7.22,-4.59,-11.58,-0.71,-0.22,-0.88,-7.68,-2.84,-0.60,30.06,-7.22,15.55,-6.26,15.55,-6.26,-0.93,0.20,0.10,0.74,0.65,46.43
Fine Organic,541557,FINEORG,Chemicals,5461.00,20.28,13.32,47.36,23.31,9.26,9.26,14.06,13.14,38.23,17.90,20.36,16.85,47.36,23.31,-4.50,-0.77,24.36,19.37,0.00,298.02,193.63,403.80,275.11,16743.41
Finelistings,544173,,Computers - Software - Medium / Small,53.70,110.36,,130.43,,100.14,100.14,,,135.66,,,,26.94,,,,,,,0.65,,0.94,,19.53
Fineotex Chem,533333,FCL,Chemicals,373.65,37.57,25.56,41.17,39.83,11.29,11.29,23.89,20.70,41.62,36.12,22.77,31.61,41.16,39.97,24.61,35.59,24.53,35.42,-1.94,65.19,42.44,88.11,59.35,4138.73
Finkurve Fin.,508954,,Finance & Investments,74.77,63.90,43.05,52.74,82.67,21.70,25.38,36.17,76.90,28.53,16.78,15.91,121.07,52.74,72.99,55.37,47.06,61.53,50.97,6.12,8.76,4.76,17.54,13.18,948.52
Fino Payments,543386,FINOPB,Banks - Private Sector,335.85,94.96,50.94,59.85,27.59,23.55,58.18,,,25.17,44.40,,,29.82,22.34,,,,,,36.64,,68.85,,2794.75
Finolex Cables,500144,FINCABLES,Cables - Power,1533.40,21.90,10.25,26.42,10.52,3.82,11.90,10.81,7.83,22.75,6.71,7.82,10.87,26.42,10.52,8.85,11.65,8.85,11.65,-0.06,432.76,358.07,565.34,484.65,23451.72
Finolex Inds.,500940,FINPIPE,Plastics Products,310.45,7.64,6.91,-14.29,4.61,0.94,-1.81,7.50,5.82,-10.13,3.70,4.09,6.46,-14.29,4.61,4.00,8.69,4.00,8.69,0.00,493.50,375.59,666.25,541.07,19262.71
First Custodian,511122,,Finance & Investments,105.06,59.88,38.17,117.22,48.12,7.81,14.29,22.79,20.69,86.21,38.10,31.63,29.53,117.22,48.12,31.59,32.28,31.59,32.28,0.00,0.68,0.42,0.93,0.59,15.76
First Fintec,532379,,Computers - Software - Medium / Small,10.00,139.68,-23.13,25.25,13.59,-38.60,-69.30,-26.10,-27.60,42.11,-9.21,-4.26,10.93,25.25,13.59,,6.98,,6.98,4.30,-3.10,-1.68,-3.22,-1.68,10.40
Firstsour.Solu.,532809,FSL,Computers - Software - Medium / Small,297.35,7.66,10.61,4.03,6.53,6.02,7.12,8.60,7.39,7.11,13.27,12.76,10.84,3.62,6.12,8.83,9.80,9.35,10.52,-0.02,470.08,380.84,665.42,525.79,20960.71
Fischer Medical,524743,,Trading,623.40,,,,,,,,,,,,,,,,,,,74.91,,,,,3335.19
Five-Star Bus.Fi,543663,FIVESTAR,Finance & Investments,777.55,27.64,40.29,32.54,39.84,43.53,33.43,58.85,,25.48,40.34,61.80,,-41.43,-15.26,11.23,,71.24,,,502.79,,986.90,,22740.43
Flair Writing,544030,FLAIR,Printing & Stationery,322.15,47.00,8.43,518.27,12.70,1.74,1.74,,,78.46,9.81,,,274.10,-16.63,,,,,,64.45,,99.08,,3395.31
Flex Foods,523672,,Food - Processing - Indian,152.35,5.32,7.18,,,4.51,4.51,4.95,6.09,,,,,,,,,,,0.17,-1.71,3.48,4.94,10.33,189.68
Flexituff Vent.,533638,FLEXITUFF,Packaging,75.84,-10.94,-13.63,-23.37,,-4.27,-12.13,-11.93,-5.77,,,,,-17.31,,,,,,0.91,-134.57,-67.18,-99.48,-1.59,203.88
Flomic Global,504380,,Miscellaneous,68.84,26.08,276.34,-4.06,156.72,12.82,44.31,162.19,107.92,27.17,404.43,217.69,80.29,-4.06,114.49,89.82,30.63,,43.29,-1.17,4.68,2.34,12.23,6.12,125.07
Flora Corporatio,540267,,Trading,11.39,61.53,0.14,166.84,16.12,12.04,6.50,124.18,98.87,95.12,13.18,,48.46,166.84,16.12,68.14,43.87,,43.87,0.00,0.11,0.10,0.14,0.13,9.95
Flora Textiles,530705,,Textiles - Processing,41.86,-26.10,10.44,158.99,68.77,-29.25,18.42,-6.92,-21.07,88.31,215.07,86.89,40.04,158.99,68.77,43.42,26.73,43.42,26.73,0.00,1.16,0.24,1.62,0.71,25.12
Fluidomat,522017,,Engineering,648.05,25.89,15.69,49.19,40.42,-1.52,17.55,11.29,7.00,44.67,34.97,20.59,7.20,49.19,40.42,24.91,8.60,24.91,8.60,0.00,7.01,5.18,9.48,7.23,319.49
Foce India,,FOCE,Trading,1069.00,1.43,,99.87,,39.06,39.06,,,95.86,,,,86.78,,,,,,,,,,,523.05
Focus Business,543312,,Miscellaneous,95.76,23.23,14.73,71.00,35.59,4.88,16.10,,,29.57,28.06,,,51.83,,,,,,,0.29,,0.41,,44.05
Focus Lighting,,FOCUS,Electric Equipment,118.15,55.22,13.13,164.37,31.71,31.94,32.88,16.18,,172.97,26.32,34.84,,144.43,0.21,9.99,,39.75,,-17.27,13.16,,17.24,,783.10
Fone4 Communica.,543521,,Trading,4.36,31.16,-0.42,,,9.96,9.96,,,,,,,,9.44,,,,,,-1.67,,-0.80,,7.43
Fonebox,,FONEBOX,Trading,195.00,569.89,,153.51,,115.86,115.86,,,231.21,,,,30.24,,,,,,,,,,,200.07
Foods & Inns,507552,FOODSIN,Food - Processing - Indian,157.54,40.12,24.68,111.34,12.41,2.47,15.83,16.32,12.84,54.63,34.30,16.85,15.34,103.05,9.72,31.08,18.28,34.26,21.33,-29.19,22.26,15.31,58.41,43.15,921.57
Forbes & Co,502865,,Engineering,626.25,-48.70,-46.43,-18.28,33.73,-8.88,-44.80,-36.42,-27.33,-46.37,-31.48,-21.86,-18.42,-18.28,33.73,-6.82,-6.73,-6.82,-6.73,0.00,899.91,449.25,34.23,65.82,807.86
Forbes Precision,544186,,Engineering,343.05,,,,,,,,,,,,,,,,,,,,,,,,1769.95
Force Motors,500033,FORCEMOT,Automobiles - LCVs / HCVs,9051.95,52.07,13.87,79.99,22.06,11.52,39.04,12.48,13.21,168.43,21.26,14.91,19.79,79.99,22.06,11.66,17.96,11.66,17.96,0.00,61.52,105.56,138.99,173.02,11930.47
