Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Average return on equity 3Years,Number of equity shares 10years back,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
Bonlon Industrie,543211,,Trading,32.77,1.67,2.41,0.30,51.37,,,23.93,27.66,21.81,25.89,0.00,0.00,0.00,3.73,2.14,5.40,4.80,2.01,2.09,-31.98,0.45,-0.03,705.00,0.00,42.91,47.23,5.59,0.86,1.60,34.62,34.06,34.06,34.06,25.81,,,,61.62,0.00,0.00,46.48
Borosil,543212,BOROLTD,Glass & Glass Products,379.65,8.61,10.00,,60.89,,,1.62,1.46,,,5.95,5.09,2.28,13.25,11.22,11.22,11.22,,,,14.35,,71487.00,0.00,33.81,41.96,92.13,6.41,7.49,51.62,50.31,50.31,50.31,1606.64,,,,73.46,-0.10,3.54,4529.19
Borosil Renew.,502219,BORORENEW,Glass & Glass Products,551.50,,,12.00,,,58.16,,,3.18,3.71,,,,-3.95,-3.95,4.98,6.30,,,,,,263116.00,,35.44,,55.26,,,102.74,11.68,22.50,76.61,3201.81,503.12,372.42,70.44,76.34,-0.95,0.20,7199.16
Borosil Scienti.,544184,BOROSCI,Glass & Glass Products,195.65,,,,,,,,,,,,,,10.94,10.94,10.94,10.94,,,,,,,,50.02,,,,,55.04,55.04,55.04,55.04,,,,,211.30,,,1737.30
Bosch,500530,BOSCHLTD,Auto Ancillaries,33909.75,12.77,13.74,3.14,3330.25,3142.85,2339.89,4.86,4.23,5.35,5.33,10.35,0.00,758.15,17.60,16.87,18.81,20.64,14.72,13.64,-0.91,12.72,15.20,77156.00,64.91,47.22,52.18,47.34,8.69,9.34,38.97,40.32,39.14,39.31,41551.76,53633.67,69438.41,31612.88,28.64,1.62,-0.31,100012.20
Bothra Metals,535279,,Aluminium and Aluminium Products,9.04,-5.37,-3.99,1.85,10.44,11.13,20.66,1.66,8.51,10.55,7.36,0.00,0.00,0.00,0.57,-0.41,-0.51,-0.03,-7.43,-4.57,24.27,-1.32,0.71,251.00,0.00,92652.77,8089.31,874.57,-1.26,-0.92,69.50,16.54,69.50,69.50,7.33,11.11,49.25,47.50,85022.72,0.00,0.00,16.74
BPL,500074,BPL,Electronics - Components,124.49,1.42,5.35,4.89,30.43,34.73,15.97,4.36,7.79,5.63,7.34,0.00,0.00,0.00,6.58,2.29,2.95,2.34,1.17,1.35,65.87,2.39,-0.29,40804.00,0.00,113.08,130.73,50.56,0.58,2.70,28.16,23.74,27.08,25.00,111.21,129.54,358.81,68.19,-535.52,0.16,-0.51,609.70
Brady & Morris,505690,,Engineering,1213.65,42.96,41.01,0.23,30.00,17.87,2.36,2.13,1.70,0.89,1.56,0.00,0.00,0.00,28.35,21.69,15.80,12.40,35.70,37.09,-24.17,11.58,8.81,1078.00,0.00,99.11,86.17,118.04,10.16,12.93,12.19,12.75,11.63,11.98,16.13,10.89,15.93,6.98,94.84,0.00,0.00,273.07
Brahmaputra Inf.,535693,,Construction,94.29,4.03,7.52,2.90,54.31,46.06,42.32,0.13,0.02,0.07,0.18,0.00,0.00,0.00,8.77,7.46,7.26,6.77,-0.52,1.60,27.81,15.66,16.20,2330.00,0.00,71.24,72.92,64.82,0.97,1.83,13.46,14.07,14.07,14.07,48.55,60.94,67.03,59.63,397.49,0.00,0.42,273.63
Brand Concepts,543442,BCONCEPTS,Trading,586.35,10.64,25.94,0.70,16.68,23.65,,1.00,1.41,1.90,,0.00,0.00,0.21,22.78,13.56,14.23,16.37,,11.16,19.12,9.66,9.86,3996.00,3.51,90.10,292.41,205.72,2.28,7.04,43.59,36.26,36.26,41.01,31.91,71.01,,,112.52,0.00,2.10,654.24
Brandbucket Med.,543439,,Miscellaneous,8.88,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,391.00,,0.00,,,,,24.00,24.00,24.00,24.00,,,,,0.00,,,20.64
Brawn Biotech,530207,,Trading,19.70,-10.43,-19.79,0.30,29.30,30.86,16.47,92.49,115.48,135.75,24.59,0.00,0.00,0.00,-19.53,-10.48,-0.22,6.62,1.77,-2.60,,-2.81,0.67,6246.00,0.00,113.61,96.83,92.17,-5.81,-9.53,19.87,11.34,10.06,6.39,6.63,11.15,20.67,1.37,153.43,0.00,-0.24,5.91
Bridge Securitie,530249,,Miscellaneous,4.35,-10.98,-35.57,3.36,0.58,0.21,0.25,1.14,2.78,0.41,0.88,0.00,0.00,0.00,-17.85,-7.23,-0.46,1.17,-0.09,-1.96,125.52,-4.58,-1.55,10393.00,0.00,64.67,0.00,0.00,-13.95,-28.95,15.42,10.53,11.35,13.49,1.41,2.18,2.69,2.82,149.03,0.00,0.00,14.62
Brigade Enterpr.,532929,BRIGADE,Construction,1198.55,5.60,7.30,16.91,111.31,110.21,80.23,0.05,0.11,0.11,-0.08,0.00,0.00,38.62,9.10,7.86,8.55,9.43,6.80,6.37,1.79,25.01,25.95,60920.00,22.60,49.18,98.68,51.67,0.94,1.36,88.87,19.19,24.43,82.89,5860.23,3413.24,2632.01,686.57,-4.89,3.28,-2.34,27702.78
Bright Brothers,526731,,Plastics Products,169.65,,,,,,,,,,,,,,-0.75,-0.75,-0.75,-0.75,,,,,,4814.00,-6.02,98.95,,,,,,,,,51.12,39.22,45.73,20.36,6.36,0.00,0.00,96.36
Bright Outdoor,543831,,Miscellaneous,433.35,,12.72,,,,,0.00,,,,0.00,0.00,0.00,12.35,10.88,10.88,10.88,,,,15.24,,423.00,0.00,201.02,633.13,,,6.27,77.00,77.00,77.00,77.00,,,,,350.77,,,630.47
Bright Solar,,BRIGHT,Pumps,7.75,-5.85,-11.22,0.13,15.33,15.34,,0.06,-0.64,17.61,,0.00,0.00,0.04,-10.05,-5.12,7.62,10.32,,-0.73,,-9.82,4.80,,0.00,332.46,135.73,68.16,-4.40,-7.78,247.50,39.06,39.06,63.16,30.40,65.24,,,570.55,0.00,0.00,19.37
Brightcom Group,532368,BCG,Computers - Software - Medium / Small,7.23,18.92,20.54,99.23,28.48,30.27,11.68,,,,,0.00,0.00,17.13,27.30,24.75,24.82,26.70,19.22,18.59,7.47,29.66,29.25,441511.00,2.88,142.49,132.14,131.95,15.79,17.55,4.45,1.44,0.86,2.41,147.85,219.30,895.05,1274.11,199.07,10.51,0.15,1458.96
