Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Average return on equity 3Years,Number of equity shares 10years back,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
TCI Industries,532262,,Miscellaneous,1430.00,-21.80,-21.38,0.09,104.71,29.44,-164.14,,,,,0.00,0.00,0.00,-7.41,-8.08,-6.70,-6.70,,-20.35,-41.42,-58.20,-35.63,2051.00,0.00,2.36,0.00,0.00,-7.80,-7.14,,,,,70.62,75.33,165.01,126.27,-82.29,0.01,-0.01,128.70
TCM,524156,,Trading,46.34,-5.88,-10.56,,43.45,43.29,,0.96,0.40,,,0.00,0.00,0.00,-10.20,-5.99,-5.99,-5.99,,,,-24.07,,3767.00,0.00,174.88,217.45,1377.88,-2.98,-5.08,,65.82,65.82,65.82,18.71,22.34,20.12,32.00,-336.99,0.00,-17.70,34.65
TCNS Clothing Co,541700,TCNSBRANDS,Textiles - Products,598.00,-10.31,-18.72,9.17,99.47,107.36,,0.91,1.36,1.67,,0.00,0.00,0.00,-8.06,-3.18,7.91,9.14,,-1.97,,4.53,8.00,22168.00,0.00,68.37,94.67,57.46,-4.23,-7.65,524.87,44.51,44.51,109.00,3117.96,5031.56,,,134.69,-13.38,-3.76,3784.05
TCPL Packaging,523301,TCPLPACK,Packaging,3199.05,18.70,21.25,0.87,330.46,295.93,130.84,3.90,4.19,4.13,5.47,0.00,0.00,11.53,18.91,16.74,15.33,16.79,18.68,17.31,11.02,15.57,15.22,18123.00,17.58,78.57,71.54,66.27,6.49,7.84,16.08,14.26,14.31,13.04,405.77,334.47,555.89,60.03,85.57,0.46,1.49,2911.14
TCS,532540,TCS,Computers - Software - Large,4283.05,43.77,47.40,391.75,233.66,224.19,129.25,2.15,2.40,3.66,36.69,0.00,0.00,25137.80,59.14,54.63,51.41,50.43,39.78,40.73,7.44,27.09,27.05,2502835.00,66.16,80.55,66.87,68.15,29.01,30.21,30.75,25.87,28.73,30.42,1175503.05,751096.08,479174.03,417832.71,34.87,-3.08,3.03,1549644.97
TD Power Systems,533553,TDPOWERSYS,Electric Equipment,415.35,13.04,16.22,16.62,30.43,27.47,29.73,2.42,2.85,3.92,5.61,0.00,0.00,11.67,21.26,16.22,11.95,8.65,6.32,9.37,89.02,13.50,9.54,34408.00,15.36,111.71,99.55,181.84,7.62,10.14,26.37,29.24,25.17,24.64,458.53,376.08,767.51,890.33,104.78,12.18,19.73,6487.09
Team Lease Serv.,539658,TEAMLEASE,Miscellaneous,3149.25,12.59,14.07,0.51,381.38,334.62,,,,,5.11,0.00,0.00,0.00,14.60,14.64,15.99,16.75,14.27,13.96,-7.46,1.74,1.69,24979.00,0.00,18.69,20.76,21.69,5.73,6.47,47.12,51.38,52.92,53.43,6448.31,5173.58,1661.89,,-2.09,-8.28,14.21,5280.95
Teamo Production,533048,TPHQ,Finance & Investments,1.54,4.89,8.26,20.45,0.21,0.34,1.67,,,,,0.00,0.00,0.00,8.45,-3.03,-2.40,-1.76,2.27,4.18,51.68,0.23,-1.87,7431.00,0.00,22.95,73.00,438.00,-3.84,5.98,24.20,24.20,24.20,24.20,4.91,7.16,9.20,6.54,4804.45,0.00,-0.05,132.63
Tech Mahindra,532755,TECHM,Computers - Software - Large,1507.70,16.80,15.82,96.08,256.80,225.84,127.49,4.68,3.70,3.07,8.80,0.00,0.00,3160.78,20.06,20.89,22.00,23.68,18.49,17.82,-16.96,14.51,15.26,929827.00,96.04,88.61,87.08,73.11,10.37,9.84,27.21,18.96,19.35,22.39,95998.15,76299.10,44725.62,41912.68,39.73,-12.88,14.16,147442.05
Techindia Nirman,526576,TECHIN,Construction,30.09,-3.65,-3.46,1.43,9.07,9.61,13.31,,,,,,,0.00,1.95,0.94,0.64,0.20,-2.43,-3.08,-43.44,,,25263.00,0.00,0.00,,,-0.64,-0.55,20.31,17.98,17.98,17.98,3.83,7.38,6.80,5.59,0.00,0.01,-0.01,43.12
Techknowgreen,543991,,Miscellaneous,275.00,,80.38,,,,,,,,,0.00,,,68.91,68.91,68.91,68.91,,,,,,,0.00,82.43,147.22,,,33.56,28.84,28.84,28.84,28.84,,,,,136.93,,,203.03
Techno Elec.Engg,542141,TECHNOE,Engineering - Turnkey Services,1710.45,11.81,12.71,,146.93,136.04,,0.35,1.15,227.03,,0.00,0.00,54.38,14.07,13.61,16.40,16.40,,13.00,-2.05,17.48,,30390.00,23.65,225.19,219.02,201.53,8.49,9.28,18.09,17.46,17.46,16.47,3375.35,3093.13,,,189.65,6.91,-7.22,19892.46
Technocraf.Inds.,532804,TIIL,Steel - Medium / Small,3475.95,17.36,19.39,3.15,438.44,386.03,196.94,1.18,1.21,1.63,2.83,70.20,0.00,0.00,20.12,17.06,16.76,16.61,16.73,17.16,2.87,18.34,17.05,12693.00,0.00,80.12,97.45,90.51,10.39,12.54,12.42,10.03,10.51,9.18,962.57,1358.24,1218.74,276.17,189.87,0.62,3.00,7981.37
Technopack Poly.,543656,,Plastics Products,62.82,,18.95,,,,,4.47,,,,0.00,0.00,0.02,29.39,23.98,23.98,23.98,,,,27.66,,441.00,1.58,49.01,64.41,,,16.24,17.64,17.64,17.64,17.64,,,,,266.68,,,33.92
Technvision Ven.,501421,,Computers - Software - Medium / Small,3816.35,,,0.63,-36.75,-44.35,34.93,,,,0.26,0.00,0.00,0.00,61.97,61.97,-153.58,-86.16,,,,5.82,4.80,644.00,0.00,164.44,264.83,128.14,4.69,7.47,117.51,106.98,117.24,108.41,120.20,82.83,126.50,15.53,-23.46,0.00,0.00,2396.67
TECIL Chemical,506680,TECILCHEM,Chemicals,19.33,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,22436.00,0.00,0.00,,,-23.57,-12.73,,,,,,,,,0.00,0.00,-0.01,36.65
Teerth,,TGL,Construction,438.25,,64.61,,,,,,,,,0.00,,,54.53,54.53,54.53,54.53,,,,,,,0.00,160.83,98.86,,,9.58,35.78,35.78,35.78,35.78,,,,,69.70,,,525.88
Teesta Agro Ind.,524204,,Fertilizers,103.80,4.38,5.59,0.56,168.02,163.85,85.92,1.72,1.39,2.62,3.09,0.00,0.00,0.28,7.95,6.46,5.50,4.69,3.24,3.81,-2.37,5.27,0.27,13907.00,6.68,39.42,88.53,136.89,2.75,3.56,8.29,13.13,14.19,8.29,10.83,12.34,14.31,5.82,92.23,0.00,0.00,58.23
Tega Inds.,543413,TEGA,Engineering,1901.60,19.24,18.42,5.76,,,,2.37,2.33,2.04,,0.00,0.00,5.32,19.85,19.54,17.06,14.27,,17.40,14.21,20.85,17.60,60665.00,4.69,112.21,100.08,115.50,11.51,11.63,29.01,29.01,29.01,29.01,,,,,145.30,,,12652.39
Tejas Networks,540595,TEJASNET,Telecommunications - Equipment,1202.95,-2.66,-0.55,5.83,121.64,117.22,,1.17,0.96,2.12,0.94,0.00,0.00,0.00,-1.92,-2.91,1.45,4.36,1.16,0.07,-29.27,3.45,10.26,140497.00,0.00,198.30,236.38,252.21,-3.60,-1.30,140.92,19.43,19.59,72.16,1482.05,1557.86,,,504.91,-10.12,-2.47,20574.85
Tejassvi Aaharam,531628,,Textiles - Cotton/Blended,49.44,,,,,,,,30.67,7.88,,0.00,0.00,0.00,-755.56,-310.52,-203.01,-135.87,,,,,,1839.00,0.00,0.00,,0.00,-1376.67,-2181.48,,,,,,,,,0.00,1.21,0.00,34.61
Tejnaksh Health.,539428,,Healthcare,24.15,10.68,9.50,1.48,8.39,7.39,,1.68,2.28,4.00,2.86,0.00,0.00,0.00,12.37,13.58,16.89,22.96,14.71,13.27,-18.42,41.84,40.57,1636.00,0.00,34.95,15.78,5.75,7.44,6.82,53.19,46.26,46.46,46.83,73.89,56.43,79.93,,18.14,0.00,-0.01,49.06
TeleCanor Global,530595,,Computers - Software - Medium / Small,5.78,,,0.96,20.25,21.02,34.54,,,,,0.00,0.00,0.00,-14.67,-9.07,-6.98,-5.75,,,,,,3077.00,0.00,7791.35,19631.79,,-5.32,-7.60,578.50,528.00,528.00,528.00,7.26,6.49,6.17,7.37,-12452.12,0.00,0.00,6.58
Telogica,532975,,Trading,23.87,,,2.16,0.25,1.99,16.48,1.86,1.74,1.91,0.02,0.00,0.00,0.00,-461.51,-255.87,-187.15,-124.15,,,,-36.76,-21.35,5321.00,0.00,286.57,252.19,337.62,-11.14,-7.28,32.59,33.26,32.59,32.59,4.59,5.33,8.60,7.74,-689.20,0.00,0.00,57.03
Tembo Global,,TEMBO,Trading,221.11,18.72,20.96,0.54,17.04,15.37,,4.65,5.20,7.36,16.31,52.47,0.00,0.35,17.41,16.21,16.53,16.94,18.75,18.64,10.58,5.26,5.51,3764.00,0.00,39.12,107.58,101.04,6.02,6.68,37.50,39.47,39.47,41.52,123.53,69.55,,,73.07,1.63,-0.82,245.51
Tera Software,533982,TERASOFT,Computers - Software - Medium / Small,73.33,-1.03,-3.97,1.25,86.84,86.97,56.92,0.63,1.27,7.87,10.09,0.00,0.00,0.00,3.17,5.88,6.50,8.97,2.23,-0.04,0.97,3.80,6.68,16124.00,0.00,473.53,447.78,280.60,-0.47,-1.70,23.69,15.07,19.16,15.70,47.36,49.99,127.00,19.58,319.52,0.01,0.00,91.75
Terai Tea Co,530533,,Trading,120.85,2.06,1.65,,182.49,178.27,,17.37,20.02,14.14,,0.00,0.00,0.00,2.02,2.61,3.25,3.55,,1.93,,-1.38,,1943.00,0.00,33.55,57.80,29.92,1.55,1.32,12.33,13.64,10.37,7.82,31.13,27.96,33.43,35.05,87.12,0.00,0.00,83.14
Texel Industries,526638,,Packaging,40.87,-10.53,-22.46,0.98,27.06,24.30,,4.37,4.60,6.18,7.25,0.00,0.00,0.00,-2.20,6.87,14.38,17.39,-2.10,-4.78,,3.68,4.24,6317.00,0.00,47.48,76.96,59.55,-1.12,-5.58,26.29,24.49,24.49,24.49,14.16,,,,0.77,0.00,-4.79,34.08
Texmaco Infrast.,505400,TEXINFRA,Construction,132.69,0.16,0.43,12.74,49.23,43.98,39.83,1.10,0.80,0.82,,0.00,0.00,1.97,0.44,0.80,1.02,1.34,1.39,0.86,-33.62,-11.34,9.67,16971.00,32.04,19.22,88.34,39.55,0.10,0.39,304.75,46.64,71.86,239.20,891.99,722.51,517.99,328.12,1406.46,-0.55,0.00,1690.82
Texmaco Rail,533326,TEXRAIL,Engineering,261.05,3.58,3.36,32.14,35.40,29.88,27.80,2.92,2.62,3.10,1.34,0.00,0.00,6.55,8.25,7.86,7.77,6.72,3.17,3.68,-2.31,7.15,6.87,118074.00,19.89,105.59,132.14,160.18,1.50,1.45,72.82,67.81,35.54,30.19,780.29,2090.91,2804.10,1198.11,251.90,5.88,0.51,10428.09
Texmo Pipes,533164,TEXMOPIPES,Plastics Products,74.48,-2.24,-6.14,2.38,77.58,81.00,56.24,5.30,3.78,2.73,4.00,0.00,0.00,0.00,1.28,3.93,4.14,5.25,-0.85,-1.46,23.32,3.55,4.47,53077.00,0.00,35.37,38.06,73.45,-1.47,-3.96,16.18,16.62,14.58,13.19,72.40,52.64,48.12,14.53,51.17,0.26,-0.23,217.44
TGB Banquets,532845,TGBHOTELS,Hotels,17.03,-3.92,-5.72,2.93,32.90,35.81,45.99,1.54,1.01,1.79,1.50,0.00,0.00,0.00,-3.64,-2.49,-7.79,-4.64,-10.34,-11.59,13.54,-15.92,-1.83,9816.00,0.00,97.81,250.49,37.31,-2.40,-3.23,26.88,29.62,25.11,25.11,12.45,33.39,156.39,146.29,692.32,0.00,0.00,49.88
TGIF Agribusines,544175,,Miscellaneous,88.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,7.16,,,,,26.57,26.57,26.57,26.57,,,,,-76.34,,,22.77
TGV Sraac,507753,,Chlor Alkali / Soda Ash,100.20,16.24,19.94,7.87,56.98,52.25,35.33,5.28,6.03,10.11,10.93,0.00,0.00,4.28,21.37,17.16,17.32,15.69,14.41,15.76,-30.25,17.24,16.74,50271.00,6.87,45.18,35.89,30.00,7.75,10.88,7.50,6.83,8.49,6.42,259.69,403.99,194.51,67.08,51.66,0.00,-0.27,1073.04
Thaai,,TCL,Auto Ancillaries,197.20,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,0.00,,,,,46.51,46.51,46.51,46.51,,,,,0.00,,,456.12
Thacker & Co.,509945,,Trading,1011.00,10.90,12.02,2.00,815.94,737.24,5.15,5.31,3.51,2.69,3.42,0.00,0.00,0.00,2.96,2.89,2.41,2.87,9.37,9.83,32.07,44.14,24.44,389.00,0.00,28.29,54.78,23.77,10.30,11.60,3.95,4.12,4.04,3.91,22.95,16.32,187.02,274.18,793.87,0.00,0.00,109.97
Thakkers Develp.,526654,,Construction,178.85,12.04,12.46,0.90,106.08,93.48,65.90,0.00,-0.01,0.00,,0.00,0.00,0.00,14.00,12.88,10.30,11.44,,9.70,,36.39,38.17,1313.00,0.00,35.39,57.39,27.76,6.87,7.97,6.59,6.88,6.25,5.48,85.50,61.29,77.81,124.96,994.15,0.00,0.00,160.97
Thakral Services,509015,,Electronics - Components,31.00,,,1.17,0.16,1.71,4.41,3.19,5.36,7.04,10.24,0.00,0.00,0.00,-50.15,-29.22,-17.91,-14.25,,,,-9.49,-5.23,3628.00,0.00,141.22,223.31,211.99,-14.73,-21.85,,17.39,18.64,8.32,8.23,13.91,6.91,12.91,91.75,0.00,0.00,36.38
Thangamayil Jew.,533158,THANGAMAYL,Diamond Cutting / Jewellery,1736.40,23.74,21.79,2.74,108.73,80.35,46.96,2.63,2.78,3.16,4.32,0.00,0.00,15.64,16.19,19.05,18.31,15.43,18.40,22.30,10.82,5.49,4.72,20917.00,26.17,0.40,0.52,0.55,7.87,7.01,28.40,25.36,24.52,24.64,801.67,456.70,317.29,189.61,87.65,-0.82,4.99,4764.54
The Anup Enginee,542460,ANUP,Engineering,1792.85,16.32,16.93,,171.26,158.29,,1.73,1.15,,,30.89,1186.97,11.34,18.93,19.32,23.04,23.04,,,-6.64,23.85,,83012.00,20.23,124.75,144.25,104.44,11.73,11.91,17.06,16.26,16.26,16.34,561.71,569.67,,,109.40,-0.90,-0.20,3570.28
The Byke Hospi.,531373,BYKE,Hotels,83.79,-2.18,-0.97,4.01,42.38,46.91,24.95,0.75,1.41,2.21,2.36,0.00,0.00,0.00,2.32,1.30,6.00,13.56,6.42,1.81,2.58,31.15,26.58,17180.00,0.00,84.12,138.36,71.03,-1.40,-0.59,68.51,25.90,36.39,68.88,73.98,111.87,741.81,641.72,192.90,-2.73,-0.94,392.96
The Hi-Tech Gear,522073,HITECHGEAR,Auto Ancillaries,964.15,5.80,5.45,,170.90,147.18,,4.54,3.87,6.59,,0.00,0.00,4.69,8.46,8.29,9.54,9.54,,7.53,-4.97,11.59,,7176.00,-75.81,65.54,72.81,67.63,2.09,2.04,25.87,23.32,23.32,22.80,324.12,540.80,595.70,167.22,61.74,0.01,-0.01,1810.50
The Invest.Trust,530023,THEINVEST,Finance & Investments,172.82,1.32,1.69,5.10,116.65,114.58,43.09,1.17,2.42,2.64,,0.00,0.00,0.00,5.38,5.69,7.28,7.14,3.86,3.71,-14.61,14.87,19.14,4637.00,0.00,85.35,58.98,58.14,0.71,0.96,37.42,65.23,37.38,42.21,470.90,842.66,1578.17,135.95,303.79,2.37,0.00,902.85
The Ramco Cement,500260,RAMCOCEM,Cement - South India,827.75,9.75,7.75,23.81,242.98,212.30,110.28,2.66,3.19,2.60,2.29,0.44,2.11,61.38,8.00,10.15,11.51,12.51,11.56,10.45,-15.70,19.72,21.66,47897.00,13.16,25.15,25.93,34.65,5.11,3.90,51.27,28.93,29.64,31.22,23649.14,17336.10,16014.24,5123.48,-22.49,-1.26,8.84,19559.10
The Ravalgaon,507300,,Food - Processing - Indian,1885.05,-63.75,-69.99,0.03,99.67,197.00,-105.33,1.47,1.89,1.09,0.96,0.00,0.00,0.00,-16.56,-18.70,-22.12,-22.17,,,11.52,-35.18,-30.14,3032.00,0.00,3.57,1.29,1.62,-17.55,-18.29,,,,,11.30,16.63,27.60,22.65,-106.01,0.00,0.00,64.09
Thejo Engg.,,THEJO,Engineering,3015.90,23.57,22.89,1.03,122.49,97.35,,1.87,1.64,2.08,3.73,0.00,0.00,2.27,26.79,28.37,26.81,21.83,19.84,22.78,6.05,15.74,14.03,1156.00,6.02,87.82,103.59,101.98,14.10,13.88,38.69,31.61,31.74,33.42,409.19,192.27,72.79,,83.87,0.12,0.89,3269.91
Themis Medicare,530199,THEMISMED,Pharmaceuticals - Indian - Bulk Drugs & Formln,249.40,17.59,18.19,8.47,23.78,19.92,6.99,1.59,1.38,1.63,1.57,0.00,0.00,3.87,21.24,19.40,15.14,14.36,14.33,14.06,29.69,19.18,15.96,6007.00,8.32,137.51,122.81,144.83,10.90,12.43,19.89,23.27,23.26,16.78,258.61,270.99,553.88,48.93,159.72,0.05,0.00,2295.48
Thermax,500411,THERMAX,Engineering,4984.30,10.38,12.03,11.92,272.87,254.11,180.13,6.00,6.50,7.37,6.87,0.00,0.00,101.34,14.49,13.10,13.82,14.60,10.34,10.53,1.69,7.54,7.96,39815.00,26.13,82.38,94.24,84.21,4.68,5.39,70.06,60.85,65.00,68.29,16009.24,11576.03,11676.72,8915.27,-17.70,2.42,-1.57,59391.07
Thinkink Picture,539310,,Entertainment / Electronic Media Software,28.00,5.22,6.74,2.20,10.24,10.31,,0.00,0.55,1.10,0.00,0.00,0.00,0.21,10.43,7.43,6.34,5.61,4.16,4.61,2.58,14.41,7.65,1684.00,10.52,464.80,7712.91,399.61,2.54,3.85,60.16,68.14,66.30,61.29,87.25,52.84,50.25,,1393.70,2.55,0.00,82.96
Thirani Projects,538464,,Finance & Investments,3.39,-7.68,-12.86,2.02,9.76,9.69,,,,,,0.00,0.00,0.00,-14.65,-9.02,-6.15,-3.78,-3.13,-5.07,,-166.43,-37.54,6492.00,0.00,14.04,0.00,0.00,-8.58,-13.91,67.25,36.90,36.90,32.32,3.46,2.67,,,-165.54,0.00,0.00,6.85
Thirdwave Fin.,531652,,Trading,127.90,7.53,0.24,0.22,6.25,6.61,4.17,5.26,5.30,1.84,0.00,0.00,0.00,0.00,0.72,8.49,9.01,8.55,5.35,6.58,18.36,-0.19,2.38,493.00,0.00,38.30,7.09,0.00,6.25,0.23,70.62,44.43,44.43,42.00,5.81,6.83,2.07,,64.69,0.00,-5.79,28.27
Thirumalai Chem.,500412,TIRUMALCHM,Chemicals,335.50,10.21,10.21,10.24,78.42,62.33,18.86,4.89,4.89,5.90,5.79,0.00,0.00,14.75,15.53,14.57,21.13,21.19,13.10,13.19,,11.65,12.62,78530.00,-0.07,26.02,29.31,32.63,6.32,6.81,10.02,11.54,10.61,11.33,875.93,904.09,904.60,90.83,-19.21,2.16,1.27,3435.12
Thomas Cook (I),500413,THOMASCOOK,Travel Agencies,221.55,-1.70,0.72,27.27,51.00,44.00,48.75,0.78,1.66,9.56,8.99,0.00,0.00,7.53,4.49,0.13,1.29,4.50,-22.18,1.06,69.91,0.83,2.42,77943.00,99.51,39.60,58.94,45.84,-1.26,-0.23,53.95,46.73,48.60,70.68,1857.45,4377.60,3928.43,959.59,-106.64,2.55,-3.61,10425.90
Thomas Scott,533941,THOMASCOTT,Textiles - Products,246.65,19.68,27.49,0.34,11.86,12.15,25.60,2.27,3.45,3.75,2.36,0.00,0.00,0.00,25.10,14.35,9.24,1.74,4.93,13.11,30.00,8.18,4.21,4526.00,0.00,147.23,361.41,220.84,2.57,7.07,20.37,21.01,21.21,20.37,2.03,2.92,4.24,1.42,125.84,0.30,0.98,265.77
Three M Paper,544214,,Paper,68.78,,15.66,,,,,,,,,0.00,,,13.30,13.30,13.30,13.30,,,,,,,0.00,57.98,63.90,,,3.88,8.23,8.23,8.23,8.23,,,,,68.22,,,132.31
Thyrocare Tech.,539871,THYROCARE,Healthcare,810.80,20.87,17.92,5.05,84.25,71.59,,8.22,6.97,6.33,8.81,0.00,0.00,66.64,24.92,29.52,30.26,29.53,20.02,20.84,-8.02,33.55,35.99,76292.00,73.14,50.27,34.09,10.90,18.51,15.58,40.31,41.97,36.45,40.47,4772.44,2818.92,3856.27,,37.87,-10.70,8.51,4293.40
Tiaan Consumer,540108,,Trading,2.83,1.82,-5.86,0.61,9.50,8.69,,6.29,42.25,3.67,,0.00,0.00,0.01,-4.85,7.09,7.13,6.39,2.17,2.24,,6.81,6.62,,0.00,23005.71,188.60,79.47,-0.16,-6.67,5.52,29.41,27.72,22.57,12.70,2.33,,,41444.57,0.00,0.00,2.91
Tide Water Oil,590005,TIDEWATER,Chemicals,2595.40,17.71,16.79,1.72,420.89,388.92,290.40,2.88,3.71,3.84,3.83,0.00,0.00,88.06,21.72,22.80,22.92,22.73,16.92,17.25,3.65,9.64,9.94,70411.00,66.74,46.96,47.46,52.04,12.44,11.75,17.59,18.64,17.03,16.09,1513.00,1793.17,2106.67,702.48,71.56,1.39,-9.66,4522.22
Tierra Agrotech,543531,,Trading,63.87,,-40.06,,,,,,,,,0.00,,,-13.17,-13.17,-13.17,-13.17,,,,,,689.00,0.00,96.41,49.51,,,-10.54,,,,,,,,,119.86,,,418.95
Tiger Logistics,536264,,Miscellaneous,37.81,13.04,28.12,10.58,3.97,4.99,2.79,,,,,0.00,0.00,0.21,37.80,18.61,19.45,22.90,15.38,13.61,4.03,3.48,4.22,6356.00,1.05,62.76,93.86,111.95,7.86,20.66,14.78,17.29,14.44,13.57,44.82,107.29,227.78,30.26,45.94,8.70,0.00,399.75
Tijaria Polypipe,533629,TIJARIA,Plastics Products,15.98,,,2.36,2.43,7.30,29.60,3.91,4.78,4.12,2.47,0.00,0.00,0.00,-13.39,-9.05,-6.25,-6.21,,,,-4.14,2.36,8507.00,0.00,20537.41,218.56,136.04,-12.51,-15.19,,7.07,7.07,6.59,18.75,39.68,14.77,7.56,15994.31,6.13,0.00,45.75
TIL,505196,TIL,Engineering,390.60,,,3.81,60.34,78.51,86.57,0.99,1.20,0.94,2.76,0.00,0.00,0.00,-38.74,-24.28,-14.86,-5.65,,,,-40.14,-2.27,8520.00,0.00,197.97,277.60,153.62,-16.35,-23.41,,11.41,8.35,8.21,159.83,272.72,306.90,162.00,-38.12,0.00,-11.74,2601.48
Tilak Ventures,503663,,Finance & Investments,5.38,4.10,4.30,22.48,1.13,1.06,1.22,,,,2.42,0.00,0.00,0.00,4.52,4.06,0.60,-1.72,-0.67,1.40,21.87,8.98,-7.29,58486.00,0.00,6.19,0.00,0.00,3.17,3.26,35.27,74.20,63.40,63.40,45.63,11.02,26.53,3781.36,1111.37,0.00,0.00,119.89
Tilaknagar Inds.,507205,TI,Breweries & Distilleries,250.40,,27.25,12.48,-4.44,-1.39,43.46,2.04,2.46,1.73,1.54,0.00,0.00,3.17,17.00,9.68,7.24,3.15,,,,9.62,5.00,39888.00,4.53,108.70,120.46,133.01,0.91,7.98,39.45,37.52,39.45,39.45,369.40,181.44,170.92,688.16,77.40,11.69,0.34,4827.84
Time Technoplast,532856,TIMETECHNO,Plastics Products,331.60,9.72,10.90,21.01,84.14,80.26,49.37,2.93,3.54,3.83,4.01,0.00,0.00,26.71,13.69,12.53,13.39,13.53,10.71,10.43,0.04,13.63,14.05,77998.00,13.18,82.02,96.97,80.32,5.60,6.50,12.01,11.59,12.25,11.26,1369.32,2320.27,2799.70,847.83,145.31,-7.85,-0.26,7524.97
Times Green Ener,543310,,Trading,78.71,,2.17,,,,,0.00,,,,0.00,0.00,0.00,6.08,7.86,7.86,7.86,,,,2.20,,106.00,0.00,69.89,210.57,,,1.94,33.22,37.45,37.45,37.45,,,,,50.41,,,13.10
Times Guaranty,511559,TIMESGTY,Finance & Investments,130.00,6.05,3.32,0.90,45.71,38.44,26.98,,,0.00,,0.00,0.00,0.00,4.21,7.83,7.02,6.86,5.46,5.49,-5.41,80.18,79.55,21061.00,0.00,29.52,205.47,0.00,6.21,3.31,40.15,21.88,20.44,17.80,21.22,29.32,31.03,15.92,696.30,0.20,0.01,116.87
Timescan Logist.,,TIMESCAN,Miscellaneous,63.05,25.12,25.43,,,,,,,,,0.00,0.00,0.07,31.99,31.39,32.19,31.42,,25.14,-1.87,2.69,2.43,243.00,3.56,44.10,78.64,52.45,8.07,9.62,14.64,14.64,14.64,14.64,,,,,20.49,,,44.06
Timex Group,500414,,Miscellaneous,156.05,,,10.10,-6.30,-5.49,-5.47,2.07,3.19,2.71,3.02,0.00,0.00,0.00,31.88,16.66,18.59,1.19,,,,5.41,3.79,42947.00,0.00,53.83,98.44,80.82,6.82,13.98,53.94,56.19,56.19,54.26,276.60,519.89,507.78,102.26,64.99,0.45,0.15,1575.32
Timken India,522113,TIMKEN,Bearings,4272.25,17.64,19.89,6.80,178.61,209.61,64.48,2.47,2.92,3.54,3.72,0.00,0.00,85.74,26.70,22.83,22.39,24.03,17.26,17.09,3.84,20.63,18.76,74339.00,3.71,81.97,96.09,66.22,13.42,15.53,62.70,49.83,56.08,59.34,9752.10,4417.22,4386.34,1243.04,113.47,9.73,12.84,32135.32
Tinna Rubber,530475,,Miscellaneous,1832.75,18.11,28.94,1.71,39.04,39.06,46.36,2.73,2.68,2.10,3.26,0.00,0.00,3.25,26.34,17.83,14.19,11.83,8.90,12.65,217.62,14.30,10.26,15561.00,20.38,40.68,69.73,66.38,7.05,12.67,21.73,18.52,21.87,22.29,31.46,35.91,54.51,29.84,59.32,0.79,0.00,3139.41
Tinna Trade,541741,,Trading,440.55,-7.15,-4.45,,31.24,34.58,,8.18,18.62,13.49,,0.00,0.00,0.00,4.96,2.58,4.75,6.63,,-4.28,-38.83,0.33,0.99,5077.00,0.00,47.57,13.89,14.17,-2.97,-1.53,2326.79,9.74,9.74,2326.79,12.80,18.46,,,44.71,0.10,0.00,1775.61
Tips Films,543614,TIPSFILMS,Entertainment / Electronic Media Software,491.15,,15.78,,,,,,,,,,,0.43,22.35,22.35,22.35,22.35,,,,,,10771.00,2.96,84.90,,,,12.53,36.61,36.61,36.61,36.61,,,,,278.01,,,212.32
Tips Industries,532375,TIPSINDLTD,Entertainment / Electronic Media Software,618.70,58.71,70.14,15.36,7.81,5.61,4.57,,0.01,0.00,0.00,0.00,0.00,18.03,92.51,71.91,53.73,40.38,37.38,47.51,96.57,53.63,36.44,25886.00,24.33,42.55,60.76,19.00,36.67,45.11,35.47,30.19,31.90,29.56,549.41,78.76,75.75,54.68,32.84,1.37,6.72,7908.94
Tirth Plastic,526675,,Trading,43.30,-2.78,-0.55,,,,,0.00,0.04,1.70,,0.00,0.00,0.00,-0.83,-3.32,-2.70,-1.96,-1.78,-2.36,,,,6427.00,,40.56,,,-2.12,-0.45,,,,,,,,,2960.56,0.00,0.00,19.27
Tirupati Foam,540904,,Miscellaneous,112.00,6.82,6.86,0.44,58.48,55.98,,3.03,3.88,4.86,5.35,0.01,0.00,0.44,9.78,9.80,10.74,11.22,7.90,7.88,-10.00,9.61,9.92,958.00,38.60,73.19,135.32,96.04,2.10,2.18,19.17,18.90,18.90,19.09,29.64,41.87,,,118.32,0.00,0.00,49.36
