Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization
Updater Services,543996,UDS,Miscellaneous,316.35,631.77,24.16,10.41,149.84,16.46,211.27,40.26,5.56,45.82,12.29,33.53,3.08,30.45,6.30,0.00,24.16,96.36,6.37,3.82,66.95,3.86,26.32,34.10,600.10,577.69,9.18,12.40,109.10,202403.00,16.14,670.93,37.95,19.42,2.90,636.05,34.77,9.35,44.12,14.92,29.20,4.25,24.95,4.41,20.54,0.00,20.54,5.47,3.23,66.70,3.12,2117.91
UPL,512070,UPL,Pesticides / Agrochemicals - Indian,537.60,9067.00,-363.12,1.16,-1489.86,-16.47,-169.54,1069.00,49.00,1167.00,660.00,507.00,913.00,-455.00,72.00,-49.00,-527.00,50.15,11.79,-5.50,150.00,-5.12,67.00,1121.00,9887.00,10170.00,-1607.00,-293.00,-55.57,202406.00,-15.40,8603.98,841.22,-630.07,-6.12,14078.00,1848.00,66.00,2019.00,794.00,1225.00,1090.00,30.00,110.00,-148.00,-105.00,-80.00,13.13,-1.05,150.00,0.53,40352.67
Upsurge Invest.,531390,,Finance & Investments,99.18,20.54,2.74,363.66,197.86,77.88,2154.00,3.32,0.00,3.32,0.00,3.32,0.04,3.28,0.54,0.00,2.74,18.06,16.16,13.34,15.15,1.81,3.21,3.75,9.70,11.00,2.62,3.42,1147.66,202403.00,175.55,30.31,8.57,8.50,5.61,16.83,3.06,0.00,3.06,0.01,3.05,0.03,3.02,0.54,2.49,0.00,2.49,18.18,14.80,15.15,1.64,150.26
Upsurge Seeds,,USASEEDS,Miscellaneous,279.00,60.05,,,,60.39,52.31,8.62,,,,,,,,,4.94,,,,,7.00,,,,,,,62.47,202403.00,,,,,,72.90,4.79,,,,,,,,,,2.68,,,,3.80,196.97
UR Sugar,539097,,Trading,13.94,0.00,-0.17,,5.56,-100.00,315.38,-0.48,0.24,-0.24,0.00,-0.24,0.00,-0.24,-0.07,0.00,-0.17,,,,10.50,-0.03,-0.08,-0.11,0.00,0.00,0.76,-0.12,-1420.00,202403.00,,,,,,0.00,-0.09,0.29,0.20,0.01,0.19,0.00,0.19,0.10,0.08,0.00,0.08,,,10.50,0.02,73.19
Uravi T & Wedge,543930,URAVI,Auto Ancillaries,567.85,11.08,0.55,50.54,252.78,23.86,142.05,1.67,0.26,1.93,0.62,1.31,0.57,0.74,0.19,0.00,0.55,53.16,15.07,4.96,11.00,0.50,1.74,1.46,10.62,8.76,0.58,0.62,31.56,202403.00,26.87,11.11,1.76,0.56,0.51,11.53,1.56,0.06,1.62,0.60,1.02,0.60,0.42,0.04,0.38,0.00,0.38,13.53,3.30,11.00,0.35,624.64
Urban Enviro,,URBAN,Miscellaneous,430.70,56.01,,,,161.67,237.32,9.17,,,,,,,,,3.05,,,,,7.04,,,,,,,135.17,202403.00,,,,,,46.46,9.22,,,,,,,,,,4.00,,,,9.24,186.49
Urja Global,526987,URJA,Automobiles - Motorcycles / Mopeds,21.07,10.38,0.33,7.34,-38.89,15.67,14.35,0.40,0.18,0.58,0.08,0.50,0.17,0.33,0.00,0.00,0.33,31.21,3.85,3.18,53.39,0.01,0.86,0.78,11.12,10.96,0.94,0.90,33.14,202406.00,15.92,12.71,0.73,0.48,0.01,13.02,0.21,0.42,0.63,0.03,0.60,0.14,0.46,0.00,0.46,0.00,0.46,1.61,3.53,53.39,0.01,1107.13
USG Tech,532402,,Computers - Software - Medium / Small,9.43,0.00,-0.07,,50.00,-100.00,-46.15,-0.03,0.00,-0.03,0.00,-0.03,0.04,-0.07,0.00,0.00,-0.07,,,,39.41,-0.02,-0.11,-0.10,0.00,0.00,-0.14,-0.13,-14.29,202403.00,,,,,,0.00,-0.12,0.00,-0.12,0.00,-0.12,0.02,-0.14,0.00,-0.14,0.00,-0.14,,,39.41,-0.04,37.16
Usha Mart. Edu.,532398,UMESLTD,Computers - Education,8.51,0.22,-0.05,120.00,-266.67,10.61,114.29,0.10,0.08,0.18,0.00,0.18,0.04,0.14,0.19,0.00,-0.05,100.00,45.45,-22.73,2.64,-0.02,-0.04,0.04,0.06,0.16,0.08,0.02,144.44,202403.00,89.00,0.30,0.05,0.01,0.00,0.29,0.13,0.01,0.14,0.00,0.14,0.04,0.10,0.00,0.10,0.00,0.10,44.83,34.48,2.64,0.04,22.48
Usha Martin,517146,USHAMART,Steel - Medium / Small,369.95,829.03,106.26,-3.06,1.00,-1.30,21.33,151.51,14.03,165.54,22.53,143.01,6.66,136.35,30.02,0.00,106.33,49.68,18.28,12.83,30.54,3.49,144.32,145.68,784.70,814.38,109.52,100.76,16.60,202403.00,-1.07,805.66,147.75,121.60,3.99,797.09,157.05,7.59,164.64,18.85,145.79,6.20,139.59,32.08,107.50,0.00,107.51,19.70,13.49,30.54,3.53,11273.92
Ushakiran Fin.,511507,,Finance & Investments,37.00,0.06,-0.01,20.00,-116.67,17.95,-38.46,0.00,0.00,0.00,0.01,-0.01,0.00,-0.01,0.00,0.00,-0.01,100.00,0.00,-16.67,2.54,-0.04,0.08,0.06,0.13,0.14,0.07,-0.04,91.67,202403.00,40.24,0.20,0.08,0.07,0.26,0.13,0.09,0.00,0.09,0.01,0.08,0.00,0.08,0.01,0.06,0.00,0.06,69.23,46.15,2.75,0.24,9.40
Ushanti Colour,,UCL,Dyes And Pigments,58.30,29.98,,,,15.28,-69.93,1.02,,,,,,,,,-3.22,,,,,-1.29,,,,,,,,202403.00,,,,,,20.73,0.72,,,,,,,,,,-1.55,,,,-1.50,62.39
UTI AMC,543238,UTIAMC,Finance & Investments,1035.55,529.22,254.17,13.14,8.43,20.01,35.36,351.15,4.52,355.67,11.19,344.48,3.16,341.32,67.02,0.00,274.30,100.00,66.35,51.83,127.28,19.97,272.85,231.52,449.05,404.06,203.37,182.81,33.98,202406.00,24.17,501.70,295.94,279.91,20.36,416.08,228.50,4.23,232.73,11.76,220.97,3.01,217.96,36.52,162.76,0.00,181.44,54.92,43.61,127.00,12.79,13190.20
Utique Enterp.,500014,,Finance & Investments,7.81,0.03,0.00,-99.86,-100.00,9.45,20.83,-0.53,0.65,0.12,0.07,0.05,0.02,0.03,0.03,0.00,0.00,100.00,-1766.67,0.00,55.67,0.00,0.48,-0.16,17.30,32.24,0.65,0.05,-3733.33,202403.00,84.94,59.63,-175.96,-208.18,-37.39,18.38,-0.96,1.21,0.25,0.07,0.18,0.02,0.16,0.58,-0.42,0.00,-0.42,-5.22,-2.29,55.67,-0.08,43.48
Utkarsh Small F.,543942,UTKARSHBNK,Banks - Private Sector,50.02,965.92,137.40,34.06,27.81,28.98,24.86,474.34,104.65,578.99,0.00,578.99,392.75,186.24,48.84,0.00,137.40,100.00,49.11,14.22,1100.14,1.25,393.06,364.06,805.98,756.32,116.06,114.42,28.39,202406.00,29.07,976.18,474.72,81.77,0.74,895.62,443.34,120.68,564.02,0.00,564.02,355.67,208.35,48.69,159.66,0.00,159.66,49.50,17.83,,1.45,5504.51
UTL Industries,500426,,Computers - Software - Medium / Small,3.67,0.04,-0.01,300.00,0.00,75.00,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,0.00,-0.01,75.00,-25.00,-25.00,3.30,0.00,-0.03,-0.02,0.01,0.01,-0.03,-0.13,0.00,202403.00,171.43,0.03,-0.06,-0.06,-0.02,0.01,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,-500.00,-500.00,3.30,-0.02,12.09
Uttam Sug.Mills,532729,UTTAMSUGAR,Sugar,327.15,465.15,42.14,-11.81,-39.80,-0.58,7.08,82.49,2.44,84.93,10.85,74.08,16.76,57.32,15.18,0.00,42.14,36.08,17.73,9.06,38.14,11.05,42.91,66.47,604.03,460.05,15.63,30.97,8.57,202403.00,4.10,478.93,65.82,39.51,10.36,517.74,73.94,2.28,76.22,10.06,66.16,7.55,58.61,15.14,43.47,0.00,43.47,14.28,8.40,38.14,11.40,1247.75
V B Desai Fin.,511110,,Finance & Investments,17.20,0.77,0.12,-4.94,-7.69,17.11,31.43,0.12,0.05,0.17,0.00,0.17,0.00,0.17,0.05,0.00,0.12,100.00,15.58,15.58,4.54,0.27,0.06,0.03,0.77,0.50,0.09,0.06,53.57,202406.00,33.91,0.67,0.07,0.07,0.15,1.04,0.22,0.04,0.26,0.00,0.26,0.00,0.26,0.07,0.19,0.00,0.19,21.15,18.27,4.54,0.42,7.79
V B Industries,539123,,Finance & Investments,5.95,1.72,-0.75,319.51,-44.23,319.51,-27.27,-2.07,1.07,-1.00,0.00,-1.00,0.00,-1.00,-0.25,0.00,-0.75,-109.30,-120.35,-43.60,13.11,-0.57,-0.06,-0.11,0.00,0.00,0.30,0.26,-45.86,202403.00,,,,,,0.00,-0.06,0.45,0.39,0.00,0.39,0.00,0.39,0.12,0.27,0.00,0.27,,,13.11,0.21,7.80
V I P Inds.,507880,VIPIND,Moulded Luggage,454.85,516.32,-23.88,14.59,-160.23,7.81,-80.13,7.83,3.88,11.71,28.23,-16.52,16.73,-33.25,-9.37,0.00,-23.88,50.06,1.52,-4.63,28.39,-1.68,52.88,80.60,546.09,636.13,13.28,57.75,-37.64,202403.00,7.95,686.69,67.26,19.64,1.38,546.42,52.25,2.66,54.91,26.56,28.35,15.16,13.19,6.04,7.15,0.00,7.15,9.56,1.31,28.38,0.50,6457.62
V R Films & Stud,542654,,Entertainment / Electronic Media Software,25.49,7.50,0.55,,,7.92,-174.39,1.05,0.09,0.98,0.35,0.63,0.22,0.41,-0.14,0.00,0.26,121.24,14.88,9.20,10.98,0.24,,,,,,,-57.49,202403.00,,,,,,4.90,-0.34,,,,,,,,,,-0.87,,,,-0.79,27.98
V R Infraspace,,VR,Construction,225.10,11.74,,,,5.32,-13.27,2.44,,,,,,,,,1.61,,,,,1.53,,,,,,,21.50,202403.00,,,,,,7.27,1.11,,,,,,,,,,1.04,,,,1.60,199.89
V-Guard Industri,532953,VGUARD,Electric Equipment,460.20,1414.53,81.88,23.25,54.11,15.24,45.52,127.84,6.52,134.36,16.55,117.81,7.55,110.26,28.38,0.00,81.88,32.73,9.04,5.79,43.44,1.88,85.23,80.29,1078.26,1071.86,46.62,51.99,28.30,202406.00,15.52,1238.27,97.68,72.57,1.67,1261.63,99.86,24.97,124.83,17.02,107.81,8.80,99.01,19.84,79.17,0.00,79.17,7.92,6.28,43.35,1.82,20010.88
V-Marc India,,VMARCIND,Cables - Power,259.00,389.70,,,,130.51,156.94,48.46,,,,,,,,,21.36,,,,,9.37,,,,,,,152.83,202403.00,,,,,,175.03,17.31,,,,,,,,,,5.50,,,,2.41,590.15
V-Mart Retail,534976,VMART,Trading,3412.40,668.60,-38.92,12.58,-5.30,13.01,-863.98,40.23,4.43,44.66,60.74,-16.08,35.91,-51.99,-13.07,0.00,-38.92,31.70,6.02,-5.82,19.78,-19.68,0.67,52.46,549.43,678.52,-64.12,-21.95,-20.77,202403.00,13.07,767.19,54.72,-43.92,-22.21,889.05,119.69,13.03,132.72,58.29,74.43,37.55,36.88,8.65,28.23,0.00,28.23,13.46,3.18,19.78,14.27,6748.66
V.L.Infraproject,,VLINFRA,Construction,96.85,,,,,150.07,175.34,,,,,,,,,,,,,,,,,,,,,,131.14,202403.00,,,,,,,,,,,,,,,,,,,,,,152.18
V2 Retail,532867,V2RETAIL,Textiles - Products,1008.95,415.03,15.86,57.44,222.36,47.68,619.62,53.38,1.23,54.61,20.17,34.44,13.25,21.19,5.33,0.00,15.86,26.59,12.86,3.82,34.59,4.59,60.57,18.80,373.76,231.32,24.09,-5.68,81.49,202406.00,49.26,345.27,36.65,2.94,0.85,296.04,30.30,0.79,31.09,18.29,12.80,12.47,0.33,-3.54,3.87,0.00,3.87,10.24,1.31,34.59,1.12,3489.89
Va Tech Wabag,533269,WABAG,Engineering - Turnkey Services,1320.95,934.20,72.40,0.79,-44.49,-3.52,372.22,115.50,8.70,124.20,2.50,121.70,21.80,99.90,21.80,0.00,78.10,99.31,12.36,8.36,12.40,11.64,86.10,55.80,665.00,552.80,60.10,49.60,15.23,202403.00,-2.81,537.28,62.29,38.80,5.78,704.40,98.40,3.70,102.10,2.10,100.00,16.70,83.30,20.70,62.60,0.00,62.60,13.97,8.89,12.40,10.11,8215.04
Vaarad Ventures,532320,,Finance & Investments,14.39,0.00,-0.08,,-60.00,,-17.39,-0.05,0.00,-0.05,0.02,-0.07,0.00,-0.07,0.00,0.00,-0.08,,,,24.99,0.00,-0.03,-0.06,0.00,0.00,-0.03,-0.09,-30.77,202403.00,,,,,,0.00,-0.03,0.00,-0.03,0.02,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,,,24.99,0.00,359.61
Vadilal Enterp.,519152,,Trading,4135.00,188.42,-8.71,-0.70,-4.94,7.42,37.04,-7.74,0.19,-7.55,3.20,-10.75,0.90,-11.65,-2.94,0.00,-8.71,23.90,-4.11,-4.62,0.86,-100.96,7.57,16.43,244.04,434.73,3.52,10.49,57.64,202403.00,7.84,468.81,6.82,-1.30,-15.09,131.95,-2.12,9.43,7.31,3.11,4.20,1.20,3.00,0.78,2.22,0.00,2.22,-1.61,1.68,0.86,25.73,355.61
Vadilal Inds.,519156,VADILALIND,Food - Processing - Indian,4382.20,251.45,27.64,-1.87,-3.96,6.38,47.78,45.77,2.69,48.46,9.23,39.23,4.25,34.98,7.34,0.00,27.64,52.24,18.20,10.99,7.19,38.45,58.95,104.26,288.71,410.91,38.05,71.02,32.56,202403.00,6.84,439.02,88.69,69.77,97.07,174.26,11.29,3.84,15.13,8.38,6.75,3.77,2.98,-6.26,9.24,0.00,9.24,6.48,5.30,7.19,12.86,3150.80
Vadivarhe Speci.,,VSCL,Chemicals,59.50,25.98,-2.90,30.66,-211.83,-8.24,-92.41,4.94,0.30,-2.09,0.45,-2.54,0.36,-2.90,0.00,0.00,3.81,18.91,-41.86,-50.79,12.78,2.98,-1.07,0.08,4.23,8.24,-1.87,-0.60,16.76,202403.00,2.49,8.45,-1.28,-2.38,-1.86,14.10,-0.91,0.29,-1.47,0.46,-1.93,0.48,-2.15,0.00,-2.41,0.26,-3.75,-26.83,-43.11,,-2.93,76.06
Vaghani Techno,531676,,Construction,18.08,0.00,0.01,,-50.00,,-266.67,-0.03,0.04,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.01,,,,5.22,0.02,-0.02,-0.02,0.00,0.00,0.02,-0.15,0.00,202406.00,,,,,,0.00,-0.01,0.04,0.03,0.00,0.03,0.00,0.03,0.01,0.02,0.00,0.02,,,5.22,0.04,9.44
Vaibhav Global,532156,VAIBHAVGBL,Diamond Cutting / Jewellery,326.20,756.01,27.45,14.85,-7.17,15.36,13.36,57.09,8.62,65.71,24.89,40.82,3.44,37.38,9.94,0.00,27.45,69.02,7.55,3.63,33.14,1.67,93.43,63.49,888.34,705.00,47.09,29.03,24.02,202406.00,15.57,814.75,70.42,41.76,2.52,789.37,53.46,6.07,63.67,25.07,38.60,2.81,31.65,10.60,23.82,-4.14,21.06,6.77,3.02,33.06,1.29,5411.95
Vaidya Sane,,MADHAVBAUG,Trading,135.00,48.23,,,,0.16,-59.01,1.82,,,,,,,,,0.80,,,,,0.76,,,,,,,-47.13,202403.00,,,,,,51.10,2.69,,,,,,,,,,1.18,,,,1.12,141.93
Vaishali Pharma,,VAISHALI,Trading,159.15,32.40,-4.68,23.48,-1163.64,23.86,-89.09,-6.79,0.91,-5.88,0.14,-6.02,0.40,-6.42,-1.73,0.00,-4.68,0.28,-20.96,-14.44,10.72,-4.37,2.65,2.31,12.57,13.42,1.70,1.59,-87.85,202403.00,25.68,16.87,1.75,1.24,1.15,27.90,2.95,0.47,3.42,0.12,3.30,0.43,2.87,0.75,2.11,0.00,2.11,10.57,7.56,10.60,1.99,170.60
Vakrangee,511431,VAKRANGEE,Computers - Software - Converts,21.50,53.89,2.50,5.79,267.65,7.74,259.09,7.61,0.39,8.32,3.85,4.47,1.96,2.19,0.00,-0.32,2.19,25.61,14.12,4.64,105.95,0.02,5.92,6.62,51.54,55.59,0.42,0.49,42.06,202403.00,-12.41,48.69,5.96,0.40,0.00,51.56,6.23,1.32,6.80,3.92,2.88,1.93,1.70,0.45,0.69,0.75,1.24,12.08,1.34,105.95,0.01,2277.95
Valencia Nutrit.,542910,,Food - Processing - Indian,46.22,0.69,,,,-8.22,-9.52,-1.09,,,,,,,,,-0.84,,,,,-0.60,,,,,,,-35.29,202403.00,,,,,,0.64,-0.52,,,,,,,,,,-0.55,,,,-0.39,64.54
Valiant Commun.,526775,,Telecommunications - Equipment,672.55,13.66,3.12,41.41,250.56,40.14,192.36,4.25,0.56,4.81,0.61,4.20,0.05,4.15,1.03,0.00,3.12,58.05,31.11,22.84,7.63,4.09,2.47,2.25,12.27,11.10,1.38,1.43,120.34,202406.00,40.19,15.56,3.67,2.89,3.79,13.31,3.92,0.07,3.99,0.62,3.37,0.04,3.33,0.84,2.49,0.00,2.49,29.45,18.71,7.22,3.26,513.03
Valiant Laborato,543998,VALIANTLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,134.01,30.58,-1.22,-65.99,-115.58,-45.48,-109.86,-4.53,2.50,-2.03,0.50,-2.53,0.02,-2.55,-1.33,0.00,-1.22,1.93,-14.81,-3.99,43.45,-0.28,-1.39,3.82,59.55,51.41,0.79,4.27,-123.94,202403.00,,,,,,40.52,-6.31,1.78,-4.53,0.49,-5.02,0.02,-5.04,-1.55,-3.50,0.00,-3.50,-15.57,-8.64,32.56,-0.81,582.27
Valiant Organics,540145,VALIANTORG,Chemicals,397.20,176.76,-11.02,-34.87,-137.04,-31.25,-107.58,-2.18,-7.10,-0.12,8.77,-8.89,7.09,-25.14,-4.95,-9.16,-20.19,25.20,-1.23,-6.24,27.58,-7.32,15.49,23.86,203.10,201.84,4.75,14.93,-77.67,202403.00,-30.25,140.78,10.25,-3.78,-1.37,141.36,2.58,0.40,2.98,8.60,-5.62,4.19,-9.81,-1.92,-7.89,0.00,-7.89,1.83,-5.58,27.17,-2.86,1095.28
Vallabh Steels,513397,,Steel - Medium / Small,9.94,0.00,-0.39,,84.15,,82.22,-0.10,0.00,-0.10,0.32,-0.42,0.00,-0.42,-0.03,0.00,-0.39,,,,4.95,-0.79,-0.13,-0.20,0.00,0.00,-0.45,-0.52,93.80,202403.00,,,,,,0.00,-0.10,0.00,-0.10,0.32,-0.42,0.00,-0.42,0.00,-0.43,0.00,-0.43,,,4.95,-0.87,4.92
Valor Estate,533160,DBREALTY,Construction,213.69,144.22,-6.54,147.16,84.25,-48.80,296.27,29.71,8.63,38.34,12.24,26.10,33.07,-6.97,6.36,0.00,-13.33,93.50,20.60,-9.24,537.79,-0.12,49.00,-9.14,68.02,2.43,893.74,-25.91,120.97,202403.00,136.51,5.75,-9.38,-42.68,-0.39,142.80,80.28,401.07,495.48,13.60,481.88,5.09,462.66,0.02,476.56,-14.13,462.64,56.22,333.73,501.57,9.26,11506.47
Valson Industrie,530459,,Textiles - Processing,33.13,27.92,0.37,-14.46,285.00,-4.50,4800.00,0.80,0.18,0.98,0.65,0.33,0.33,0.00,-0.37,0.00,0.37,29.62,2.87,1.33,7.66,0.48,1.12,1.05,34.47,33.03,0.39,0.24,-2.56,202403.00,-3.36,31.92,0.99,,,29.15,0.84,0.11,0.95,0.64,0.31,0.30,0.01,-0.16,0.17,0.00,0.17,2.88,0.58,7.66,0.22,25.38
Vama Industries,512175,,Trading,9.31,1.16,-3.97,-75.32,-3870.00,-55.66,-481.32,-2.89,1.60,-2.88,0.10,-2.98,0.93,-2.32,0.19,1.59,-2.51,60.34,-249.14,-342.24,10.51,-0.48,-0.71,-0.03,1.06,1.44,-0.96,-0.30,-268.13,202403.00,-7.47,1.33,-0.68,,,2.01,0.28,0.01,0.29,0.05,0.24,0.24,0.00,0.00,0.00,0.00,0.00,13.93,0.00,10.51,0.00,48.91
Vamshi Rubber,530369,,Miscellaneous,50.50,21.63,0.22,12.83,414.29,-3.15,2133.33,0.67,0.15,0.82,0.19,0.63,0.47,0.16,-0.05,0.00,0.22,30.88,3.10,1.02,4.21,0.52,0.88,0.83,17.60,19.29,0.13,0.12,18.12,202403.00,-2.13,18.88,0.81,0.10,0.24,18.90,0.87,0.08,0.95,0.26,0.69,0.44,0.25,0.10,0.15,0.00,0.15,4.60,0.79,4.21,0.36,21.26
Vandana Knitwear,532090,,Trading,4.74,1.75,0.02,28.68,-60.00,16.67,-30.77,-0.15,0.19,0.04,0.00,0.04,0.01,0.03,0.01,0.00,0.02,5.14,-8.57,1.14,10.70,0.00,-0.13,0.02,0.68,0.86,0.04,0.01,5.77,202403.00,33.16,1.15,-0.08,-0.09,-0.01,0.54,-0.12,0.16,0.04,0.00,0.04,0.01,0.03,0.02,0.02,0.00,0.02,-22.22,3.70,10.70,0.00,50.71
Vani Commercials,538918,,Finance & Investments,10.28,-0.39,-0.01,,,,,-0.55,0.01,-0.54,0.00,-0.54,-0.90,0.36,0.37,0.00,-0.01,,,,11.74,-0.01,,,,,,,,202403.00,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,12.07
Vanta Bioscience,540729,,Miscellaneous,56.19,3.55,-2.56,,,66.72,64.20,-0.75,0.01,-0.54,1.31,-1.85,2.48,-4.33,0.09,0.00,-1.78,85.46,-19.50,-90.78,6.31,-2.82,,,,,,,154.81,202403.00,,,,,,6.18,2.06,,,,,,,,,,-0.54,,,,-0.86,35.47
Vantage Knowledg,539761,,Miscellaneous,57.57,2.01,0.19,41.55,-73.61,111.76,37.62,-0.18,0.37,0.19,0.00,0.19,0.00,0.19,0.00,0.00,0.19,57.71,-8.96,9.45,10.38,0.02,0.39,0.76,0.70,0.92,0.28,0.58,14.29,202403.00,214.63,2.89,1.83,1.81,0.17,0.68,0.57,0.01,0.58,0.00,0.58,0.00,0.58,0.00,0.58,0.00,0.58,83.82,85.29,3.36,0.06,597.72
Vapi Enterprise,502589,,Paper,186.20,0.53,0.21,-41.76,-50.00,46.15,-14.41,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.10,0.00,0.21,100.00,58.49,39.62,2.28,0.92,0.37,0.45,0.54,0.61,0.09,0.35,646.15,202403.00,-33.25,0.41,0.28,0.28,1.23,0.41,0.28,-0.01,0.28,0.00,0.28,0.00,0.27,0.09,0.19,-0.01,0.18,68.29,46.34,2.28,0.79,42.45
Varanium Cloud,,CLOUD,Computers - Software - Medium / Small,25.30,395.15,87.68,260.90,196.22,,,114.24,6.71,120.95,10.68,110.27,2.19,108.08,20.40,0.00,87.68,100.00,28.91,22.19,20.10,19.84,,,,,,,,202312.00,,,,,,206.72,56.54,0.00,56.54,1.58,54.96,0.00,54.96,14.29,40.67,0.00,40.67,27.35,19.67,,9.20,102.52
Vardhman Acrylic,,VARDHACRLC,Textiles - Manmade,63.05,57.05,4.34,-29.39,843.48,-29.48,-0.88,2.14,4.09,6.23,0.73,5.50,0.06,5.44,1.10,0.00,4.34,35.48,3.75,7.61,80.36,0.54,4.87,5.32,61.89,86.41,5.60,6.18,-18.45,202406.00,-28.16,62.08,3.80,2.58,0.32,68.38,4.56,3.58,8.14,1.36,6.78,0.13,6.65,1.36,5.29,0.00,5.29,6.67,7.74,80.36,0.66,506.69
Vardhman Concr.,531444,,Cement Products,9.85,0.00,-9.97,,-19840.00,,-2189.80,-3.62,0.60,-3.02,1.21,-4.23,5.74,-9.97,0.00,0.00,-9.97,,,,7.16,-13.93,-0.08,-0.07,0.00,0.00,-0.08,-0.07,-1684.62,202406.00,,,,,,0.00,-0.87,0.01,-0.86,0.01,-0.87,0.23,-1.10,0.00,-1.10,0.00,-1.10,,,7.31,-1.54,7.05
Vardhman Hold.,500439,VHL,Finance & Investments,3982.50,0.07,52.78,101.29,29.33,153.40,-19.07,-2.65,28.39,54.82,0.00,54.82,0.00,25.74,0.16,-29.08,25.58,100.00,-3785.71,75400.00,3.19,80.15,29.53,5.43,30.27,5.90,61.93,43.79,594.74,202403.00,935.00,,,,,7.73,7.33,47.12,54.45,0.00,54.45,0.00,54.45,0.85,53.60,0.00,53.60,94.83,693.40,3.19,167.95,1270.42
Vardhman Polytex,514175,VARDMNPOLY,Textiles - Cotton/Blended,9.44,73.69,0.95,-54.83,103.34,-39.73,72.01,-0.96,4.52,3.56,2.47,1.09,0.14,0.95,0.00,0.00,0.95,13.61,-1.30,1.29,27.29,0.03,-20.25,-3.17,100.60,135.53,-34.07,1.05,-15.87,202403.00,-34.08,89.34,-8.53,-11.42,-0.42,60.81,-17.52,2.87,-14.65,2.62,-17.27,-22.58,5.31,0.00,5.31,0.00,5.31,-28.81,8.73,24.29,0.19,257.63
Vardhman Special,534392,VSSL,Steel - Medium / Small,274.60,414.78,26.08,1.32,40.44,-0.50,11.73,42.37,5.67,48.04,8.29,39.75,4.70,35.05,8.97,0.00,26.08,31.51,10.22,6.29,81.46,3.20,33.25,31.13,397.40,415.19,21.81,18.46,24.61,202406.00,-0.35,413.74,35.99,23.29,2.86,439.41,48.83,8.71,57.54,8.99,48.55,4.66,43.89,11.10,32.79,0.00,32.79,11.11,7.46,81.25,4.03,2237.85
Vardhman Textile,502986,VTL,Textiles - Cotton/Blended,526.45,2308.59,238.50,-0.42,74.76,-1.54,21.76,348.00,78.81,426.81,96.99,329.82,17.77,312.05,72.28,0.00,239.77,47.45,15.07,10.39,56.89,8.25,244.21,205.36,2329.51,2397.46,161.86,136.11,9.07,202406.00,-1.54,2360.63,250.96,128.78,4.43,2459.41,308.20,81.19,389.39,96.80,292.59,28.52,264.07,61.94,200.59,0.00,202.13,12.53,8.22,56.89,6.94,15223.61
Variman Global,540570,,Trading,21.38,27.33,-0.13,-0.76,-186.67,-2.35,-31.10,-1.30,2.28,0.98,0.06,0.92,1.08,-0.16,-0.04,0.00,-0.13,8.38,-4.76,-0.48,19.46,-0.01,2.31,-0.51,33.53,25.43,2.10,-0.37,-59.74,202403.00,4.20,26.50,-0.20,-1.41,-0.07,27.04,-0.18,0.66,0.48,0.21,0.27,0.64,-0.37,0.01,-0.37,0.00,-0.37,-0.67,-1.37,19.46,-0.02,416.01
Varroc Engineer,541578,VARROC,Auto Ancillaries,634.80,1974.86,56.86,16.23,43.51,10.04,166.02,221.03,11.56,232.59,82.50,150.09,45.14,104.95,46.59,0.00,58.37,39.33,11.19,2.96,15.28,3.72,194.26,182.68,1886.81,1805.69,55.72,34.12,41.50,202403.00,9.91,1984.65,202.29,69.17,4.41,1884.59,175.59,34.00,209.59,89.27,120.32,49.56,70.76,-313.14,382.69,0.00,383.89,9.32,20.37,15.28,25.05,9698.88
