Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization
K K Fincorp,503669,,Finance & Investments,52.25,0.04,0.00,-84.62,-100.00,-81.32,-90.48,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,-25.00,0.00,5.60,0.00,-0.01,-0.03,0.05,0.03,0.02,0.02,-108.70,202403.00,-67.57,0.01,-0.01,,,0.05,-0.01,0.02,0.01,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.02,-20.00,40.00,5.60,0.04,29.26
K P R Mill Ltd,532889,KPRMILL,Textiles - Products,864.40,1609.66,203.31,-0.07,0.23,-2.47,1.97,314.74,7.75,322.49,51.01,271.48,16.38,255.10,51.79,0.00,203.31,38.64,19.55,12.63,34.18,5.95,271.56,297.99,1241.31,1510.92,187.06,201.84,-1.54,202406.00,-0.42,1504.51,301.77,235.84,6.90,1696.72,335.07,11.89,346.96,49.36,297.60,19.69,277.91,64.30,213.61,0.00,213.61,19.75,12.59,34.18,6.25,29546.40
K Z Leasing,511728,,Finance & Investments,33.51,-0.01,-1.64,-133.33,-290.48,-68.72,152.00,-1.45,-0.63,-2.08,0.00,-2.08,0.13,-2.21,-0.58,0.00,-1.64,,,,3.04,-5.39,1.19,2.47,1.47,2.80,0.34,1.65,-351.81,202403.00,467.15,15.88,,,,0.27,-0.39,0.96,0.57,0.00,0.57,0.07,0.50,0.13,0.37,0.00,0.37,-144.44,137.04,3.04,1.22,10.19
K-Lifestyle,514221,,Textiles - Products,0.37,0.92,-1.13,-65.54,82.40,-70.68,-73.71,-0.29,0.00,-0.29,0.84,-1.13,0.00,-1.13,0.00,0.00,-1.13,6.52,-31.52,-122.83,101.78,-0.01,0.08,-3.67,0.62,0.66,-9.40,-13.15,160.29,202003.00,-68.30,0.21,-0.59,-2.23,-0.02,1.16,0.08,0.00,0.08,0.98,-0.90,0.00,-0.90,0.00,-0.90,0.00,-0.90,6.90,-77.59,101.78,-0.01,37.83
K.P. Energy,539686,,Engineering - Turnkey Services,401.20,207.26,24.90,39.62,60.85,8.07,36.01,30.56,10.14,40.70,2.22,38.48,4.36,34.12,8.96,0.00,24.90,25.56,14.74,12.01,33.35,3.73,15.81,21.02,70.23,112.99,8.18,15.24,21.87,202403.00,14.61,129.50,24.66,17.53,2.63,82.47,17.48,0.84,18.32,2.13,16.19,3.49,12.70,3.21,9.26,0.00,9.26,21.20,11.23,11.12,1.39,2675.60
K&R Rail Engine.,514360,,Construction,466.30,153.51,-7.78,-25.82,-340.87,69.91,23.89,-8.93,-0.76,-9.69,0.82,-10.51,0.18,-10.69,-2.90,0.00,-7.78,-3.18,-5.82,-5.07,21.17,-3.67,11.45,8.43,163.28,200.10,9.45,5.08,-7.53,202403.00,,,,,,145.52,1.45,1.05,2.50,0.82,1.68,0.20,1.48,0.43,1.04,0.00,1.04,1.00,0.71,21.17,0.49,987.20
K2 Infragen,,K2INFRA,Engineering - Turnkey Services,252.00,49.33,,,,45.37,9.79,10.78,,,,,,,,,6.38,,,,,6.93,,,,,,,8.71,202403.00,,,,,,59.39,10.07,,,,,,,,,,6.07,,,,6.59,317.98
Kaarya Facilit.,540756,,Miscellaneous,5.60,15.66,,,,30.68,-39.75,-1.09,,,,,,,,,-2.31,,,,,-2.47,,,,,,,-105.62,202403.00,,,,,,13.52,-2.19,,,,,,,,,,-2.74,,,,-2.93,5.24
Kabra Drugs,524322,,Pharmaceuticals - Indian - Formulations,8.30,0.00,-0.37,,-164.29,,-117.65,-0.37,0.00,-0.37,0.00,-0.37,0.00,-0.37,0.00,0.00,-0.37,,,,4.39,-0.84,-0.13,-0.12,0.00,0.00,-0.13,-0.12,-111.43,202403.00,,,,,,0.00,-0.11,0.00,-0.11,0.00,-0.11,0.00,-0.11,0.00,-0.11,0.00,-0.11,,,4.39,-0.25,3.64
Kabra Extrusion,524109,KABRAEXTRU,Engineering,401.45,88.20,2.56,-34.00,-54.04,-19.48,-26.97,9.16,1.66,10.82,5.01,5.81,2.42,3.39,0.82,0.00,2.56,38.21,10.39,2.90,17.49,0.73,8.85,11.44,123.86,182.39,3.29,5.70,-24.58,202406.00,-15.42,154.26,13.62,6.01,1.72,167.98,27.90,1.58,29.48,4.07,25.41,2.53,22.88,5.77,17.12,0.00,17.12,16.61,10.19,17.49,4.90,1403.98
