Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
Majestic Auto,500267,,Construction,369.80,1.04,2.37,3.32,404.78,288.14,142.57,2.98,5.82,0.99,8.01,0.00,1.27,6.24,7.28,7.50,7.18,4.40,1.32,3.13,-10.54,62.14,34.30,6567.00,85.03,5.90,18.17,10.88,1.39,2.29,12.58,9.70,9.70,9.73,111.77,145.67,113.54,43.83,226.16,0.00,0.00,384.59
Makers Labs.,506919,,Pharmaceuticals - Indian - Formulations,134.00,,,-1.09,91.75,,,,,,,0.00,,,4.93,4.93,4.93,4.93,,,,,,4483.00,0.00,60.07,88.42,,,1.26,30.44,31.78,31.78,31.78,135.44,29.81,56.81,8.94,126.79,0.00,0.00,79.06
Maks Energy,,MAKS,Electric Equipment,75.95,,,4.50,,,,1.19,,,,0.00,0.00,0.00,9.60,9.09,9.09,9.09,,,,5.85,,90.00,0.00,162.24,359.76,,,1.82,59.75,59.75,59.75,59.75,,,,,256.30,,,52.67
Mallcom (India),539400,MALLCOM,Textiles - Products,1215.00,0.62,18.99,18.57,226.75,176.60,,2.69,2.41,2.87,4.07,0.00,0.00,1.75,19.38,19.68,18.85,17.25,17.65,18.23,-1.09,13.33,11.31,4052.00,5.32,60.30,55.55,43.58,10.92,11.08,14.67,14.34,14.06,13.43,243.36,144.14,136.78,,124.58,-0.75,0.47,758.17
Malu Paper,532728,MALUPAPER,Paper,35.28,1.71,-21.47,-40.49,14.11,18.04,7.53,5.03,6.95,8.21,11.02,28.73,0.00,0.00,1.56,2.73,5.82,8.52,-2.75,-8.05,-12.50,3.46,6.18,7933.00,0.00,42.28,70.03,31.79,-2.77,-3.45,68.49,13.36,22.13,17.77,44.78,44.35,55.53,10.41,72.69,0.00,0.00,60.19
Man Industries,513269,MANINDS,Steel - Medium / Small,410.00,5.71,9.22,8.65,146.21,130.71,84.49,4.09,4.32,4.70,5.65,0.00,0.00,8.42,13.93,14.49,14.54,13.59,9.48,9.30,0.09,8.21,7.98,37549.00,10.00,71.65,115.10,91.22,4.58,4.67,7.49,5.99,5.76,5.70,454.80,317.08,224.00,289.67,57.66,-2.75,3.11,2654.17
Man Infra,533169,MANINFRA,Construction,192.65,37.13,18.22,25.61,18.18,18.04,17.16,0.26,0.18,0.32,0.73,0.00,0.00,27.22,31.15,21.03,19.72,16.82,13.19,15.76,31.97,22.50,22.93,70948.00,13.74,51.16,89.27,132.38,10.40,16.86,18.73,24.11,20.57,23.65,1032.21,1008.82,1157.34,452.12,213.73,3.51,2.10,7152.16
Manaksia,532932,MANAKSIA,Trading,99.15,6.55,9.97,12.85,145.98,146.42,166.81,4.32,3.88,5.64,2.04,0.00,0.00,25.56,18.39,14.62,13.79,12.79,9.44,9.60,10.44,13.52,13.76,25921.00,9.72,32.54,24.81,36.23,8.27,10.43,5.68,3.84,4.53,5.00,330.45,263.64,444.42,466.62,120.40,1.50,0.00,649.95
Manaksia Alumi.,539045,MANAKALUCO,Aluminium and Aluminium Products,28.04,6.55,3.92,5.56,16.59,17.06,16.38,2.09,2.67,2.51,4.06,0.00,0.00,0.16,9.86,8.74,7.94,5.61,1.31,3.97,-10.22,6.74,5.31,31459.00,4.23,36.65,54.82,38.29,1.32,1.81,19.37,18.52,18.77,18.33,56.69,45.22,41.29,,127.41,0.02,0.00,183.77
Manaksia Coated,539046,MANAKCOAT,Steel - Medium / Small,63.87,6.55,6.85,7.31,15.42,14.42,12.12,2.59,1.74,4.44,3.62,0.00,0.00,0.08,12.81,11.80,10.37,7.84,3.70,5.57,96.51,6.55,6.40,31901.00,1.30,25.76,37.56,34.66,1.62,1.70,20.68,19.08,18.88,15.74,77.33,36.04,78.31,,66.88,0.00,0.00,474.35
