Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
Superior Indus.,519234,,Packaging,48.50,1.39,5.46,4.09,47.75,43.19,24.05,3.34,7.23,6.55,,0.00,0.00,0.00,5.82,6.79,4.63,3.33,,4.03,42.48,6.46,4.73,3725.00,0.00,38.85,88.57,38.04,5.34,4.35,15.95,13.32,12.60,12.60,24.24,13.96,13.96,183.72,67.73,0.00,0.00,67.18
Supershakti Met.,541701,,Steel - Medium / Small,500.00,,9.45,10.46,138.26,97.98,,8.26,12.78,,,2.50,2.53,0.69,14.71,12.66,15.95,15.95,,,-24.11,4.45,,77.00,3.67,8.10,14.44,21.45,6.76,7.99,20.83,18.73,18.73,22.79,316.95,240.35,,,16.86,3.07,0.00,576.26
Supertex Inds.,526133,,Textiles - Processing,10.85,1.13,1.24,0.31,26.23,25.77,23.90,8.31,16.24,13.52,27.65,0.00,0.00,0.00,6.48,6.60,6.73,6.47,1.37,1.14,23.44,4.49,3.52,11482.00,0.00,212.52,275.19,138.21,0.48,0.12,23.76,14.55,16.73,21.81,4.88,3.44,4.24,1.93,191.43,0.00,0.00,12.30
Supra Pacific,540168,,Finance & Investments,30.20,0.55,2.13,2.33,8.98,9.71,,,,,,0.00,0.00,0.00,9.35,6.36,5.45,5.46,2.20,2.05,-5.45,51.43,51.66,2131.00,0.00,35.66,0.00,0.00,0.46,0.82,93.50,90.90,93.50,93.70,10.62,9.08,9.54,,28.75,0.00,0.00,82.09
Supra Trends,511539,,Textiles - Products,42.92,0.50,,,-7.00,-5.40,0.38,,,,,,0.00,0.00,-2.66,-2.57,-2.54,-2.68,,,,,,6469.00,0.00,0.00,,1216.67,-2.46,-2.51,,,,,0.41,0.44,1.26,0.94,0.00,0.00,0.00,2.15
Suprajit Engg.,532509,SUPRAJIT,Auto Ancillaries,518.95,12.00,14.35,13.91,70.76,61.04,20.06,3.17,3.28,3.69,4.87,39.73,0.00,28.62,15.49,15.68,17.59,19.25,16.57,15.66,-7.14,12.64,13.84,75594.00,19.21,61.80,73.84,66.94,7.97,7.77,30.78,28.72,29.73,30.09,3853.49,3424.08,3158.04,820.34,103.67,0.39,4.38,7185.42
Supreme Engg.,,SUPREMEENG,Steel - Medium / Small,1.13,,,,2.03,2.04,,1.45,1.71,2.00,,0.00,0.00,0.25,-40.21,-19.42,-10.23,-10.23,,,,-14.19,,23041.00,0.00,166.27,201.59,126.64,-19.29,-33.93,265.00,10.11,10.11,10.42,36.75,,,,353.61,0.00,0.00,28.24
Supreme Holdings,530677,,Construction,65.46,3.55,3.51,3.34,25.36,25.48,21.14,0.45,0.63,0.37,-0.05,0.00,0.00,0.00,7.16,5.90,4.97,3.39,2.85,3.41,-16.32,11.79,9.72,3336.00,0.00,37.85,57.53,30.55,3.71,4.42,23.45,20.00,20.00,19.19,50.48,86.56,98.80,38.14,349.70,0.11,0.00,243.37
Supreme Inds.,509930,SUPREMEIND,Plastics Products,5995.75,12.70,24.75,22.94,249.49,178.01,81.81,5.02,4.50,4.58,5.87,0.00,0.00,294.76,29.80,31.49,31.02,30.67,24.43,24.21,1.87,15.67,15.58,80308.00,35.10,19.96,22.39,25.20,18.35,17.81,35.94,33.13,35.70,36.18,25947.78,14193.35,13879.59,4281.44,38.52,13.86,-13.25,76162.14
Supreme Infra.,532904,SUPREMEINF,Engineering - Turnkey Services,91.00,2.57,,,-1277.65,-1174.39,330.20,1.25,1.38,3.88,4.70,0.00,0.00,0.00,-6.06,-5.46,-4.41,-1.41,,,,-14.38,9.29,9000.00,0.00,3542.83,1257.45,376.06,-18.63,-20.08,,6.29,,,36.49,59.11,223.06,450.57,-18747.82,-0.92,0.00,233.85
Supreme Petroch.,500405,SPLPETRO,Petrochemicals,770.85,19.30,31.49,29.48,56.64,34.88,18.87,8.11,9.55,8.60,15.15,0.00,0.00,155.41,41.90,43.22,36.90,35.36,27.49,28.48,17.13,13.33,10.14,49563.00,42.25,27.44,44.12,32.54,20.42,20.73,12.54,20.47,20.70,14.82,3928.82,2146.74,2923.56,545.27,10.41,1.20,0.46,14495.16
Supreme Power,,SUPREMEPWR,Electric Equipment,339.00,,51.49,67.23,,,,0.01,0.03,,,0.00,0.00,0.00,53.71,38.22,35.46,35.46,,,66.04,12.63,,,0.00,113.85,162.62,115.52,12.05,19.26,0.60,0.60,0.60,0.60,,,,,86.97,,,847.21
Supriya Lifesci.,543434,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln,398.50,,25.50,19.43,,,,2.25,3.68,4.08,,82.89,71.86,6.94,27.76,38.58,34.71,34.71,,26.21,-21.60,34.77,,95605.00,4.65,72.61,68.58,78.76,21.50,16.99,21.84,21.84,21.84,21.84,,,,,156.97,,,3207.28
Suraj,531638,,Steel - Medium / Small,233.90,1.93,9.56,14.38,46.27,45.56,44.26,1.75,1.47,1.62,1.82,0.00,0.00,0.00,18.93,14.04,11.63,9.95,5.95,7.31,61.57,8.38,8.71,2776.00,0.00,33.55,48.46,62.20,5.72,9.11,21.64,42.23,43.78,32.24,55.10,69.35,89.96,94.39,61.66,0.00,0.00,429.53
Suraj Estate,544054,SURAJEST,Construction,518.90,,30.99,32.89,,,,-0.04,-0.16,,,0.00,0.00,0.00,23.70,20.18,20.18,20.18,,,,50.76,,,0.00,118.06,122.68,309.90,2.77,4.27,34.25,34.25,34.25,34.25,,,,,752.19,,,2301.90
Suraj Industries,526211,,Trading,71.22,,,,,,,,,,,,,,7.57,7.57,7.57,7.57,,,,,,17439.00,,89.54,,,,,16.46,16.46,16.46,16.46,1.85,,,,39.34,0.00,0.00,91.48
Suraj Products,518075,,Steel - Medium / Small,673.55,1.14,25.34,28.65,48.10,39.94,25.61,3.99,2.32,1.93,3.10,0.00,0.00,1.05,26.66,21.10,18.10,14.90,20.34,23.54,8.65,15.82,14.69,9531.00,6.59,11.20,12.49,8.47,12.08,16.59,6.48,6.73,6.03,5.90,39.96,22.63,15.16,14.82,84.09,0.00,0.02,767.85
Surana Solar,533298,SURANASOL,Electric Equipment,38.70,4.92,-0.21,-0.39,11.03,10.99,9.72,1.89,1.13,1.17,2.00,0.00,0.00,0.00,0.32,0.79,1.82,4.24,2.62,0.33,,11.11,11.35,40379.00,0.00,19.89,106.47,15.34,-0.22,-0.41,125.00,48.62,50.00,55.00,45.02,36.90,99.40,40.10,435.58,0.01,-0.01,190.42
Surana Telecom,517530,SURANAT&P,Power Generation And Supply,25.58,10.40,3.27,3.61,8.11,7.53,5.72,0.63,3.74,0.95,0.33,0.00,0.00,0.00,4.74,4.82,5.13,4.79,3.21,3.38,0.43,54.45,57.05,35138.00,0.00,98.82,93.21,52.23,2.40,2.86,23.83,33.00,28.91,16.52,55.66,56.34,64.49,35.36,188.15,0.04,-0.01,347.29
Surani Steel Tub,,SURANI,Steel - Medium / Small,353.90,0.25,-0.58,0.60,27.43,22.72,,4.34,4.45,6.66,10.57,0.00,0.00,0.00,3.17,3.59,5.30,8.63,2.41,0.71,36.43,1.80,2.47,364.00,0.00,28.00,24.35,24.49,-0.29,0.29,6.27,9.02,9.02,7.74,15.82,43.86,,,76.14,0.00,0.00,376.35
Surat Trade,530185,,Finance & Investments,9.08,22.21,11.74,13.30,6.22,5.62,3.63,0.00,12.82,10.02,2.40,0.00,0.00,0.00,2.97,5.80,7.53,7.72,10.63,11.07,-14.97,,,131332.00,0.00,0.00,,6.75,10.76,12.63,30.23,10.68,10.24,15.83,76.39,64.40,89.05,32.64,357.61,0.00,0.00,201.62
Suratwwala Busi.,543218,SBGLP,Construction,124.25,,,,,,,,,,,,,,65.49,65.49,65.49,65.49,,,,,,698.00,0.00,136.06,,,,,36.44,36.44,36.44,36.44,107.51,,,,-399.88,0.00,0.00,2154.72
Surya Roshni,500336,SURYAROSNI,Steel - Large,632.05,8.77,14.70,16.80,125.48,113.87,92.48,4.93,4.90,5.20,5.08,0.00,0.00,22.62,19.96,16.66,15.52,14.18,12.84,13.88,8.28,6.83,7.00,38133.00,9.97,36.40,49.50,51.13,7.47,9.55,14.18,12.50,13.72,13.49,1876.26,1372.51,932.51,328.44,60.94,3.43,-1.08,6877.81
Suryaamba Spinni,533101,,Textiles - Spinning - Synthetic / Blended,151.40,0.29,14.45,14.80,131.35,117.36,73.13,4.94,7.40,6.10,13.69,0.00,0.00,0.23,16.41,15.84,15.23,14.40,12.67,13.80,-25.35,9.29,8.62,2548.00,7.49,35.98,50.27,34.21,5.86,6.61,5.44,5.67,6.22,4.95,20.08,19.25,19.19,6.38,44.61,0.00,0.00,44.38
Suryalak. Cott.,521200,SURYALAXMI,Textiles - Cotton/Blended,80.86,1.67,-2.01,2.76,138.40,140.15,188.81,2.48,2.69,2.87,3.79,0.00,0.00,0.00,10.52,6.78,6.17,7.32,1.13,-1.68,21.88,7.02,8.61,9136.00,0.00,71.26,96.87,92.29,-0.63,1.03,7.57,11.23,14.71,7.57,49.18,49.85,176.98,63.17,112.87,0.00,-0.05,152.06
Suryalata Spg.,514138,,Textiles - Spinning - Synthetic / Blended,414.95,,,,,,,,,,,,,,9.91,9.91,9.91,9.91,,,,,,5013.00,,18.96,,,,,7.89,7.89,7.89,7.89,55.09,59.29,67.85,19.55,33.54,0.00,0.00,177.07
Suryavanshi Spg.,514140,,Textiles - Cotton/Blended,25.98,0.49,,,-22.59,-21.82,28.32,8.59,9.57,5.29,8.04,0.00,1.62,0.00,-1.96,-3.65,-6.37,-4.38,,,,-1.17,-0.83,6068.00,0.00,154.57,26.55,23.06,-6.87,-3.79,7.86,19.09,7.86,7.86,3.83,2.38,4.60,12.42,439.23,0.00,0.01,12.75
Suryo Foods,519604,,Aquaculture,15.00,0.40,,,-8.54,-6.64,-1.46,8.00,4.82,6.28,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,7222.00,0.00,0.00,,11.06,-3.07,5.79,5.16,5.54,5.18,5.16,1.79,5.94,3.60,6.87,0.00,0.00,0.01,5.94
Suryoday Small,543279,SURYODAY,Banks - Private Sector,190.90,3.30,4.63,4.29,150.47,,,,,,,0.00,0.00,0.00,9.05,8.68,9.01,10.09,5.47,5.16,1.37,50.24,50.52,94321.00,0.00,0.00,0.00,0.00,0.89,0.60,11.44,13.82,13.82,13.82,2904.80,,,,-41.90,-4.78,-14.34,2028.12
Sutlej Textiles,532782,SUTLEJTEX,Textiles - Cotton/Blended,65.00,16.38,2.67,2.79,59.82,59.27,34.19,2.69,3.12,3.19,3.66,0.00,0.00,11.30,5.49,4.96,5.91,8.95,7.88,4.08,,7.04,8.92,24695.00,30.39,46.45,54.00,42.52,1.19,1.25,8.77,7.65,10.47,8.18,643.03,656.13,1334.48,353.97,106.68,0.85,0.00,1064.89
Suumaya Corp.,543274,,Trading,4.69,0.22,-108.93,-150.96,53.93,,,8.64,26.85,,,0.00,0.00,0.82,-163.01,-83.90,-83.90,-83.90,-100.37,-105.12,,-9.33,,2440.00,0.00,2709.45,238.14,,-12.60,-25.58,3.28,4.41,4.41,4.41,180.80,,,,-25837.19,0.00,0.00,11.62
Suumaya Indust.,,SUULD,Trading,5.54,,2.66,-14.37,86.55,8.07,,16.11,13.58,,,0.00,0.00,2.30,-6.22,31.60,31.60,31.60,,,,3.25,,34710.00,0.12,319.27,316.28,100.46,-1.38,-11.52,0.46,0.86,0.86,0.86,567.17,68.64,,,238.48,0.00,-0.50,37.31
Suven Life Scie.,530239,SUVEN,Pharmaceuticals - Indian - Bulk Drugs & Formln,108.70,19.09,-56.51,-56.79,3.72,7.51,29.30,0.00,,1.63,,0.00,0.00,0.00,-76.92,-70.63,-47.58,-33.86,,-20.36,,-904.65,0.10,78634.00,0.00,34.06,47.66,3.37,-55.26,-63.57,,3.20,2.92,2.66,1242.57,316.51,200.64,80.07,1023.89,0.05,0.61,2370.47
Suven Pharma,543064,SUVENPHAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,809.35,,26.89,22.62,46.39,33.18,,1.84,1.61,,,0.00,0.00,78.93,31.46,36.92,36.92,36.92,,,,43.01,,72885.00,21.73,47.32,37.01,142.49,23.76,19.91,31.98,31.40,31.40,31.40,12646.79,,,,214.25,1.61,11.79,20603.23
Suvidha Infra.,531640,,Construction,26.85,0.89,,,-1.89,-1.80,-0.98,0.01,0.01,0.01,0.06,0.00,0.00,0.00,6.87,2.36,1.08,1.53,,,,-18.10,,1870.00,0.00,0.00,0.00,0.00,-5.40,-6.40,116.88,116.51,116.88,116.88,16.77,17.75,17.75,16.90,2235.19,0.00,0.00,23.89
Suvidhaa Info.,543281,SUVIDHAA,Miscellaneous,5.37,,,-11.07,3.96,,,93.15,,,,0.00,0.00,0.00,-11.16,-9.38,-9.38,-9.38,,,,4.87,,51994.00,0.00,227.69,45.17,,,-7.12,,,,,2130.52,,,,-47.99,-1.57,0.00,112.67
Suyog Gurbaxani,543391,,Construction,140.50,,-19.56,-3.63,,,,0.69,0.10,,,0.00,0.00,0.00,7.49,3.08,2.25,2.25,,-17.50,33.69,35.63,,220.00,0.00,18.83,66.96,14.77,-2.40,-0.29,871.75,871.75,871.75,871.75,,,,,71.56,,,349.31
Suyog Telematics,537259,,Transmisson Line Towers / Equipment,1096.00,1.02,23.39,23.47,141.32,125.20,22.54,16.76,23.47,29.70,1.23,0.00,0.00,0.42,23.04,25.06,26.48,28.59,25.60,24.68,-7.05,60.52,56.11,2926.00,1.22,93.83,74.27,56.38,11.93,12.07,12.98,13.18,13.24,12.36,420.19,258.94,451.87,16.41,120.20,4.70,0.04,1168.54
Suzlon Energy,532667,SUZLON,Electric Equipment,52.65,459.05,,,-3.39,-16.68,-15.95,0.77,0.78,1.59,3.70,16.59,27.76,0.00,22.56,6.16,5.43,5.39,,,,9.62,-0.19,2442672.00,0.00,83.40,129.79,136.61,-6.30,4.37,110.92,54.50,85.66,110.92,4834.97,3721.32,10911.11,3139.13,86.50,15.49,-11.42,71154.79
Svam Software,523722,,Finance & Investments,3.10,1.69,-0.01,-0.19,11.49,11.49,11.58,1.87,-0.01,8.33,9.33,0.00,0.00,0.00,-0.05,0.08,0.18,0.17,0.05,0.11,,-41.29,-24.71,35417.00,,125.69,0.00,42.37,-0.01,-0.18,47.00,19.55,44.86,47.00,0.62,1.28,1.15,2.90,260.06,0.00,0.00,5.24
Svaraj Trading,503624,,Trading,11.19,1.48,0.79,0.25,36.77,36.26,10.00,,,,,0.00,0.00,0.00,0.44,1.14,1.77,3.86,1.84,1.24,,,,2259.00,0.00,794.41,317.13,176.71,0.81,0.26,22.43,119.44,24.31,19.57,7.60,151.19,306.80,38.72,787.25,0.00,0.00,16.52
Svarnim Trade Ud,539911,,Trading,16.95,0.25,-59.52,-62.96,1.42,16.42,,,,,,0.00,0.00,0.00,-113.78,-131.93,-79.06,-49.10,-15.90,-27.18,,,,1573.00,,0.00,0.00,77.59,-51.85,-44.68,,,,,97.32,,,,0.00,0.00,0.00,4.13
SVC Industries,524488,,Miscellaneous,4.03,16.31,-0.95,-0.90,16.98,17.28,20.13,10.00,,0.04,0.00,0.00,0.00,0.00,-0.55,-0.58,-0.60,-0.60,-0.64,-0.96,9.62,-233.74,,90422.00,0.00,189.66,190.43,365.00,-0.58,-0.55,,,,,16.31,12.40,13.05,11.09,-623.40,0.00,0.00,65.76
SVP Global,505590,SVPGLOB,Textiles - Spinning - Synthetic / Blended,8.14,12.65,-12.46,-37.19,71.91,67.34,1.06,2.90,3.07,16.82,,0.00,0.00,0.20,0.15,2.20,4.16,5.10,,-5.85,,8.95,8.08,20029.00,0.00,383.91,160.06,169.64,-2.20,-4.43,7.98,9.15,7.68,8.08,867.16,405.31,324.47,17.86,576.94,0.00,0.00,102.96
SVS Ventures,543745,,Construction,11.25,,,1.80,,,,3.00,,,,0.00,0.00,0.00,3.43,5.59,5.59,5.59,,,,9.76,,683.00,0.00,569.45,5.39,,,2.03,21.73,21.73,21.73,21.73,,,,,2036.45,,,24.01
SW Investments,503659,,Finance & Investments,61.97,0.09,1.76,1.83,65.78,64.22,53.00,,,,,0.00,0.00,0.00,2.28,2.22,3.94,4.73,3.28,2.86,-37.95,20.13,6.20,226.00,0.00,34.04,5.62,0.21,1.68,1.80,12.21,11.14,10.08,12.64,1.90,1.68,12.69,21.32,1471.43,0.00,0.00,5.57
Swadeshi Inds,506863,,Trading,2.31,1.08,-4.36,-4.20,8.28,8.92,10.07,,6.53,76.74,,0.00,0.00,0.00,-4.00,-4.26,-4.69,-2.81,-2.78,-4.78,13.92,-38.46,-8.50,11139.00,0.00,215.35,133.30,80.54,-3.82,-3.69,,382.35,1006.67,,1.05,1.45,70.52,363.00,2051.31,0.00,-0.07,2.50
Swadeshi Polytex,503816,,Construction,139.75,3.90,,,-8.71,-8.29,-11.80,0.01,0.09,0.02,0.02,0.00,0.00,0.00,314.27,314.27,314.27,314.27,,,,91.37,86.92,11023.00,0.00,0.00,,0.00,67.14,89.29,4.69,3.08,3.08,3.28,22.81,10.18,5.58,10.02,-192.87,0.00,-0.01,545.03
Swadha Nature,531039,,Miscellaneous,12.73,,-17.55,-6.63,,,,,,,,,,0.00,-9.81,-19.23,-18.98,-16.70,,-17.63,16.00,,,887.00,0.00,0.00,,,-14.62,-6.16,,,,,,,,,4092.56,0.00,2.44,5.42
Swagtam Trading,539406,,Miscellaneous,85.00,0.12,1.71,2.88,,,,,,,,0.00,0.00,0.00,3.95,2.85,2.10,1.75,1.10,1.33,59.26,-22.22,-17.37,737.00,0.00,0.00,0.00,0.00,1.68,2.87,69.76,69.76,69.76,69.76,,,,,158.50,0.00,0.00,10.12
Swan Energy,503310,SWANENERGY,Diversified - Medium / Small,590.60,22.12,0.06,1.14,35.79,37.45,19.46,1.37,1.66,0.44,0.48,0.00,0.00,2.03,3.52,2.62,2.82,2.75,-0.11,-0.15,47.71,16.93,15.17,18760.00,-2.00,250.89,32.65,17.27,-0.03,0.57,74.75,528.12,13950.00,74.75,3310.90,2625.76,3126.38,1382.37,154.40,3.07,10.82,18512.78
Swaraj Engines,500407,SWARAJENG,Engines,2838.55,1.24,36.82,38.93,231.14,194.43,170.75,15.62,14.14,20.00,10.40,0.00,0.00,91.32,52.16,48.59,49.22,45.21,32.57,35.80,1.80,13.35,13.96,27469.00,85.37,32.34,41.95,7.85,23.46,25.12,17.16,20.88,20.23,18.19,1592.62,1708.78,1842.48,858.08,15.14,0.69,-1.14,3448.07
Swaraj Suiting,,SWARAJ,Textiles - Spinning - Synthetic / Blended,298.85,,14.08,15.73,,,,1.45,2.04,,,0.00,0.00,0.00,13.23,11.87,11.87,11.87,,,,12.71,,529.00,0.00,66.32,80.17,62.17,4.25,4.92,15.04,15.04,15.04,15.04,,,,,123.95,,,456.38
Swarna Securitie,531003,,Miscellaneous,52.46,0.30,16.59,15.30,12.03,10.00,8.93,,,,,0.00,0.00,0.00,19.09,21.16,18.49,12.83,9.66,13.10,-0.48,-1208.33,-172.22,540.00,0.00,0.00,0.00,,15.21,13.93,19.61,19.62,19.09,19.09,3.84,3.88,4.50,2.85,1496.50,0.00,-8.33,15.74
SwarnsaritaJewel,526365,,Diamond Cutting / Jewellery,29.00,2.09,5.32,5.46,49.79,47.01,37.75,5.88,5.03,5.40,4.73,0.00,0.00,0.00,6.97,6.71,6.47,6.48,4.87,5.27,-5.37,1.52,1.50,7573.00,0.00,37.27,56.53,42.43,2.47,2.59,6.76,8.02,6.48,6.43,27.43,25.47,46.14,80.90,82.87,0.00,0.00,60.56
Swashthik,544035,,Plastics Products,68.26,,,,,,,,,,,,,,18.57,18.57,18.57,18.57,,,,,,,,203.13,,,,,35.66,35.66,35.66,35.66,,,,,257.75,,,119.89
Swasti Vin. Art,512257,,Construction,4.37,9.00,11.28,11.34,1.66,1.33,0.75,-0.01,-0.01,0.01,0.34,0.00,0.00,0.00,14.08,13.90,15.91,19.42,15.33,12.65,-5.82,31.96,37.47,15970.00,0.00,10.57,58.04,12.48,5.41,5.82,10.84,9.14,10.00,11.08,12.60,13.59,11.97,7.83,606.29,0.00,0.00,39.33
Swasti Vinayaka,510245,,Textiles - Spinning - Synthetic / Blended,7.10,9.00,10.90,10.80,1.65,1.44,0.98,0.77,1.63,2.35,3.57,0.00,0.00,0.00,15.08,14.53,17.74,17.89,12.58,13.10,-14.12,12.79,14.08,29838.00,0.00,113.28,175.72,112.99,5.74,6.00,31.60,13.55,25.44,30.40,57.15,20.61,21.42,10.89,222.25,0.00,0.00,63.90
Swastik Pipe,,SWASTIK,Steel - Medium / Small,70.50,,2.02,5.20,,,,5.75,6.25,,,0.00,0.00,0.00,8.89,7.71,7.71,7.71,,,,3.55,,1227.00,0.00,85.07,104.44,65.20,0.73,2.39,17.86,17.86,17.86,17.86,,,,,113.73,,,163.78
Swastika Investm,530585,,Finance & Investments,810.00,0.30,18.09,17.48,131.91,90.68,55.48,0.94,1.59,1.22,0.93,0.00,0.00,0.54,23.09,20.98,18.77,19.66,17.33,17.18,2.67,18.60,19.18,1544.00,6.82,88.28,91.83,216.81,3.58,3.86,6.39,6.82,6.50,6.02,39.32,23.23,21.10,9.15,-482.26,0.00,0.00,239.77
Swati Projects,543914,,Finance & Investments,209.80,,,6.20,,,,,,,,0.00,,,7.01,7.01,7.01,7.01,,,,,,,0.00,2.48,0.00,,,5.29,336.44,336.44,336.44,336.44,,,,,48.52,,,211.90
Swelect Energy,532051,SWELECTES,Electric Equipment,1267.65,1.52,2.03,2.34,489.89,474.64,446.05,1.79,2.05,2.91,4.29,0.00,0.00,4.00,5.36,4.37,3.82,3.63,1.64,1.62,36.18,22.02,16.01,14707.00,18.88,78.00,96.50,63.91,1.19,1.32,20.50,23.95,19.03,18.56,306.89,242.74,346.86,229.57,375.99,0.06,0.47,1921.61
Swiss Military,523558,,Trading,26.01,19.66,11.80,13.27,0.21,0.21,2.54,15.32,28.92,3.81,4.20,0.00,0.00,1.02,16.29,6.90,2.88,2.11,5.71,9.80,29.99,4.38,3.67,32917.00,28.21,50.96,66.81,82.56,4.75,12.41,74.13,76.96,78.71,75.15,43.84,13.57,29.88,27.13,97.14,0.03,0.00,511.34
Switching Tech.,517201,,Electric Equipment,78.10,0.24,,,-19.14,-2.69,8.08,1.17,1.07,1.45,2.08,0.00,0.00,0.00,0.00,-141.18,-38.18,-25.30,,,,-58.53,-24.37,3101.00,0.00,139.42,98.78,18.30,-62.15,-84.17,,19.00,15.69,24.95,7.36,12.86,15.68,14.94,-90.97,0.00,0.00,19.12
Swojas Energy,530217,,Food - Processing - MNC,13.06,,0.92,1.05,,,,,,,,,,0.00,1.53,1.68,2.96,3.85,,1.89,-24.19,,,4664.00,0.00,86.90,,,0.83,0.95,,,,,,,,,-399.76,0.00,0.00,40.43
Sword-Edge Comm.,512359,,Trading,0.33,21.70,-0.94,-1.61,1.04,1.05,1.06,,,2.00,0.00,0.00,,0.00,-0.93,-0.52,-0.46,-0.35,-0.55,-0.76,,,,,0.00,0.00,76.48,,-0.51,-0.91,16.00,20.00,20.00,20.00,7.38,1.52,7.81,17.14,13568.48,0.00,0.00,7.17
Sybly Industries,531499,,Textiles - Cotton/Blended,6.87,4.07,-12.70,-7.61,11.84,12.54,11.96,3.87,7.52,8.13,8.99,0.00,0.00,0.00,-6.81,-5.61,-3.87,-1.23,-2.37,-9.10,22.31,-10.01,-0.07,6783.00,0.00,12308.95,259.34,122.60,-4.28,-2.53,31.50,76.08,85.75,31.50,4.45,3.32,57.79,12.66,13915.34,0.00,0.00,6.29
Sylph Techno,511447,,Computers - Software - Medium / Small,1.89,14.90,-1.59,-2.02,0.86,0.86,0.91,,,,,0.00,0.00,0.00,1.06,0.48,0.28,0.16,-1.04,-1.31,,-16.54,-11.09,8813.00,0.00,87.83,0.00,228.12,0.18,0.56,80.00,79.50,79.50,79.50,3.58,11.92,4.92,3.90,6897.96,0.00,0.00,63.34
Sylvan Plyboard,,SYLVANPLY,Miscellaneous,66.10,,,2.65,,,,,,,,0.00,,,7.24,7.24,7.24,7.24,,,,,,,0.00,89.10,79.65,,,1.19,,,,,,,,,260.68,,,106.72
Symbiox Investme,539278,,Finance & Investments,2.77,3.13,0.37,0.52,9.90,9.88,,,,235.00,102.00,0.00,0.00,0.00,0.68,0.49,0.45,0.40,0.25,0.32,86.59,-11.30,-20.44,29738.00,0.00,82.92,0.00,511.00,0.36,0.50,41.68,35.55,32.13,38.15,2.85,1.88,36.39,,2418.31,0.00,0.00,8.67
Symphony,517385,SYMPHONY,Domestic Appliances,1201.60,7.00,17.83,15.59,108.53,91.37,39.40,4.22,4.93,4.92,5.64,0.00,0.00,76.96,16.96,19.21,23.42,32.70,22.80,19.53,1.72,15.30,18.74,139980.00,47.95,53.81,67.39,45.30,11.29,9.75,53.74,62.41,55.99,54.55,8849.21,9652.67,10697.47,1103.55,72.04,-0.87,0.63,8285.86
Syncom Formul.,524470,SYNCOMF,Pharmaceuticals - Indian - Formulations,12.61,78.07,10.60,8.98,2.25,1.87,1.28,8.56,10.44,10.67,11.40,72.59,65.80,5.18,10.33,12.92,11.91,12.82,10.08,10.10,0.01,10.69,9.71,227478.00,43.58,123.14,111.55,80.77,7.79,6.19,39.32,18.14,14.31,30.00,244.89,84.31,153.79,452.78,168.71,0.08,0.00,1185.34
Synergy Green,541929,SGIL,Castings & Forgings,354.25,,11.80,12.48,23.37,21.74,,1.81,2.08,,,0.00,0.00,0.00,15.92,16.42,16.97,16.97,,,-4.40,10.45,,4221.00,0.00,35.97,52.99,64.74,2.28,2.40,63.38,48.53,48.53,57.20,142.71,120.95,,,40.02,-7.28,-1.28,500.55
Syngene Intl.,539268,SYNGENE,Pharmaceuticals - Indian - Bulk Drugs & Formln,716.25,,14.22,13.38,70.54,54.40,,13.77,16.48,,,0.00,0.00,28.10,14.18,14.63,14.99,14.99,,,-5.83,30.04,,124014.00,10.26,59.29,79.49,67.72,8.45,8.25,57.23,54.79,54.79,56.62,21738.00,11906.00,10415.20,,10.48,6.50,11.05,28831.75
Synoptics Techno,,SYNOPTICS,Computers - Software - Medium / Small,102.00,,,26.25,,,,9.91,,,,11.15,1.45,0.00,24.48,23.03,23.03,23.03,,,,26.99,,,0.00,133.78,101.95,,,11.66,14.27,14.27,14.27,14.27,,,,,190.96,,,86.49
Synthiko Foils,513307,,Aluminium and Aluminium Products,70.08,0.17,8.44,7.79,27.13,24.94,15.29,6.59,10.01,3.97,10.39,0.00,0.00,0.00,15.25,17.88,21.67,20.26,9.53,9.31,-20.91,3.89,4.27,1990.00,0.00,67.25,74.93,72.55,3.86,3.94,57.23,12.89,25.11,34.86,4.25,3.52,2.92,0.99,63.94,0.00,0.00,12.20
Syrma SGS Tech.,543573,SYRMA,Electronics - Components,493.70,,,8.73,,,,3.78,,,,0.00,0.00,10.63,12.14,12.63,12.63,12.63,,,,9.08,,93800.00,15.67,92.32,85.89,,,5.31,72.18,72.18,72.18,72.18,,,,,98.39,,,8767.34
