Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1003.60,6037.62,608.08,-4942.96,-543.24,551.42,190.64,2228.14,-925.22,3776.99,-4698.62,923.22,1.59,189.05,1704.14,-411.39,2095.15,4724.89,6134.96,13911.22,23132.75,27922.44,31620.04,-33881.51,-29471.83,-23229.81,-13577.96,1289.91,701.56,393.18,111950.82
Adani Enterp.,512599,ADANIENT,Trading,3178.40,10312.19,-11934.07,-18766.65,8878.68,424.22,1882.33,7068.48,2971.66,17626.46,-15458.84,-1197.52,970.10,912.23,5373.69,-19222.74,-18806.36,-21687.30,-26458.81,29323.93,35820.80,41999.11,56416.85,-80870.24,-66120.56,-60958.62,-51266.11,1810.82,1709.28,1715.09,362337.96
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1782.35,7713.00,-7987.00,-21060.00,13953.00,606.00,1002.00,8764.00,3927.00,7265.00,-3857.00,-2973.00,435.00,567.00,1984.00,-15788.00,-21748.00,-26755.06,,18105.00,21671.00,23944.20,,,-63621.51,-56527.00,-43647.00,1019.00,361.47,186.75,282330.05
Adani Ports,532921,ADANIPORTS,Miscellaneous,1482.00,15017.58,7627.99,-6767.56,-7800.11,449.91,1125.82,7631.88,2962.25,11899.50,-16715.93,-2733.80,-7550.23,8676.05,4334.31,17364.59,26415.86,32468.96,34882.26,37337.22,52294.81,63932.35,73432.51,-61271.05,-52003.52,-43789.65,-28976.62,4700.78,5967.30,1976.80,320132.58
Adani Power,533096,ADANIPOWER,Power Generation And Supply,719.15,14170.15,11568.26,3480.90,-16864.03,787.02,349.23,7211.76,5187.68,8430.53,1544.79,-10408.46,-433.14,782.37,1873.65,23555.36,30339.77,39165.21,49433.42,32833.41,45445.31,56156.84,71962.77,-8836.89,-195.68,1308.77,5800.15,1607.32,915.88,604.17,277371.76
Adani Total Gas,542066,ATGL,Miscellaneous,889.05,955.13,155.89,-752.28,-77.73,125.12,12.04,456.11,-322.52,852.85,-1166.59,294.65,-19.09,31.13,371.84,-384.89,-286.87,-34.67,,2540.09,3685.99,4318.95,,,-4479.98,-4283.34,-3051.85,10.87,159.76,,97778.62
Adani Wilmar,543458,AWL,Solvent Extraction,333.85,288.92,-641.21,138.24,-563.39,-136.23,394.83,2809.58,-10.77,663.30,523.52,-919.06,267.76,127.07,3724.08,11.26,426.90,,,2150.08,3657.85,,,,,-4114.53,-3124.35,1188.46,1215.46,,43389.78
Adarsh Plant,526711,,Packaging,35.98,0.51,0.48,-0.02,-0.34,0.14,0.09,0.23,0.90,1.04,-0.15,-0.86,0.04,0.05,0.09,2.07,1.99,1.69,3.80,2.42,2.34,2.12,4.55,-0.65,-0.39,-0.33,-0.35,0.06,0.13,0.10,35.65
ADC India,523411,,Telecommunications - Equipment,2098.00,19.43,19.43,1.41,-1.83,19.01,25.58,44.77,-4.24,-4.24,0.71,-6.41,-9.94,35.51,25.76,23.20,31.48,36.26,49.12,23.20,31.06,36.35,49.44,12.46,6.97,4.16,2.67,28.10,22.70,29.59,965.08
Adcon Capital,539506,,Finance & Investments,0.86,-1.70,-1.70,0.04,1.51,-0.14,0.22,0.07,-26.39,-26.39,-0.70,26.63,-0.46,0.68,0.22,-27.83,-27.87,-29.33,-29.06,-27.83,-27.87,-29.33,-29.05,0.93,1.22,-0.25,-0.30,0.06,0.05,0.04,17.05
