Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization
Shreeshay Engi.,541112,,Construction,29.77,2.35,2.35,-0.22,-0.11,2.02,0.05,0.05,2.27,2.27,0.00,-3.30,-1.03,1.09,0.05,8.98,1.05,-16.17,,8.98,1.05,-16.17,,,-0.61,0.20,-0.22,0.11,1.50,0.86,39.31
Shreevatsaa Fin.,532007,,Finance & Investments,23.00,0.17,0.17,0.00,-0.59,-0.42,1.12,0.70,3.42,3.43,-0.01,-3.48,-0.06,1.18,1.12,6.30,8.14,7.77,7.39,6.31,8.15,7.78,1.40,6.99,0.73,-0.01,-0.01,1.27,0.05,0.23,23.23
Shrenik,,SHRENIK,Trading,1.16,125.25,-1.87,-125.14,-1.12,-1.02,0.01,1.00,47.23,46.85,1.97,-48.83,-0.01,0.03,0.01,43.58,80.15,6.15,-11.30,164.44,201.76,136.52,121.94,-130.55,-118.74,-113.54,-116.57,1.57,1.38,1.77,70.99
Shreyans Inds.,516016,SHREYANIND,Paper,274.35,78.32,52.82,-58.97,-19.45,-0.10,0.22,6.43,84.55,90.36,-62.74,-27.59,0.02,0.20,5.62,148.95,147.47,186.72,234.90,188.19,255.61,338.51,441.70,-340.04,-263.59,-204.95,-127.46,5.54,3.36,3.20,379.16
Shreyas Interm.,526335,,Dyes And Pigments,11.14,0.51,0.51,-0.51,0.00,0.00,0.05,0.05,-0.65,-0.65,0.54,0.00,-0.11,0.16,0.05,-1.70,-2.39,-2.99,18.95,-1.70,-2.39,-2.99,-18.00,41.97,3.70,1.72,0.57,0.09,0.09,0.13,78.93
Shreyas Shipping,520151,SHREYAS,Shipping,336.05,18.96,64.43,95.62,-129.34,-14.76,22.36,17.11,-208.28,231.36,-498.09,226.73,-40.00,62.36,27.46,-309.76,-193.24,-289.57,-299.65,368.74,484.41,602.25,763.82,-836.01,-642.36,-462.06,-481.05,8.66,10.20,10.46,737.95
Shri Balaji,544074,,Engineering,244.05,-5.38,-14.40,-11.87,22.11,4.87,1.59,1.59,0.25,5.62,-4.79,-0.58,0.25,1.34,1.59,-26.59,,,,-3.08,,,,,,,-25.59,0.01,,,199.14
Shri Gang Indus,523309,,Breweries & Distilleries,73.69,14.50,7.45,-7.03,-6.61,0.85,1.10,2.06,-12.75,12.92,-25.64,13.07,0.36,0.74,1.10,-43.41,-55.42,-82.52,-133.64,36.90,50.44,49.93,-0.89,-139.62,-139.32,-105.97,-80.25,0.42,0.05,0.02,132.13
Shri Keshav,530977,,Cement - South India,201.10,32.04,-34.14,-75.29,55.13,11.88,-10.95,14.39,23.24,33.24,-11.33,-31.85,-9.94,-1.01,8.46,-29.53,-12.07,-109.52,-127.42,88.49,131.34,129.23,156.88,-299.40,-254.46,-159.58,-134.39,7.52,1.53,5.88,352.16
Shri Krishna,531080,,Construction,34.70,-2.28,-2.44,-4.75,-6.59,-13.62,18.68,5.06,12.71,12.87,-0.47,-1.60,10.80,7.87,18.68,9.04,17.01,21.42,26.90,9.90,18.03,22.98,28.87,-18.47,-4.44,-3.87,-5.59,7.64,1.88,3.44,97.16
Shri Techtex,,SHRITECH,Textiles - Products,62.00,8.20,-0.65,-21.65,14.98,1.53,0.95,0.95,-11.69,-7.60,-3.20,11.35,0.55,0.40,0.95,-11.45,-21.84,,,22.35,26.47,,,,,-52.56,-38.33,0.69,,,154.69
Shri Vasuprada,538092,,Tea,96.00,-8.75,-14.46,8.94,-2.98,-2.78,3.51,0.75,-8.84,-3.57,15.68,-8.94,3.17,0.37,3.67,-19.05,-46.30,-45.43,-86.82,-0.52,-14.46,-4.74,-7.73,14.75,33.39,4.01,17.06,0.47,0.52,9.01,79.53
Shri Venkatesh,543373,,Solvent Extraction,129.05,-28.17,-33.82,-4.91,36.86,3.78,0.87,0.87,5.11,7.14,-2.01,-5.11,0.02,0.85,0.87,-49.53,-71.77,,,-41.04,-58.53,,,,,-12.24,-7.71,0.82,0.47,,285.45
Shricon Indus.,508961,,Construction,118.75,-0.05,1.57,1.63,-1.05,0.52,0.02,0.54,3.04,-0.24,3.29,-3.05,0.00,0.02,0.02,6.44,6.22,2.66,2.93,-0.40,-0.41,-0.75,-0.95,4.13,3.43,6.65,6.86,0.02,0.02,0.02,14.73
Shriram AMC,531359,,Finance & Investments,381.50,-4.39,-4.72,-2.36,2.62,-4.12,4.35,0.22,-7.73,-7.58,-15.14,26.99,4.27,0.08,4.35,-16.69,-25.14,-33.56,-36.02,-16.20,-24.63,-33.39,-35.84,-43.55,-35.99,-9.76,-13.22,0.28,0.15,0.14,496.59
Shriram Finance,511218,SHRIRAMFIN,Finance & Investments,2924.00,-31101.39,-31359.60,-258.21,27609.12,-3750.48,9932.84,11172.80,-17818.29,-17625.25,-193.04,11819.51,-5998.78,15931.62,16306.95,-58071.24,-64853.67,-83672.50,-101565.63,-57585.66,-64288.01,-82965.00,-100760.33,-637.81,-555.90,-565.66,-485.58,16441.82,3981.47,4445.31,109916.58
Shriram Pistons,,SHRIPISTON,Auto Ancillaries,1901.05,486.73,340.27,-421.60,-42.16,22.97,30.51,861.97,273.26,395.18,-208.52,53.19,239.84,277.34,646.89,771.37,1042.14,1127.66,1528.84,1101.23,1587.86,1919.55,2487.05,-1300.20,-1133.56,-910.85,-686.42,254.75,83.14,155.14,8374.10
Shriram Properti,543419,SHRIRAMPPS,Construction,111.90,222.78,213.88,-28.31,-159.50,34.97,99.59,183.72,0.30,5.41,-30.07,-8.69,-33.35,132.94,114.74,338.73,596.39,66.45,,352.56,627.61,151.67,,,455.08,80.36,-28.68,81.43,56.03,,1906.27
Shristi Infra,511411,,Construction,41.83,71.23,617.36,725.43,-810.99,-14.33,17.12,3.38,75.52,69.32,16.50,-88.06,-2.24,19.35,18.98,724.52,881.20,439.20,-42.40,173.83,338.76,67.83,163.61,200.79,699.67,738.44,736.37,14.92,23.75,49.89,92.86
Shrydus Indust.,511493,,Finance & Investments,18.70,-13.46,-13.46,0.00,12.58,-0.88,0.91,0.03,-0.15,-0.15,0.00,1.04,0.88,0.03,0.91,-15.12,-15.30,-15.66,-17.42,-15.12,-15.30,-15.66,-18.83,4.32,0.84,0.00,0.00,0.06,0.00,0.03,22.44
Shubham Polyspin,542019,,Textiles - Products,24.85,5.03,4.12,-0.72,-2.30,2.01,0.06,2.06,3.38,3.49,0.14,-3.80,-0.17,0.22,0.06,5.94,9.71,9.41,,12.57,17.87,22.04,,,-13.31,-7.53,-6.00,0.31,0.67,,30.13
Shubhlaxmi Jewel,,SHUBHLAXMI,Trading,33.50,-6.12,-6.35,0.50,5.48,-0.14,0.29,0.29,0.94,1.23,0.09,-1.16,0.16,0.13,0.29,-7.32,-4.12,,,-6.78,-3.38,,,,,0.37,0.57,0.18,0.57,,29.49
Shukra Bullions,531506,,Diamond Cutting / Jewellery,27.89,2.57,2.57,0.00,-2.53,0.04,0.07,0.11,-1.82,-1.82,0.00,-0.46,-2.29,2.36,0.07,8.32,6.51,-0.17,-0.15,8.32,6.51,-0.17,-0.15,0.13,0.08,0.00,0.00,0.00,0.02,0.02,14.00
Shukra Jewellery,523790,,Construction,4.92,-17.95,-17.95,17.85,0.15,0.05,0.04,0.09,-2.05,-2.05,2.02,-0.09,-0.11,0.15,0.04,-20.24,-15.74,-12.93,-23.34,-20.20,-15.70,-12.87,-23.14,-1.14,0.00,25.30,24.75,0.05,1.09,0.18,6.68
Shukra Pharma.,524632,,Pharmaceuticals - Indian - Formulations,109.20,-5.20,-6.96,-1.20,12.41,6.01,3.97,9.98,-1.32,3.17,-4.43,4.94,3.68,0.29,3.97,-1.84,-4.95,-11.05,-11.43,5.96,7.74,8.84,9.24,-20.22,-19.61,-12.41,-7.16,0.50,0.25,0.52,478.17
Shyam Century,539252,SHYAMCENT,Mining / Minerals / Metals,17.25,-11.54,-14.57,13.20,-0.96,0.70,0.08,82.39,49.39,54.18,-14.62,-39.62,-0.06,0.15,104.71,59.23,67.75,105.68,112.30,73.58,82.34,125.04,131.82,-51.71,-51.69,-45.90,-56.62,61.93,9.85,2.36,366.01
Shyam Metalics,543299,SHYAMMETL,Steel - Large,680.95,1794.38,-93.43,-2761.60,915.85,-51.37,90.79,50.47,-72.05,1506.87,-1954.95,430.96,-17.12,91.90,171.86,455.84,496.26,608.92,,4862.45,5827.62,6531.13,,,-8119.58,-7435.04,-6516.49,323.78,97.84,,19007.47
Shyam Telecom,517411,SHYAMTEL,Trading,15.73,0.16,-0.01,-0.16,0.00,0.00,0.14,0.14,-0.06,-0.06,0.03,0.00,-0.02,0.16,0.64,-0.70,-2.55,-12.55,-22.83,-0.55,-2.33,-12.19,-22.66,6.32,11.15,0.91,-0.06,1.92,3.11,4.11,17.73
Shyama Infosys,531219,,Computers - Software - Medium / Small,6.69,0.10,0.10,0.18,-0.28,0.00,0.03,0.03,-2.46,-2.46,2.28,0.12,-0.07,0.10,0.03,-2.33,-1.95,-3.08,-6.26,-2.45,-2.07,-3.20,-6.30,6.19,3.17,2.08,2.58,0.06,0.03,0.07,6.73
Shyamkamal Inv,505515,,Finance & Investments,13.15,-2.15,-2.15,0.12,2.12,0.09,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-2.15,-2.24,-2.55,-2.32,-2.15,-2.24,-2.55,-2.32,-0.17,0.12,0.12,0.12,0.01,0.06,0.02,13.34
Sibar Auto Parts,520141,,Auto Ancillaries,13.41,1.97,1.75,-0.22,-1.77,-0.02,0.11,0.09,1.73,2.02,-0.29,-1.89,-0.17,0.28,0.11,3.86,2.92,-4.88,-8.72,4.61,4.65,-0.49,0.61,-9.45,-4.39,-1.73,-0.75,0.13,0.25,0.20,22.17
Sicagen India,533014,,Trading,63.15,24.60,22.41,-2.69,-19.92,1.99,3.16,45.89,10.93,14.86,-4.14,-13.45,-2.73,5.89,28.85,46.28,33.85,71.79,4.66,37.93,31.90,39.77,-1.90,61.16,44.62,38.75,10.79,35.00,73.98,23.60,249.88
Sical Logistics,520086,SICALLOG,Miscellaneous,170.20,7.99,4.33,-7.05,24.71,25.65,68.43,119.31,35.17,6.61,69.64,-23.00,53.25,15.18,82.46,96.00,238.96,31.12,-393.79,82.16,532.74,706.77,912.21,-1227.82,-661.89,-260.09,8.03,64.62,60.56,40.67,1110.54
Siddha Ventures,530439,,Finance & Investments,9.59,0.01,0.01,0.00,0.04,0.05,0.01,0.06,-0.02,-0.02,0.00,0.00,-0.02,0.03,0.01,-0.14,-0.22,-0.30,0.00,-0.14,-0.22,-0.30,0.00,-0.08,-0.08,0.00,0.00,0.16,0.06,0.26,9.59
Siddhes. Garment,526877,,Trading,14.00,0.20,0.20,0.29,0.00,0.49,0.13,0.62,-0.22,-0.22,0.30,0.00,0.08,0.05,0.13,-0.54,-1.26,-1.71,-2.63,-0.54,-1.26,-1.71,-2.63,3.04,2.06,1.48,0.88,0.29,0.24,0.10,4.63
Siddhika Coatins,,SIDDHIKA,Miscellaneous,295.00,3.88,3.56,-4.95,-0.94,-2.01,8.62,8.62,4.69,4.86,-2.70,-1.05,1.10,7.51,8.62,11.64,14.15,15.53,15.53,12.33,15.65,17.19,17.19,-13.29,-13.29,-13.17,-9.77,2.01,1.84,1.47,91.14
Siel Fin. Serv.,532217,,Finance & Investments,49.79,-0.10,-0.10,0.00,0.11,0.01,0.00,0.01,-0.16,-0.16,2.20,-2.11,-0.07,0.08,0.00,-0.51,-1.07,-1.00,-1.58,-0.51,-1.07,-1.00,-1.58,1.71,0.70,0.70,0.18,0.25,0.73,0.59,56.48
Siemens,500550,SIEMENS,Electric Equipment,7810.85,1179.40,1047.50,-659.00,-440.20,80.20,902.40,7217.90,827.50,928.40,19.50,-382.70,565.20,337.20,6276.30,3109.40,4973.60,5719.70,7429.20,3441.60,5329.70,5925.70,7659.90,-1200.00,-2194.30,-3351.00,-3146.70,5551.70,3645.70,3509.40,278160.22
Sigachi Indust.,543389,SIGACHI,Pharmaceuticals - Indian - Bulk Drugs & Formln,60.46,12.89,-72.30,-160.74,172.10,24.25,32.81,57.06,-71.70,29.02,-91.85,26.21,-36.63,69.38,32.76,-162.48,-136.00,-124.26,,47.76,89.45,111.59,,,-343.45,-333.70,-315.45,18.02,2.13,,1984.28
Sigma Solve,543917,SIGMA,Computers - Software - Medium / Small,404.00,7.40,5.96,36.52,-41.20,2.72,4.56,7.28,12.72,19.74,-30.15,3.23,-7.18,11.85,4.67,35.02,40.03,,,43.59,48.43,,,,,-9.43,-8.22,10.99,,,415.24
SignatureGlobal,543990,SIGNATURE,Construction,1423.35,92.40,64.38,-488.56,367.88,-28.27,638.74,736.11,-293.97,-278.18,7.63,673.41,402.86,235.88,671.98,-113.45,,,,19.46,,,,,,,-427.15,291.85,,,19999.59
Signet Industrie,512131,SIGIND,Plastics Products,89.50,30.37,23.89,0.27,-32.04,-1.40,1.79,16.55,43.43,50.68,-5.56,-43.99,1.13,0.66,15.22,92.12,95.26,179.26,274.26,114.62,133.13,237.37,345.36,0.23,-35.94,-17.59,-13.97,20.66,29.79,27.70,263.46
Signoria Creatio,,SIGNORIA,Textiles - Products,131.85,-1.38,-6.32,-5.33,6.83,0.13,0.00,0.00,-8.18,-1.14,-7.03,8.17,0.00,0.00,0.00,-15.65,,,,-3.35,,,,,,,-12.68,0.01,,,62.73
Signpost India,544117,SIGNPOST,Miscellaneous,287.35,63.57,-45.34,-100.86,44.68,7.40,0.68,37.83,-26.33,8.28,-44.28,34.03,-1.97,2.65,24.76,,,,,,,,,,,,,,,,1535.85
Sika Interplant,523606,,Engineering,3273.95,19.73,12.85,-17.99,-1.90,-0.16,0.87,24.49,-3.56,-3.02,4.82,-1.98,-0.18,1.05,23.91,25.08,43.56,52.37,53.79,32.53,52.04,60.13,68.89,-57.91,-48.81,-45.01,-26.82,29.51,4.10,3.93,1388.15
Sikko Industries,,SIKKO,Pesticides / Agrochemicals - Indian,88.01,2.21,4.37,0.87,-3.49,-0.40,0.49,0.08,-6.01,-4.05,-1.95,6.28,0.28,0.20,0.49,4.11,4.24,-1.07,0.15,4.52,5.44,1.90,3.76,-4.87,-4.24,-2.47,-1.69,0.14,3.26,2.60,147.87
Sikozy Realtors,524642,,Construction,0.98,-0.13,-0.13,0.00,0.12,-0.01,0.06,0.06,0.07,0.07,-0.01,0.00,0.06,0.01,0.06,-0.03,0.01,-0.01,-0.08,-0.03,0.01,-0.01,-0.09,-0.01,-0.02,-0.02,-0.02,0.01,0.00,0.02,4.37
SIL Investments,521194,SILINV,Finance & Investments,555.00,16.03,-2.21,14.22,-48.48,-18.23,39.04,63.00,99.89,99.89,-87.98,-5.89,6.02,33.02,70.06,45.89,52.19,44.20,21.83,146.36,153.06,145.95,123.37,-81.75,-110.51,-126.51,-137.67,63.92,6.97,1.92,588.29
Silgo Retail,,SILGO,Diamond Cutting / Jewellery,37.02,1.56,1.56,0.00,7.05,8.61,0.02,8.62,2.37,2.38,-0.01,-2.40,-0.03,0.04,0.02,3.13,-25.42,-31.25,,3.15,-25.38,-30.70,,,-0.45,0.06,0.00,0.10,0.10,,68.49
Silicon Rental,543615,,Miscellaneous,162.00,21.03,-4.30,-25.23,2.49,-1.71,7.56,7.56,-9.84,19.02,-28.80,7.71,-2.06,9.63,7.56,-19.74,-18.54,,,55.41,73.24,,,,,-91.62,-74.99,3.43,0.46,,166.40
Silicon Valley,531738,,Finance & Investments,0.03,1.35,1.35,0.00,-1.35,0.00,0.06,0.06,-0.01,-0.01,0.00,0.00,-0.01,0.07,0.06,1.33,1.39,1.14,1.10,1.33,1.39,1.14,1.10,0.24,0.24,0.00,0.00,0.08,0.01,0.02,0.39
Silkflex,,SILKFLEX,Trading,59.00,6.50,-1.72,-8.37,1.89,0.02,0.04,0.04,-0.95,0.01,-1.03,1.02,0.00,0.04,0.04,-8.02,-10.15,,,2.22,1.96,,,,,-13.05,-9.77,0.05,,,68.48
Silly Monks,,SILLYMONKS,Entertainment / Electronic Media Software,18.66,1.04,-0.23,-1.24,-0.38,-0.58,2.59,1.97,0.57,0.65,-0.03,-0.24,0.37,2.22,2.59,0.85,-0.54,-12.63,,2.21,1.59,-5.69,,,-6.16,1.07,0.10,1.50,1.48,2.57,19.05
Silver Oak (I),531635,,Breweries & Distilleries,72.50,-1.36,-1.51,1.60,-0.06,0.19,1.41,3.55,-2.33,-2.03,1.03,0.24,-0.76,2.16,6.03,-1.18,-4.65,2.62,,-0.75,-3.49,3.91,,,-4.38,5.18,3.62,4.57,6.93,17.82,27.48
Silver Pearl,543536,,Hotels,9.50,-1.69,-1.90,-0.21,0.06,-1.84,3.15,3.15,-6.47,-6.37,-0.10,9.13,2.67,0.48,3.15,-11.70,-11.32,,,-11.16,-10.11,,,,,-1.20,-0.54,0.39,0.01,,7.46
Silver Touch,543525,SILVERTUC,Computers - Software - Medium / Small,733.65,2.81,4.13,-12.12,2.88,-6.43,10.66,7.49,-4.65,15.76,-18.98,7.31,4.09,6.58,15.76,0.85,7.66,1.78,8.54,26.12,38.13,39.83,56.60,-60.62,-50.58,-42.86,-37.66,13.27,9.89,6.17,930.33
Silveroak Comm,512197,,Construction,3.55,-0.67,-0.67,0.31,-0.09,-0.45,0.48,0.05,0.33,0.32,0.12,-0.14,0.30,0.18,0.61,2.53,-7.21,-7.21,,2.63,-1.64,-1.64,,,-2.06,-2.06,0.41,0.15,0.01,0.03,0.98
Simbhaoli Sugar,539742,SIMBHALS,Sugar,33.10,24.86,13.95,-2.10,-17.52,5.24,14.73,58.30,-2.92,7.00,-4.81,-15.08,-12.89,27.61,42.25,47.76,107.52,71.63,272.07,76.52,155.90,140.27,360.64,10.01,58.21,-7.94,-7.14,57.52,23.29,76.79,136.61
Simm. Marshall,507998,,Fasteners,117.00,16.98,7.48,-7.25,-9.83,-0.10,0.19,0.15,11.87,13.34,-0.77,-12.51,0.06,0.13,0.32,29.72,26.90,27.02,37.03,44.42,65.84,76.20,102.84,-59.63,-43.73,-35.75,-11.68,0.58,0.72,2.95,131.05
Simplex Castings,513472,,Castings & Forgings,195.00,-2.96,-2.08,5.17,-2.49,-0.28,1.72,3.11,10.56,11.86,-0.66,-9.73,1.48,0.24,4.64,26.79,-10.52,-16.79,5.16,27.93,-4.77,22.97,60.74,36.99,55.64,90.10,4.47,5.05,6.32,1.72,134.39
Simplex Infra,523838,SIMPLEXINF,Construction,131.10,-82.69,-87.74,1.94,83.38,2.63,58.96,61.59,-410.60,-431.62,205.50,259.49,33.37,25.59,59.01,-931.86,-1377.13,-1128.13,-432.26,-961.20,-1463.03,-1029.54,166.37,-335.31,146.06,379.68,229.69,46.68,111.60,50.94,749.13
Simplex Mills,533018,,Trading,3451.10,-0.41,-0.41,0.35,0.00,-0.06,0.13,0.07,-1.11,-1.12,1.10,0.00,-0.02,0.15,0.13,-1.68,-1.34,-1.33,-6.65,-2.28,-1.94,-1.93,-9.91,3.28,1.20,2.00,2.30,0.05,0.01,0.08,10.36
Simplex Papers,533019,,Trading,1875.00,-0.22,-0.22,0.10,0.10,-0.02,0.04,0.02,-0.16,-0.16,0.00,0.19,0.03,0.01,0.04,-0.55,-0.79,-2.26,0.80,-0.55,-0.79,-2.26,-2.31,4.11,0.93,0.10,0.10,0.02,0.05,0.23,5.63
Simplex Realty,503229,,Construction,160.00,-6.03,-6.03,6.29,-0.30,-0.04,0.30,0.28,-4.89,-4.87,2.66,-0.67,-2.88,3.18,0.34,-15.58,-17.75,-12.80,-8.30,-15.53,-17.31,-11.88,-7.21,20.91,16.92,21.76,17.39,0.34,0.34,1.11,47.84
Simran Farms,519566,,Miscellaneous,132.45,8.18,6.81,-1.36,-0.70,6.12,6.07,12.18,-10.36,-6.76,-3.59,0.48,-9.87,15.94,6.07,-6.53,-5.92,12.39,-24.20,-0.99,2.55,28.15,2.46,-25.26,-15.65,-8.35,-5.42,19.12,20.26,2.07,50.20
Sinclairs Hotels,523023,SINCLAIR,Hotels,117.00,15.49,14.91,28.75,-43.53,0.70,0.35,1.15,35.87,17.83,-0.71,-16.95,0.16,0.19,0.45,57.99,70.58,91.30,118.29,41.69,56.46,87.72,132.21,-48.13,-11.16,14.45,22.95,0.62,1.64,0.69,599.75
Sindhu Trade,532029,SINDHUTRAD,Miscellaneous,21.12,684.96,607.52,72.58,-688.31,69.22,38.34,107.70,-40.37,-107.98,151.81,-22.78,21.04,17.29,40.20,682.90,,,,751.66,,,,,,,201.84,32.75,,66.75,3256.56
Singer India,505729,,Engineering,89.41,1.39,1.68,19.47,-1.71,19.14,25.47,86.80,8.02,-0.56,-46.55,49.14,2.02,23.44,81.72,22.44,68.52,62.25,60.98,14.48,60.61,56.07,57.61,-26.50,-29.56,-26.91,-20.38,15.78,3.01,5.34,547.12
Sinnar Bidi Udy.,509887,,Miscellaneous,719.80,3.74,4.01,0.27,-0.02,3.99,0.04,4.04,-0.09,-0.14,0.05,0.06,-0.03,0.07,0.04,3.14,5.99,6.29,10.59,2.85,5.70,5.82,10.31,0.32,0.47,0.29,1.12,0.07,0.01,0.03,28.79
Sintercom India,,SINTERCOM,Auto Ancillaries,137.85,1.33,-1.27,-2.68,1.36,0.02,0.72,0.74,-0.63,10.18,-10.64,0.27,-0.19,0.91,0.72,-8.85,-10.38,-11.26,,10.53,18.37,51.86,,,-69.04,-27.61,-19.34,8.24,0.88,1.40,379.46
Sintex Plastics,540653,SPTL,Plastics Products,1.06,-0.01,-0.01,0.00,0.00,-0.01,0.24,0.23,0.17,-128.88,129.09,0.00,0.21,0.03,0.24,0.20,-148.01,-147.87,,-128.85,-148.01,-147.87,,,-584.98,-385.66,129.09,0.08,288.78,0.01,67.43
Sir Shadi Lal,532879,,Sugar,374.75,47.50,46.61,-1.55,-43.91,2.03,1.94,4.62,52.63,55.17,-1.60,-58.84,-5.27,7.21,3.12,114.81,195.90,172.36,113.22,152.47,258.53,273.26,186.92,-55.02,-90.13,-59.50,-33.50,8.54,16.03,20.83,196.74
Sirca Paints,543686,SIRCA,Trading,325.00,32.40,22.37,-11.81,-8.24,12.35,30.34,69.61,-28.65,-18.69,9.38,-5.52,-14.84,45.18,51.68,12.39,9.57,-7.08,,48.87,60.55,71.58,,,-78.11,6.06,-13.49,78.81,81.54,13.33,1781.29
Sirohia & Sons,538667,,Trading,10.16,0.02,0.02,0.00,0.00,0.02,0.00,0.00,0.02,0.02,0.00,-0.05,-0.02,0.03,0.00,0.03,-5.81,-16.22,-15.20,0.03,-5.81,-16.08,-14.89,10.69,15.03,6.41,0.01,0.05,0.05,1.12,10.42
SIS,540673,SIS,Miscellaneous,447.75,394.42,238.56,-106.67,-340.20,-52.45,0.19,740.52,52.19,170.93,-137.38,-228.53,-194.98,195.17,750.97,422.19,1139.17,1424.50,1493.89,798.85,1639.80,2059.67,2304.11,-1892.91,-1433.83,-758.88,-363.06,1088.04,542.88,429.20,6453.41
Sita Enterprises,512589,,Finance & Investments,52.28,-0.21,-0.21,0.11,0.00,-0.10,0.18,0.08,0.12,0.12,-0.03,0.00,0.09,0.09,0.18,1.23,-0.54,0.02,-0.50,1.23,-0.54,0.02,-0.50,0.41,0.02,0.56,-1.20,0.05,0.05,0.04,15.68
Siti Networks,532795,SITINET,Entertainment / Electronic Media Software,0.65,181.14,139.77,-64.02,-75.95,41.18,61.65,182.65,28.18,183.52,-181.80,-51.47,-49.75,111.40,92.51,318.32,968.32,441.07,-287.39,663.99,1605.29,2083.58,2759.17,-3013.27,-1623.49,-612.36,-384.95,177.85,126.08,374.93,56.68
Siyaram,544047,,Mining / Minerals / Metals,73.49,-4.21,-4.81,-0.60,4.60,-0.20,0.72,0.72,-29.32,-28.24,-1.28,28.15,-1.37,2.10,0.72,-25.85,,,,-21.87,,,,,,,-4.24,0.38,,,138.14
Siyaram Silk,503811,SIYSIL,Textiles - Processing,517.00,127.93,78.04,68.19,-193.89,2.23,3.50,6.97,192.05,235.36,-112.86,-122.52,-0.02,3.52,4.71,240.02,718.89,700.45,855.79,398.84,935.83,1099.38,1442.65,-529.58,-326.73,-156.55,-99.61,5.07,8.05,4.63,2345.64
Sizemasters Tech,513496,,Auto Ancillaries,238.00,-0.20,-0.52,-10.63,11.79,0.96,0.56,9.52,0.15,0.35,-6.08,6.28,0.54,0.02,6.56,,,,,,,,,,,,,,,,238.00
SJ Corp,504398,,Diamond Cutting / Jewellery,41.89,1.70,1.16,-0.48,-0.77,0.45,0.28,0.73,-2.45,-2.45,0.24,0.77,-1.45,1.72,0.28,-0.64,-2.36,0.14,4.91,-0.10,-1.81,0.44,5.23,0.99,0.97,-0.10,0.21,0.62,2.64,0.05,35.00
SJS Enterprises,543387,SJS,Plastics Products,786.50,108.70,79.10,-133.25,28.71,4.16,7.92,15.32,56.41,87.00,-99.88,4.84,-8.04,15.95,29.72,182.72,,,,256.32,,,,,,,-282.65,,,,2441.17
SJVN,533206,SJVN,Power Generation And Supply,132.35,1309.53,-4340.15,-5501.86,4501.53,309.20,35.50,3749.81,-5211.95,1631.91,-6876.61,5559.19,314.49,-278.99,3731.44,-11842.16,-11480.37,-9944.41,-5086.35,5079.17,8775.36,11434.61,17511.51,-22039.76,-19768.40,-19749.44,-18510.14,1305.94,2966.94,4319.75,52010.83
SKF India,500472,SKFINDIA,Bearings,6661.05,624.09,495.98,-158.15,-203.76,262.18,955.28,1222.11,584.90,690.23,-44.92,-78.55,566.76,388.52,957.96,1047.19,1572.39,2029.98,2283.75,1371.41,2025.16,2573.35,2932.21,275.94,305.35,263.86,-235.66,500.31,603.42,591.45,32930.86
SKIL Infrastr,539861,SKIL,Construction,6.20,-188.24,-188.24,665.98,-477.76,-0.03,0.19,0.16,1.08,1.07,56.96,-58.76,-0.73,0.54,0.19,7.88,268.07,150.70,-487.16,-141.74,-355.02,-682.46,-1128.82,2663.89,2135.60,1390.57,839.12,22.84,32.95,30.46,134.28
Skipper,538562,SKIPPER,Engineering,357.25,199.16,97.85,-186.98,-12.45,-0.27,2.11,134.89,201.09,284.19,-97.94,-185.26,1.00,1.12,31.08,275.77,539.22,663.97,855.74,500.63,895.48,1110.07,1525.02,-769.07,-566.35,-483.53,-333.09,26.29,10.85,24.94,3876.80
SKM Egg Prod.,532143,SKMEGGPROD,Food - Processing - Indian,261.55,109.16,47.82,-54.06,13.18,68.28,-13.46,141.09,31.90,60.15,-15.87,-4.93,39.35,-52.81,58.95,72.67,76.64,86.20,138.36,171.20,184.86,215.58,277.93,-122.85,-113.83,-100.44,-77.95,11.19,24.31,17.52,688.66
SKP Bearing,,SKP,Bearings,226.25,6.87,-5.20,-23.08,19.07,2.86,0.03,,,,,,,,,,,,,,,,,,,,,,,,375.58
SKP Securities,531169,,Finance & Investments,145.00,4.53,4.09,-1.27,-3.65,-0.39,0.45,22.86,-1.70,-0.50,1.59,-0.81,0.28,0.16,18.75,-3.32,-6.81,-0.42,0.76,4.56,2.17,9.29,13.37,-6.64,7.62,6.65,-2.34,11.81,3.03,6.00,98.74
Sky Gold,541967,SKYGOLD,Diamond Cutting / Jewellery,1661.10,-138.10,-157.84,-106.16,239.23,-5.02,18.38,76.76,-8.80,-6.48,-19.75,43.23,17.00,1.38,18.38,-174.50,-175.93,-181.91,,-151.80,-151.11,-154.56,,,-163.51,-142.31,-128.20,0.41,1.27,0.15,2198.85
