Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
Cochin Minerals,513353,,Chemicals,277.35,7.90,6.10,1.94,9.45,10.09,17.84,10.55,8.63,25.48,18.25,153.84,42.62,1.94,9.45,19.59,15.47,19.59,15.47,-1.14,17.07,5.08,33.19,15.17,217.16
Cochin Shipyard,540678,COCHINSHIP,Miscellaneous,2260.00,8.95,4.21,10.05,11.26,13.16,13.16,8.50,7.32,8.67,8.28,11.74,9.47,10.05,11.26,11.78,9.53,14.19,11.18,0.00,586.82,448.60,835.85,664.59,59456.24
Coffee Day Enter,539436,COFFEEDAY,Hotels,55.45,4.48,-23.58,34.02,25.95,-6.11,-29.58,-13.34,-7.36,80.21,-16.34,-12.35,-3.50,34.02,25.95,19.82,8.14,20.26,16.94,-7.02,-160.43,-69.50,-38.17,176.06,1171.41
Coforge,532541,COFORGE,Computers - Software - Medium / Small,5535.00,25.33,20.08,19.41,14.36,13.29,14.53,18.47,14.82,22.00,15.99,16.51,14.54,18.61,14.35,16.95,13.19,17.07,13.39,-63.99,620.50,447.41,881.54,640.32,36913.22
Colab Cloud,542866,,Finance & Investments,16.63,170.88,39.59,334.45,82.06,16.67,16.67,12.67,54.89,349.79,74.50,16.26,,194.45,42.53,-0.58,,18.42,,4.75,0.48,0.35,0.58,0.44,169.63
Colgate-Palmoliv,500830,COLPAL,Personal Care - Multinational,2875.30,5.47,4.95,8.90,12.10,5.18,5.34,5.21,4.73,8.67,9.20,10.47,10.72,8.90,12.10,12.75,10.52,12.75,10.52,0.00,1064.75,850.09,1411.50,1166.65,78204.04
Colinz Labs,531210,,Pharmaceuticals - Indian - Formulations,42.50,4.50,-1.52,32.64,32.50,-0.79,-0.79,-1.92,-0.53,15.66,11.77,7.32,5.72,32.64,32.50,19.60,21.48,19.60,21.48,-0.08,0.33,0.23,0.50,0.38,19.43
Colorchips New,540023,,Entertainment / Electronic Media Software,23.35,-47.07,-40.89,21.49,,-28.97,-37.32,-41.50,-8.70,-29.05,-1.89,-20.54,25.89,21.49,,,,,,-8.74,-0.92,-0.43,-0.90,-0.41,39.72
Comfort Comtrade,534691,,Finance & Investments,26.37,-26.58,-11.98,12.23,179.02,-24.85,-39.72,20.43,,18.93,212.97,54.75,,12.23,179.02,53.56,,53.56,,4.33,5.89,3.46,8.94,5.09,26.42
Comfort Fincap,535267,,Finance & Investments,9.39,7.69,13.47,7.20,13.12,13.32,11.68,14.46,17.42,6.51,13.67,16.01,22.33,7.23,13.14,14.98,23.59,14.97,23.58,5.37,3.97,3.13,8.60,6.35,50.96
Comfort Intech,531216,,Breweries & Distilleries,9.69,22.73,24.10,18.71,169.56,27.20,27.20,48.47,29.02,19.86,50.11,26.22,38.52,18.71,169.56,43.70,21.97,43.70,21.97,3.28,7.93,,6.64,,310.02
Command Polymers,543843,,Plastics Products,27.70,-12.40,53.73,,,19.08,19.08,,,,,,,,,,,,,,-0.21,,0.32,,25.97
Commerl. Synbags,539986,COMSYN,Packaging,83.00,10.18,6.66,-15.74,-8.48,4.50,-1.90,13.32,11.54,0.17,-0.30,9.16,9.78,-19.00,-10.61,1.79,-11.78,3.52,6.29,-2.36,11.41,9.17,19.11,16.12,331.62
Committed Cargo,,COMMITTED,Miscellaneous,58.75,7.82,10.52,21.27,10.77,16.67,16.67,12.25,,20.86,8.17,7.09,,7.69,3.16,-26.01,,11.04,,,3.26,,4.59,,63.51
Competent Auto,531041,,Trading,576.95,21.15,11.62,17.32,12.38,3.79,3.79,8.10,10.20,12.37,14.98,14.81,15.01,17.32,12.38,12.86,12.23,12.86,12.23,0.00,20.19,17.13,41.81,34.82,354.84
Compuage Info.,532456,COMPINFO,Trading,3.69,-4.04,-1.70,,,10.81,-6.25,2.68,6.71,,,,,,,,,,,-15.68,-2.75,6.27,69.33,65.78,31.65
Compucom Soft.,532339,COMPUSOFT,Computers - Education,28.57,59.68,0.64,48.24,12.99,5.78,28.74,3.12,-0.64,48.60,1.22,-3.66,-7.25,48.24,12.99,12.42,-5.52,12.42,-5.52,-3.62,4.81,4.88,7.97,8.97,226.06
Computer Point,507833,,Trading,9.14,25.99,-60.07,,-12.94,-49.93,-66.67,-68.04,-54.15,-15.66,-22.88,-23.18,-20.30,0.00,-12.94,-24.27,-12.94,-24.27,-12.94,0.00,0.01,0.02,0.01,0.02,27.42
Comrade Applian.,543921,,Electronics - Components,92.00,3.75,,43.33,,7.61,7.61,,,22.51,,,,9.14,,,,,,,0.59,,2.02,,69.26
