Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
S C I,523598,SCI,Shipping,254.30,10.86,5.43,-0.32,41.68,-1.07,14.27,5.59,1.78,8.46,14.54,8.64,7.53,-0.32,41.68,23.86,14.54,23.86,14.54,0.00,606.43,412.38,785.84,592.08,11845.28
S Chand & Compan,540497,SCHAND,Printing & Stationery,230.85,15.93,4.88,123.19,24.89,12.56,8.56,0.07,6.10,18.07,47.04,-4.56,4.16,122.67,24.83,-4.77,-40.12,-2.49,1.93,-0.33,0.56,19.35,31.34,61.47,812.99
S H Kelkar & Co.,539450,SHK,Chemicals,191.85,13.44,12.99,-2.65,6.48,7.82,14.44,10.16,9.76,6.34,13.90,8.54,8.36,-1.97,7.42,3.09,-47.66,2.45,4.90,0.39,107.50,96.48,168.00,152.25,2655.59
S I Cap. & Fin.,530907,,Finance & Investments,32.00,68.75,39.29,-41.52,,5.88,54.24,38.16,21.84,15.26,,-2.36,,-20.63,,,,,,-2.48,-0.28,-0.25,-0.12,-0.17,14.40
S I Paper Mills,516108,,Paper,99.01,11.46,5.33,,,4.24,4.24,6.99,8.17,-21.24,-12.95,-7.32,2.01,,,,,,,-8.76,1.79,7.08,12.54,16.85,185.66
S J Logistics (I,,SJLOGISTIC,Miscellaneous,484.00,,,,,101.67,101.67,,,,,,,,,,,,,,,,,,700.99
S K Internation.,542728,,Textiles - Products,17.10,1.14,1.13,0.85,,1.62,1.62,,,5.71,,,,0.85,,,,,,2.05,-0.92,,-0.85,,12.54
S P Apparels,540048,SPAL,Textiles - Products,740.45,18.60,5.67,27.41,4.22,4.84,0.88,8.06,9.23,18.00,4.98,5.05,10.36,28.42,4.72,7.93,25.20,7.89,30.33,0.24,71.03,56.48,108.76,98.60,1857.98
S P Capital Fin.,530289,,Finance & Investments,46.00,-24.28,0.16,-53.13,30.14,15.07,61.78,7.51,-0.19,-33.98,40.72,27.02,22.52,-53.13,30.14,15.85,16.65,15.85,16.65,0.00,1.38,0.77,1.75,1.00,27.64
S P I C,590030,SPIC,Fertilizers,85.58,8.38,-5.59,24.94,18.22,-13.71,-19.78,3.78,2.13,31.42,17.14,21.48,21.71,24.94,18.22,24.63,17.66,24.63,17.66,0.59,150.48,91.20,198.75,129.48,1742.75
S R G Securities,536710,,Finance & Investments,29.00,-22.80,-17.68,-2.69,-5.08,-2.62,-15.63,-8.29,1.84,-21.43,-20.83,-12.54,0.00,-2.69,-5.08,-1.62,7.14,3.08,10.70,1.41,0.45,0.42,0.98,1.19,15.59
S R Industries,513515,,Leather / Leather Products,1.47,-18.17,-20.80,22.75,,-14.89,-33.19,-18.66,,25.43,,,,22.75,,,,,,-8.18,-6.67,-3.48,-4.30,0.84,2.89
S T C,512531,STCINDIA,Trading,160.55,,,42.28,17.89,-26.86,-91.49,,,50.37,41.80,-16.28,-14.41,42.28,17.89,11.03,8.04,11.03,8.04,0.00,8.50,-224.44,6.94,66.97,963.30
S V Global Mill,535621,,Construction,99.75,-1.64,-13.19,,12.74,-3.17,-3.17,,,,13.58,,,,12.74,,,,,0.00,-0.06,,1.01,,180.38
S. V. J. Enterp.,543799,,Paper,27.45,,,,,3.02,3.02,,,,,,,,,,,,,,,,,,15.29
S.A.L Steel,532604,SALSTEEL,Steel - Sponge Iron,21.30,24.32,0.25,-65.60,15.98,10.23,-1.89,6.98,5.91,1.97,16.64,9.80,36.16,-65.60,15.98,-8.57,7.25,-8.57,7.25,0.00,8.60,0.06,14.87,11.62,180.98
S.M. Gold,542034,,Diamond Cutting / Jewellery,17.84,23.06,18.79,78.28,126.41,14.54,14.54,,,51.30,85.10,,,78.28,126.24,,,,,-17.92,0.39,,0.96,,17.91
Saakshi Medtech,,SAAKSHI,Electric Equipment,302.35,26.80,,75.57,,-0.17,-0.17,,,47.99,,,,,,,,,,,8.19,,12.63,,533.81
SAB Events,540081,SABEVENTS,Entertainment / Electronic Media Software,9.70,7.62,-8.96,4.10,5.48,-11.94,-11.94,-18.56,,5.07,11.30,,,4.10,5.48,,,,,0.00,-1.09,-1.15,-0.92,-1.07,10.17
SAB Industries,539112,,Construction,172.00,232.35,11.17,32.39,38.91,-87.58,-87.58,,,27.73,44.40,,,32.33,38.89,,,,,-0.06,18.18,,20.95,,261.62
Sabar Flex India,,SABAR,Packaging,20.90,19.51,28.39,45.81,42.45,31.67,31.67,,,29.39,30.72,,,31.28,33.75,,,,,,2.01,,4.88,,31.50
Saboo Sodium,530461,,Food - Processing - Indian,18.88,32.97,14.07,33.13,-8.57,5.98,5.45,13.08,11.25,1.38,0.04,-0.48,-0.79,33.15,-8.51,13.31,11.13,13.30,11.96,-12.46,-0.04,0.12,2.87,3.10,79.24
Sabrimala Indus.,540132,,Trading,8.82,,23.87,67.68,17.75,44.65,-68.59,-15.15,,71.00,20.88,11.73,,67.68,17.75,20.40,,20.40,,0.00,-0.09,,-0.05,,7.69
Sacheta Metals,531869,,Aluminium and Aluminium Products,21.27,-2.21,-4.50,-3.19,-1.09,1.57,0.28,3.39,1.41,1.06,0.22,6.08,3.25,-11.45,-6.27,13.96,7.75,18.43,10.69,-11.09,1.94,1.50,3.63,3.06,53.18
Sadbhav Engg.,532710,SADBHAV,Construction,28.50,-5.01,-18.17,,,5.33,-14.96,-11.43,-3.45,-38.15,-33.61,-22.58,-7.06,,,,,,,-10.52,-320.50,-199.57,533.76,750.62,488.97
Sadbhav Infra.,539346,SADBHIN,Construction,5.76,-15.28,-26.16,19.94,11.35,-14.30,-24.86,-7.54,7.70,-15.34,-18.81,-10.27,5.23,19.94,11.35,8.35,6.96,8.35,3.75,0.00,-123.35,-238.12,663.23,649.14,202.87
Sadhana Nitro,506642,SADHNANIQ,Chemicals,67.70,22.63,-6.58,-36.49,-44.25,27.82,8.81,19.33,19.49,16.76,-18.02,26.37,45.90,-37.18,-44.59,33.71,9.24,34.59,9.33,-8.37,8.81,13.70,21.25,25.99,1672.57
Sadhav,,SADHAV,Shipping,237.40,11.63,,40.35,,11.88,11.88,,,17.02,,,,,,,,,,,,,,,340.72
Sadhna Broadcast,540821,,Entertainment / Electronic Media Software,3.84,-11.83,-22.58,77.00,-22.56,0.33,-20.72,-11.46,19.95,47.87,-14.72,0.76,34.52,77.02,-22.55,,,-5.74,25.57,-9.44,0.24,0.50,0.56,0.84,38.50
Safa Systems,543461,,Trading,15.20,37.15,16.11,94.69,42.83,0.08,0.08,,,44.02,25.23,,,,,,,,,,0.92,,3.82,,37.97
Safari Inds.,523025,SAFARI,Moulded Luggage,2059.55,67.83,21.83,119.59,44.92,27.92,27.92,24.02,25.39,413.07,39.99,41.68,43.81,114.65,42.42,45.69,88.59,49.09,97.98,-9.54,68.27,41.41,96.94,61.34,10043.83
Saffron Industri,531436,,Paper,8.05,-2.05,-0.33,0.18,,-9.30,-4.65,-9.39,-12.38,27.52,-57.60,-40.25,7.26,0.18,,,5.94,,5.94,0.00,-1.49,-0.40,-1.48,-0.27,5.79
Sagar Cements,502090,SAGCEM,Cement - South India,250.50,22.24,15.52,,,16.45,16.45,17.42,,-13.86,11.26,12.61,,,,,,,,-1.97,39.26,,176.17,,3274.27
Sagar Diamonds,540715,,Diamond Cutting / Jewellery,25.02,40.58,126.12,39.08,80.41,43.88,43.88,,,42.97,75.29,,,39.08,80.41,,,,,0.00,14.25,,18.72,,31.63
Sagar Soya Prod,507663,,Solvent Extraction,1.70,,,13.86,-1.24,,,,,9.35,-1.50,0.57,12.49,13.86,79.79,65.80,30.35,8.08,10.06,0.00,0.25,0.19,0.32,0.22,0.05
Sagardeep Alloys,,SAGARDEEP,Mining / Minerals / Metals,27.57,15.07,14.33,75.75,-14.77,-3.97,14.58,2.87,,22.67,-6.78,0.50,,75.75,-14.73,12.22,,12.18,,0.00,0.53,0.63,1.64,2.16,47.01
SagarSoft (India,540143,,Computers - Software - Medium / Small,199.00,,,,,-7.29,-7.29,,,,,,,,,,,,,-1.00,,,,,127.21
Sah Polymers,543743,SAH,Packaging,92.35,,19.25,,12.70,14.31,14.31,,,,20.69,,,,1.91,,,,,,,,,,238.22
Sahaj Fashions,,SAHAJ,Textiles - Products,20.75,18.78,2.07,43.22,19.24,1.69,3.63,,,3.80,1.06,,,18.25,6.29,,,,,,0.84,,5.12,,27.32
Sahana Systems,,SAHANA,Computers - Software - Medium / Small,1600.00,153.11,,364.57,,98.36,98.36,,,183.25,,,,-49.95,,,,,,,4.54,,6.52,,1279.43
Sahara,544056,,Miscellaneous,50.00,9.71,,6.27,,24.05,24.05,,,7.99,,,,-84.25,,,,,,,,,,,15.35
Sahara Housing,511533,,Finance - Housing,35.20,-7.50,-8.27,-12.50,-11.71,-7.83,-7.83,-3.46,-6.64,-10.60,-12.45,-4.57,-9.19,-12.50,-11.71,-4.83,-6.15,-4.83,-6.15,0.00,1.75,2.00,7.20,8.61,24.65
Sahyadri Industr,532841,SAHYADRI,Cement Products,429.00,10.35,17.20,-24.49,-2.96,6.81,9.46,14.04,5.68,-10.02,0.16,6.78,11.94,-27.82,-5.55,34.25,19.26,36.87,20.35,4.18,42.62,26.56,62.60,45.95,469.60
Sai Capital,531931,,Finance & Investments,151.00,-83.56,-70.46,,,-51.95,-51.95,,,,,,,,,,,,,0.00,7.15,,12.96,,43.48
Sai Silks,543989,KALAMANDIR,Trading,191.60,26.58,5.64,169.73,27.18,12.61,12.61,,,54.21,23.02,,,45.48,-12.64,,,,,,60.68,,119.98,,2938.49
Sai Swami Metals,544170,,Domestic Appliances,55.00,,,,,549.60,549.60,,,,,,,,,,,,,,,,,,36.40
Saianand Commer.,512097,,Trading,0.67,,46.62,134.27,93.79,-41.78,-100.00,40.16,,138.53,96.10,61.78,45.49,134.21,93.76,60.40,44.60,60.41,44.61,0.00,-0.14,-0.08,-0.13,-0.07,15.23
Sailani Tours N,543541,,Travel Agencies,24.70,177.32,,,,-7.96,-7.96,,,58.74,,,,-3.25,,,,,,,0.19,,0.29,,11.62
Sainik Finance,530265,,Finance & Investments,46.85,-9.86,-12.42,35.93,-16.94,8.60,-16.39,6.24,9.40,3.19,-14.60,7.30,12.10,35.93,-16.94,6.82,14.64,6.82,14.64,0.00,-1.21,0.87,16.18,14.73,50.97
Saint-Gob. Sekur,515043,,Glass & Glass Products,134.20,24.15,4.67,53.11,22.74,7.72,7.72,7.19,6.82,39.97,12.02,15.10,16.77,53.11,22.74,25.95,53.50,25.95,53.50,0.00,19.44,14.78,26.82,20.38,1222.71
Sakar Healthcare,,SAKAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,312.50,17.42,17.58,2.62,11.64,17.70,15.00,19.46,17.84,20.20,18.75,21.00,18.10,-8.11,3.59,8.10,9.39,19.22,20.89,-20.87,12.02,7.82,19.72,13.77,679.69
Saksoft,590051,SAKSOFT,Computers - Software - Medium / Small,284.55,25.45,16.29,28.39,21.41,7.53,14.43,16.63,13.00,28.00,18.55,22.44,19.38,27.94,21.14,27.75,20.13,27.99,20.55,-2.47,65.05,43.50,88.39,63.45,3016.53
Sakthi Finance,511066,,Finance & Investments,58.00,6.46,4.59,19.27,5.62,3.04,5.83,3.03,4.60,5.42,3.72,1.63,3.53,19.27,0.32,-4.50,-0.28,-0.92,2.33,0.00,11.64,12.97,123.51,121.52,375.29
Sakthi Sugars,507315,SAKHTISUG,Sugar,39.74,19.07,16.18,20.00,10.37,-1.85,1.47,2.07,4.22,63.42,-2.02,-6.36,16.37,20.00,10.37,0.09,5.46,0.09,5.02,0.00,-137.33,-117.09,16.68,19.82,472.35
Sakuma Exports,532713,SAKUMA,Trading,35.93,16.95,-13.40,58.23,-10.29,11.20,-33.04,-8.36,3.02,37.58,-11.69,-2.18,6.54,58.23,-11.97,-3.39,5.64,1.62,9.45,0.00,23.92,33.12,34.33,48.70,1126.58
SAL Automotive,539353,,Automobiles - Tractors,514.20,48.16,18.67,82.43,8.01,10.62,10.62,18.63,14.32,67.33,15.83,18.50,11.54,82.43,8.01,12.19,8.15,12.19,8.15,0.00,1.41,2.05,3.43,3.74,123.29
Salasar Exterior,,SECL,Construction,17.65,-67.65,-65.32,26.89,-40.43,-72.37,-72.37,,,-32.14,-47.59,,,26.89,-44.33,,,,,-1.94,-1.49,,-0.56,,181.70
Salasar Techno,540642,SALASAR,Steel - Medium / Small,18.41,26.53,13.03,21.32,9.73,20.25,20.25,17.78,15.26,23.33,11.15,18.21,18.56,17.34,6.00,9.08,10.80,16.49,24.60,-16.18,35.28,27.57,75.03,58.01,3119.15
Salem Erode Inv.,540181,,Finance & Investments,51.90,17.67,25.00,,,5.19,11.16,17.16,21.78,-29.63,2.16,1.78,3.70,,,,,,,0.00,0.01,1.15,0.90,1.87,59.51
Salguti Industri,526554,,Packaging,41.19,2.85,0.58,,,-4.69,-3.73,0.22,-3.43,-9.53,-2.84,-6.79,-7.69,,,1.93,6.24,1.93,6.24,0.00,-0.14,-0.19,3.52,4.08,31.06
Salona Cotspin,590056,SALONA,Textiles - Cotton/Blended,304.90,46.45,40.33,-0.27,30.82,-2.77,48.40,29.03,21.12,27.07,24.66,19.61,6.19,-0.27,30.82,9.16,0.80,9.16,0.80,1.11,10.14,6.21,21.08,13.34,160.38
Salora Intl.,500370,,Trading,64.00,22.04,-1.98,18.09,9.39,-3.98,-3.98,-9.56,-8.69,18.78,,,,18.09,9.39,-3.40,-6.97,-3.40,-6.97,7.04,-6.95,-5.19,-4.50,-1.02,56.40
Salzer Electron.,517059,SALZERELEC,Electric Equipment,905.90,23.31,15.20,28.11,12.52,15.01,12.08,16.71,16.60,20.77,11.75,12.28,13.76,24.58,10.64,10.69,11.97,13.77,18.00,1.48,29.63,23.80,63.66,52.30,1574.69
Sam Industries,532005,,Construction,75.50,8.82,0.79,29.55,146.68,-0.63,-0.63,-0.51,1.97,25.86,52.53,20.76,15.91,29.55,146.68,29.14,20.29,29.14,20.29,0.00,5.28,2.62,6.95,3.93,83.72
Sambandam Spg.,521240,,Textiles - Cotton/Blended,165.50,-1.91,0.81,,,-7.67,-8.74,0.60,-1.59,-27.31,-11.47,-13.61,-10.69,,,,,,,-0.27,0.98,2.06,13.41,15.45,70.50
Sambhaav Media,511630,SAMBHAAV,Entertainment / Electronic Media Software,4.63,-1.71,-1.22,37.95,-16.19,5.28,-0.92,2.78,1.04,1.80,-3.60,-2.32,-3.21,37.95,-16.19,-17.18,-11.39,-15.27,-8.98,0.00,-0.62,1.32,1.37,4.03,88.49
Sameera Agro,,SAIFL,Food - Processing - Indian,82.60,31.51,,106.35,,31.49,31.49,,,103.34,,,,45.96,,,,,,,,,,,98.38
Samhi Hotels,543984,SAMHI,Hotels,191.20,78.06,15.25,18.43,5.90,29.63,29.63,,,89.64,23.97,,,23.45,14.60,,,,,,-325.36,,26.83,,4207.42
Samkrg Pistons,520075,,Auto Ancillaries,220.90,3.63,-2.70,-10.04,-9.73,5.33,-0.19,1.03,2.06,-4.09,-6.14,-3.27,0.93,-10.04,-9.73,-6.17,2.05,-6.17,2.05,0.00,15.62,16.73,22.95,25.41,216.93
Samor Reality,543376,,Construction,97.99,-81.61,-62.69,,,-20.61,-20.61,,,78.78,28.31,,,,,,,,,,-0.01,,0.35,,210.68
Sampann Utpadan,534598,SAMPANN,Miscellaneous,33.00,44.48,31.18,23.23,13.37,20.46,20.46,28.09,,407.23,37.35,29.22,,23.23,13.37,8.77,,8.77,,9.76,-4.17,,-2.53,,134.01
Sampre Nutrition,530617,,Food - Processing - Indian,65.90,11.32,-2.59,57.07,5.25,-13.35,-13.35,-4.05,5.10,7.68,2.65,5.05,8.45,36.96,-3.05,-10.59,-4.91,-5.18,-0.92,-24.42,0.28,0.33,2.24,1.94,47.90
Samrat Forgings,543229,,Castings & Forgings,311.00,11.71,10.99,9.70,23.83,14.54,18.34,12.78,,6.35,10.49,11.02,,9.70,23.83,28.99,,28.99,,0.00,2.74,1.69,9.35,7.23,155.50
Samrat Pharma,530125,,Pharmaceuticals - Indian - Bulk Drugs,345.00,16.30,20.43,-26.04,7.00,23.68,23.86,21.34,15.83,-24.97,1.18,0.15,9.99,-26.04,7.00,3.14,24.57,3.14,24.57,-0.66,9.12,5.27,13.34,8.11,106.61
Samsrita Labs,539267,,Trading,16.01,,,18.77,13.50,-51.56,-99.30,,,18.67,13.48,2.87,,18.77,13.59,5.54,,2.87,,-5.40,-0.42,-0.56,-0.42,-0.55,23.71
Samtex Fashion,521206,,Textiles - Products,2.69,,,12.01,9.30,-90.79,-100.00,,,17.80,12.45,10.40,,12.01,9.30,10.30,,10.30,,-0.13,-6.97,-40.65,-6.98,-17.85,20.04
Samvardh. Mothe.,517334,MOTHERSON,Auto Ancillaries,196.60,19.82,9.21,38.97,12.25,12.82,11.16,12.84,12.49,24.68,11.36,11.47,13.64,23.34,4.50,3.59,9.49,9.02,14.15,-1.37,1509.22,1462.09,3171.51,3172.70,133224.48
Samyak Internati,530025,,Trading,32.99,16.49,-2.72,102.30,79.53,-4.51,-4.51,-1.12,9.88,36.08,25.95,40.83,37.96,102.30,79.53,43.21,32.48,43.21,32.48,4.28,1.17,0.67,2.05,1.27,20.60
Sanathnagar Ent.,509423,,Construction,83.39,68.25,41.15,153.72,35.30,-52.08,-100.00,-37.68,-22.97,153.55,37.62,-20.64,-2.24,153.72,35.30,-5.41,4.03,-5.41,4.03,0.00,0.62,2.58,0.54,6.10,26.27
Sanblue Corp.,521222,,Trading,50.54,73.08,-14.92,41.50,24.25,12.50,12.50,-3.06,39.55,48.67,28.03,22.96,34.93,41.50,24.25,19.05,30.66,19.05,30.66,4.25,0.10,0.00,0.11,0.01,25.27
Sanchay Finvest,511563,,Finance & Investments,27.00,,50.93,30.79,,-87.23,-27.16,,,31.24,52.81,,,,,,,,,-1.33,,,,,8.51
Sanco Industries,,SANCO,Plastics Products,9.35,,,25.50,,-34.96,-100.00,,,25.64,,,,25.56,,,,,,-0.21,-8.90,-3.31,-8.50,0.38,12.24
Sanco Trans,523116,,Miscellaneous,750.00,-1.27,-1.51,-31.13,24.23,1.66,-8.78,2.52,2.81,-12.82,1.45,-4.42,-3.46,-31.13,24.23,5.90,-11.98,5.90,-11.98,0.15,2.14,1.26,5.04,4.08,135.00
Sancode Tech.,543897,,Computers - Software - Medium / Small,66.55,45.04,,,,56.41,56.41,,,,,,,-5.83,,,,,,,-0.52,,-0.70,,27.08
Sandesh,526725,SANDESH,Entertainment / Electronic Media Software,1550.30,5.61,-5.14,28.87,24.43,5.91,-5.61,-1.42,0.22,26.53,18.31,11.01,11.46,28.87,24.43,15.06,15.28,15.06,15.28,0.00,101.18,85.54,130.97,120.11,1173.59
Sandhar Tech,541163,SANDHAR,Auto Ancillaries,574.00,23.63,8.55,24.28,2.87,20.01,21.05,11.81,,23.81,7.25,13.03,,24.28,2.87,13.06,,15.72,,0.03,70.06,62.45,125.08,121.13,3454.92
Sandu Pharma.,524703,,Pharmaceuticals - Indian - Formulations,58.94,4.62,6.36,10.23,16.86,2.95,2.95,6.67,6.90,4.99,0.45,2.30,1.18,3.17,9.82,35.14,7.91,41.27,11.31,-2.14,1.28,0.87,2.00,1.98,56.94
Sandur Manganese,504918,SANDUMA,Mining / Minerals / Metals,547.55,18.81,12.26,15.53,10.57,-1.78,-5.47,16.35,15.36,11.49,11.07,22.07,19.58,15.52,9.95,22.56,19.68,23.05,20.02,1.00,294.67,177.63,422.62,262.43,8872.22
Sangal Papers,516096,,Paper,220.00,21.65,5.16,56.05,-16.95,1.19,-15.29,8.98,6.70,27.04,-5.81,4.38,1.07,56.05,-16.95,5.31,3.63,5.31,3.63,0.01,1.98,2.36,4.63,5.22,28.82
Sangam Finserv,538714,,Finance & Investments,107.00,-5.29,-10.90,10.03,-3.27,12.55,1.16,5.58,70.40,-11.30,-14.93,2.72,80.09,10.03,-3.27,8.83,74.60,8.83,74.60,0.00,7.38,5.83,16.59,15.24,99.75
Sangam India,514234,SANGAMIND,Textiles - Spinning - Synthetic / Blended,411.65,25.07,7.16,83.48,24.36,2.50,-2.48,7.52,6.34,18.33,5.18,1.33,0.77,81.25,21.09,-5.27,-0.85,-3.44,0.48,11.01,72.08,58.84,148.81,134.71,2068.39
Sangani Hospital,,SANGANI,Healthcare,46.90,,,,,0.06,0.06,,,,,,,,,,,,,,,,,,64.61
Sanghi Industrie,526521,SANGHIIND,Cement - North India,98.51,-4.37,-4.99,,,-0.66,-11.53,-2.74,-2.47,,,,,,,,,,,8.19,-120.89,-27.09,40.41,76.14,2544.77
Sanghvi Brands,540782,,Miscellaneous,20.00,37.27,-21.89,27.79,18.71,18.71,9.74,-14.08,,28.62,35.65,-1.17,,27.79,18.71,-16.68,,22.61,,0.00,-3.31,-2.09,-3.01,-1.82,20.83
Sanghvi Movers,530073,SANGHVIMOV,Miscellaneous,1067.55,40.35,16.98,89.10,36.25,23.64,35.71,1.61,9.73,60.27,35.23,1.37,11.18,89.10,36.25,8.45,31.08,8.45,31.08,0.00,52.36,34.23,93.82,88.95,4622.44
Sanginita Chemi.,,SANGINITA,Chemicals,18.64,-2.68,-4.18,0.44,-27.86,2.17,2.00,-0.30,2.44,1.32,-13.97,-1.92,-1.52,0.44,-27.86,-5.21,-8.81,-5.21,-1.76,-13.27,1.13,1.62,4.13,4.97,48.28
Sanjiv.Parant.,531569,,Pharmaceuticals - Indian - Formulations,206.50,29.44,16.74,63.18,37.87,-13.32,31.27,7.63,-10.14,53.91,66.87,13.30,-3.17,46.75,28.51,11.27,6.96,12.08,14.52,3.04,3.05,-8.45,3.72,-6.03,241.28
Sanmit Infra,532435,,Trading,14.98,4.13,-4.28,35.17,46.17,-4.45,-4.45,0.15,124.28,43.38,56.85,72.31,68.31,19.69,33.39,45.80,47.48,55.87,54.30,12.18,3.79,1.51,5.35,2.32,236.70
Sanofi India,500674,SANOFI,Pharmaceuticals - Multinational,6537.55,-0.59,0.57,5.13,9.12,3.93,1.88,2.70,4.66,2.56,3.99,5.41,6.66,5.13,9.12,9.95,9.06,9.95,9.06,0.00,531.61,413.36,742.44,602.87,15055.98
Sanrhea Tech.,514280,,Textiles - Processing,178.80,20.42,8.18,37.97,35.94,13.55,8.66,14.49,9.45,23.99,20.20,17.46,20.00,25.80,28.61,20.01,22.60,29.10,27.61,9.40,2.63,1.44,4.70,3.15,89.40
Sansera Enginee.,543358,SANSERA,Auto Ancillaries,1302.00,21.97,11.60,19.95,12.25,17.56,17.56,,,17.59,9.37,,,14.75,9.30,,,,,,129.89,,235.17,,7016.31
Santosh Fin Fab,530035,,Textiles - Processing,22.00,20.35,-11.24,4.86,,-11.59,-14.35,-9.64,-8.67,13.92,,,,4.86,,,,,,0.00,-0.52,-0.20,-0.19,0.24,7.75
Sanwaria Consum.,519260,SANWARIA,Food - Processing - Indian,0.49,35.51,-81.76,7.20,,-99.98,-99.98,,,2.38,,,,7.20,,,,,,-1.39,-249.06,,-236.97,,36.07
Sapphire Foods,543397,SAPPHIRE,Hotels,1578.55,36.52,16.79,36.31,25.96,14.51,14.51,,,38.32,59.05,,,34.65,22.80,,,,,,33.97,,96.04,,10064.29
Saptak Chem &,506906,,Trading,2.84,,,-20.63,,-78.95,-100.00,,,,,,5.76,-20.63,,7.88,5.76,,5.76,-2.76,-0.01,-0.02,-0.01,-0.02,3.05
Saptarishi Agro,519238,,Food - Processing - Indian,31.99,4.88,1.26,73.59,132.54,-1.71,-1.71,144.00,82.59,85.94,60.95,90.19,30.98,73.59,132.54,34.59,17.16,34.59,17.16,0.00,0.73,0.19,0.86,0.26,108.84
Sar Auto Prod.,538992,,Auto Ancillaries,2200.00,47.22,15.36,40.71,29.60,34.09,8.62,21.73,25.55,17.44,9.13,10.02,14.75,40.71,29.60,21.46,23.65,21.46,23.65,-3.31,0.68,0.12,0.92,0.24,1048.24
Sar Televenture,,SARTELE,Transmisson Line Towers / Equipment,241.00,414.75,,706.20,,419.78,419.78,,,443.50,,,,50.51,,,,,,,,,,,361.51
Saraswati Commer,512020,,Finance & Investments,7880.00,66.05,69.40,69.49,73.18,-43.66,209.70,42.51,19.22,67.95,75.35,48.10,61.14,67.89,72.20,,,53.31,119.51,-1.41,38.44,24.04,48.83,30.45,811.59
Sarda Energy,504614,SARDAEN,Steel - Medium / Small,232.80,20.72,10.73,11.97,21.18,6.91,7.61,15.23,9.29,14.83,14.65,19.66,10.36,12.82,21.73,26.68,19.90,26.28,19.69,0.14,486.58,308.99,764.27,533.36,8203.42
Sarda Proteins,519242,,Trading,88.80,-51.45,-29.03,44.22,16.47,-8.58,-25.21,-19.97,-6.22,-30.66,16.89,11.31,7.97,44.22,16.47,11.58,8.77,11.58,8.04,0.00,0.06,-0.06,0.12,-0.04,15.33
Saregama India,532163,SAREGAMA,Entertainment / Electronic Media Software,559.50,22.02,8.07,20.63,29.57,9.01,9.01,20.43,16.29,24.44,26.82,45.28,27.09,16.53,26.91,54.67,26.52,56.98,27.84,0.04,136.03,78.89,191.22,113.45,10798.89
Sarla Performanc,526885,SARLAPOLY,Textiles - Spinning - Synthetic / Blended,108.55,14.13,3.40,7.66,5.26,-4.03,-4.12,2.53,3.88,2.36,2.54,-0.49,3.65,7.66,5.26,-0.56,0.02,-0.56,1.87,1.50,31.24,30.75,49.66,50.59,906.36
Saroja Pharma In,,SAROJA,Trading,42.50,3.68,,6.43,,-9.78,-9.78,,,25.54,,,,-85.58,,,,,,,,,,,17.09
Sarthak Global,530993,,Finance & Investments,15.08,-39.87,-36.73,-26.32,-16.74,-8.24,-39.38,37.41,20.51,-9.96,5.64,58.38,11.72,-26.32,-16.74,0.00,-8.76,0.00,-8.76,0.00,-0.78,-0.36,0.26,0.32,4.52
Sarthak Industri,531930,,Trading,24.78,-38.92,-22.94,-31.22,3.23,-14.65,-14.65,-21.19,-12.59,-23.04,-12.43,-0.21,9.11,-31.20,3.25,26.18,7.60,26.17,7.60,-0.09,1.10,0.71,2.54,2.40,23.02
Sarthak Metals,540393,SMLT,Mining / Minerals / Metals,200.40,11.24,10.03,20.07,18.98,3.52,3.52,10.45,7.59,10.32,9.86,10.47,10.19,20.07,18.98,19.87,16.78,19.87,18.24,-0.54,16.41,10.30,24.63,17.10,274.33
Sarup Industries,514412,,Leather / Leather Products,42.77,5.19,-10.06,17.18,12.65,-11.60,5.09,-18.79,-15.09,77.46,17.34,-16.53,-12.84,17.18,12.65,,,,,0.00,-3.25,-2.86,-0.75,-0.51,13.90
Sarveshwar Foods,543688,SARVESHWAR,Food - Processing - Indian,8.76,19.14,8.95,57.62,-1.53,17.57,14.00,11.04,,43.68,9.64,6.94,,43.39,-6.96,-4.47,,3.91,,-18.76,7.58,9.88,34.66,34.21,857.45
Sarvottam Finve.,539124,,Finance & Investments,27.44,-3.71,-2.62,114.24,33.49,-22.44,-5.18,-12.28,-2.59,142.44,30.71,19.60,28.47,114.24,33.49,26.63,27.94,26.63,27.94,0.00,-0.21,-0.10,-0.20,-0.08,20.58
Sashwat Technoc,506313,,Construction,175.05,,,18.56,35.10,-100.00,-100.00,,,18.56,35.10,23.97,,18.56,35.10,23.97,18.22,23.97,18.22,0.00,-0.02,-0.02,-0.01,-0.02,5.43
