Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.00,12.79,12.94,0.00,142.79,19.79,2.99,204.84,62.86,0.00,32.55,29.04,1.86,0.00,163.44,37.86,0.00,0.00,0.00,204.84,136.87,0.00,32.98,53.80,10.00,72.49,9.17,19.23,1.29,22.78,36.99,30.31,62.86,0.00,24.68,,,,29.93,,,,28.80,,,597.62
Accord Synergy,,ACCORD,Telecommunications - Service Provider,28.30,0.00,3.47,0.00,11.34,0.00,0.00,17.54,4.86,0.00,3.56,0.94,0.00,3.62,16.02,2.45,0.00,0.00,0.00,17.54,13.57,0.00,1.40,7.84,10.00,0.03,0.00,0.95,0.35,0.00,9.76,1.30,4.86,0.00,16.47,23.47,12.26,,2.95,9.57,8.42,,2.29,3.33,2.66,9.83
Accuracy Shippi.,,ACCURACY,Miscellaneous,13.54,109.29,15.06,0.00,101.08,104.93,4.04,278.31,156.39,0.00,82.67,70.01,0.00,0.00,205.46,127.79,0.00,0.00,0.00,278.31,159.80,0.00,17.63,115.45,1.00,11.93,11.52,38.20,15.06,108.97,157.28,73.73,156.39,0.00,116.43,62.30,,,90.19,67.21,,,55.40,59.67,,203.85
ACE EduTremd Ltd,530093,,Miscellaneous,3.20,0.00,9.16,0.00,-0.40,0.00,0.00,12.59,25.39,0.00,23.14,0.97,0.00,0.00,5.55,3.83,0.00,0.00,0.00,12.59,1.72,0.00,0.00,5.48,10.00,0.02,0.00,2.20,0.92,0.00,1.47,1.02,25.39,0.00,1.47,0.85,-1.52,-3.67,0.00,0.00,0.00,0.00,1.39,2.37,4.63,2.93
Ace Engitech,530669,,Computers - Software - Medium / Small,21.56,0.00,3.30,0.00,-2.74,0.00,0.00,0.89,0.15,0.00,0.13,0.01,0.00,0.29,0.57,0.33,0.00,0.00,0.00,0.89,0.24,0.00,0.00,0.20,10.00,0.10,0.00,0.00,0.33,0.00,0.00,0.02,0.15,0.14,0.18,-0.01,0.08,0.17,0.00,0.00,0.00,0.00,0.03,0.04,0.03,7.12
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,34.19,0.20,10.20,0.00,8.83,0.25,0.00,20.44,2.33,0.00,0.33,1.94,0.00,0.89,13.61,1.11,0.00,0.00,0.00,20.44,12.56,0.00,0.72,4.60,10.00,3.22,0.00,0.76,1.02,0.25,13.03,2.00,2.33,0.00,7.38,4.61,8.12,-1.87,0.42,1.10,8.07,0.22,2.17,2.54,2.21,34.87
Ace Men,539661,,Trading,46.00,0.00,3.10,0.00,0.77,0.00,0.00,4.57,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.71,0.00,0.00,0.00,4.57,-0.68,0.00,0.00,0.00,10.00,0.03,0.00,0.00,0.31,0.00,-2.81,0.00,0.00,0.00,-0.27,0.05,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.24
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,243.75,1.90,6.40,0.00,23.68,0.00,0.00,39.52,11.93,0.00,6.69,10.30,0.00,12.58,14.78,4.76,0.00,5.36,0.00,39.52,11.92,0.00,1.25,1.28,10.00,5.07,0.00,0.62,0.47,0.00,6.21,4.52,11.93,0.00,5.68,5.33,3.64,6.29,1.91,0.35,0.00,0.05,9.00,8.92,4.53,156.00
Achyut Healthcar,543499,,Trading,56.70,0.00,9.35,0.00,13.93,0.00,0.00,30.95,0.06,0.00,0.01,0.06,9.16,0.00,21.47,0.20,0.00,0.00,0.00,30.95,21.27,0.00,0.06,0.41,10.00,0.37,0.31,0.14,1.40,0.00,9.53,0.05,0.06,3.49,0.18,0.18,,,0.00,0.00,,,0.00,0.00,,95.40
ACI Infocom,517356,,Computers - Software - Medium / Small,2.44,0.00,11.05,0.00,5.85,0.00,0.00,16.98,0.02,0.00,0.00,0.02,0.00,9.42,7.03,0.08,0.20,0.00,0.07,16.98,6.95,0.00,0.00,0.00,1.00,0.02,0.27,0.04,11.05,0.00,10.67,0.02,0.02,0.00,7.50,10.34,11.66,10.31,0.00,0.00,0.00,0.00,0.02,0.02,0.02,26.96
Acknit Indus.,530043,,Textiles - Products,312.00,58.56,3.04,0.00,75.77,42.90,0.09,155.60,55.51,0.00,18.41,34.72,3.56,0.00,113.98,74.30,0.00,0.00,2.18,155.60,98.08,0.00,70.51,33.69,10.00,0.80,2.14,12.24,0.30,42.99,75.88,37.09,55.51,0.04,64.61,74.95,65.90,49.97,45.25,58.56,57.02,44.35,31.52,26.86,23.83,94.84
Acme Resources,539391,,Finance & Investments,33.10,11.74,25.74,0.00,101.54,0.00,11.31,144.33,0.19,0.00,0.13,0.05,0.00,30.07,19.14,1.07,0.01,0.00,0.00,144.33,18.07,0.00,6.82,0.00,10.00,0.28,3.32,0.39,2.57,11.31,17.12,0.06,0.19,0.00,27.52,38.28,47.76,27.07,4.93,17.68,61.69,50.43,0.07,1.34,0.79,85.21
Acrow India,513149,,Diversified - Medium / Small,760.00,0.00,0.64,0.00,22.64,0.00,0.00,23.81,8.49,0.00,4.62,3.53,0.00,0.00,19.00,0.53,0.00,0.00,0.21,23.81,18.47,0.00,0.00,0.00,10.00,0.01,0.00,0.07,0.06,0.00,18.08,3.86,8.49,0.00,8.24,7.66,14.75,5.95,0.00,0.05,0.53,1.53,4.02,4.51,5.21,48.64
Action Const.Eq.,532762,ACE,Engineering,1460.60,4.46,23.82,0.00,1206.02,6.20,1.25,2169.21,639.70,0.00,152.25,579.56,43.64,594.11,1272.77,924.57,0.00,275.19,44.04,2169.21,352.44,0.58,553.40,164.31,2.00,110.41,106.08,687.95,11.91,7.45,43.46,487.45,639.70,24.41,106.24,32.79,16.22,107.31,54.58,53.24,113.65,149.61,429.33,340.55,346.25,17393.32
Active Clothing,541144,,Textiles - Products,100.89,85.89,15.51,0.00,53.69,27.24,51.75,220.13,80.74,0.00,47.38,57.54,0.00,0.00,159.96,118.34,0.00,0.00,0.27,220.13,99.41,0.00,72.68,74.70,10.00,0.31,0.00,45.20,1.55,78.99,87.97,33.36,80.74,11.96,80.38,79.52,48.59,,57.82,65.30,67.65,,34.07,41.21,41.86,156.50
AD Manum Finance,511359,,Finance & Investments,79.39,7.50,7.50,0.00,63.36,0.00,7.19,79.29,6.80,0.00,6.40,0.36,0.00,5.46,2.73,0.47,0.31,0.00,0.04,79.29,2.26,0.00,0.00,1.99,10.00,0.56,0.00,0.00,0.75,7.19,2.39,0.40,6.80,0.00,12.02,68.02,72.83,102.99,11.54,24.31,32.34,63.37,2.05,2.51,3.24,59.54
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1002.40,37069.65,1115.49,0.00,11526.06,33489.59,3580.06,58538.38,48780.58,0.00,9860.84,38919.74,3002.69,766.48,7604.07,7962.85,34.56,360.19,2367.56,58538.38,3105.76,60.78,255.28,1564.95,10.00,2228.14,196.34,1722.11,111.55,34270.03,1756.90,32645.14,40733.21,6200.44,1165.37,-1170.58,319.08,0.05,27094.96,20136.99,8974.81,0.00,26986.60,24412.00,9853.23,111816.96
Adani Enterp.,512599,ADANIENT,Trading,3175.95,65310.15,114.00,0.00,38962.09,34822.34,30487.81,160586.24,74560.05,0.00,8581.75,65978.30,35179.50,8700.69,35071.67,44058.11,0.00,0.00,5745.02,160586.24,-1314.13,15186.27,9486.86,9792.93,1.00,7068.48,0.00,24669.26,114.00,53200.46,-920.44,56881.13,62377.83,24025.21,4991.36,7575.04,10514.84,5436.75,16227.06,11243.20,20845.72,71979.92,10837.61,9020.11,13667.98,362058.66
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1781.80,64858.00,1584.00,0.00,5912.00,58556.00,6302.00,88086.00,69064.00,0.00,6780.00,62284.00,6427.00,1515.00,12285.00,26388.00,0.00,0.00,98.00,88086.00,8583.00,1798.00,291.00,1342.00,10.00,8764.00,0.00,354.00,158.40,54223.00,2569.00,48336.00,53261.00,5291.00,1694.00,76.33,522.71,,24209.00,11142.49,4346.57,,16429.00,10388.35,4341.14,282242.93
Adani Ports,532921,ADANIPORTS,Miscellaneous,1482.90,49166.66,432.03,303.58,52346.21,10775.31,38391.35,116999.20,93005.64,0.00,17857.83,75147.81,10936.09,4288.66,16810.57,16462.94,0.00,0.00,835.73,116999.20,9035.13,3024.48,437.51,3666.94,2.00,7631.88,885.36,2167.36,216.01,53141.96,5183.89,72223.73,86930.34,6636.77,5505.17,10311.51,7704.60,3144.93,35582.97,27445.72,22214.26,12976.10,48290.96,28121.42,21053.50,320326.99
Adani Power,533096,ADANIPOWER,Power Generation And Supply,719.10,34431.07,3856.94,184.49,39288.09,34272.37,158.70,92008.97,90709.26,0.00,27693.41,63015.85,925.12,373.51,25213.08,15788.67,0.00,0.00,1675.54,92008.97,17301.85,158.70,4142.10,11677.48,10.00,7211.76,4.89,3636.30,385.69,42180.58,9755.48,51451.38,75329.46,12879.54,11357.02,2109.35,285.11,-4652.78,52430.34,46979.70,52484.37,44150.23,52851.30,50418.76,54390.93,277352.48
Adani Total Gas,542066,ATGL,Miscellaneous,889.15,1557.25,109.98,0.00,3470.34,1471.49,85.76,6591.86,3874.98,0.00,700.96,3174.02,1502.38,706.12,1032.24,1810.51,0.00,0.00,104.87,6591.86,-181.17,85.76,99.17,409.92,1.00,456.11,14.05,342.26,109.98,1422.09,-225.89,2334.75,2878.43,1618.76,-401.21,181.72,,,529.07,393.92,,,1379.30,980.18,,97789.62
Adani Wilmar,543458,AWL,Solvent Extraction,333.85,2627.50,129.97,0.00,8186.02,2415.39,212.11,19776.51,6848.80,0.00,1918.53,4930.27,869.53,311.59,12717.80,10410.75,0.00,0.00,161.26,19776.51,4786.01,212.11,7203.80,1782.91,1.00,2809.58,69.49,6999.45,129.97,2396.27,5072.45,4793.35,6405.18,323.96,2288.20,484.21,,,3050.83,1829.46,,,3702.50,3027.38,,43389.78
Adarsh Plant,526711,,Packaging,35.98,4.52,9.91,0.00,-8.45,2.07,2.95,8.93,0.84,0.00,0.31,0.48,0.06,0.00,8.15,4.78,0.00,0.00,0.00,8.93,5.21,0.00,4.14,3.33,10.00,0.23,0.00,2.77,0.99,5.02,5.22,0.53,0.84,0.06,6.23,5.40,6.28,2.45,6.20,5.57,4.38,3.64,0.37,0.42,0.42,35.65
ADC India,523411,,Telecommunications - Equipment,2090.00,0.00,4.60,0.00,66.25,0.00,0.00,103.71,4.82,0.00,1.82,2.79,0.00,0.00,96.52,32.42,0.00,0.00,3.13,103.71,64.10,0.00,21.80,28.07,10.00,44.77,0.00,30.05,0.46,0.00,43.60,3.00,4.82,0.00,35.76,30.23,36.63,41.10,0.00,0.00,0.00,0.00,3.26,3.77,3.88,961.40
Adcon Capital,539506,,Finance & Investments,0.86,0.00,31.70,0.00,1.30,0.00,0.00,33.54,0.01,0.00,0.01,0.00,0.00,1.31,33.37,0.54,0.00,0.00,0.00,33.54,32.83,0.00,0.00,0.42,1.00,0.07,0.00,0.00,33.14,0.00,1.01,0.00,0.01,0.00,0.10,2.88,1.18,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.05
Add-Shop E-Reta.,541865,,Trading,15.58,12.77,28.31,0.00,81.72,0.98,0.00,125.95,8.13,0.00,1.64,6.10,0.00,0.00,113.73,15.06,0.00,0.00,0.00,125.95,110.87,0.00,25.79,85.86,10.00,1.15,0.00,1.72,2.83,0.98,100.71,6.49,8.13,0.00,23.29,9.57,0.21,,7.66,2.63,0.30,,4.72,3.38,0.24,44.11
Addi Industries,507852,,Textiles - Products,50.07,0.07,5.40,0.00,71.98,0.00,0.11,78.03,5.12,0.00,0.39,4.59,0.00,3.75,60.69,0.24,0.00,3.08,0.77,78.03,60.46,0.07,0.00,0.00,5.00,57.42,0.00,0.10,1.08,0.11,64.42,4.73,5.12,0.00,0.14,5.55,,3.78,0.00,0.00,,0.00,5.94,2.55,,54.06
Addictive Learn,,LAWSIKHO,Miscellaneous,307.30,0.00,0.00,0.10,51.75,0.16,0.00,78.62,0.41,0.00,0.19,19.17,0.00,0.00,51.84,10.07,0.00,0.00,0.00,78.62,41.77,0.00,0.00,0.47,10.00,49.51,5.18,0.99,0.00,0.16,1.92,0.22,0.41,0.00,-0.20,,,,0.00,,,,0.06,,,488.91
Adeshwar Meditex,543309,,Healthcare,27.00,13.89,14.43,0.00,20.48,14.52,1.91,64.04,9.71,0.00,6.01,3.53,0.00,0.10,57.12,27.73,0.00,0.00,0.00,64.04,42.22,0.00,26.53,25.27,10.00,1.16,0.12,14.53,1.44,16.43,40.42,3.70,9.71,0.00,36.26,31.82,,,22.45,19.92,,,2.24,2.44,,38.96
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,242.25,7.16,22.35,0.00,418.79,0.00,55.25,556.05,234.23,0.00,59.32,182.32,5.11,76.73,350.50,52.57,0.00,79.99,9.67,556.05,305.09,7.16,53.02,108.46,2.00,67.78,0.57,23.93,10.99,55.25,212.55,174.91,234.23,6.72,177.56,92.63,72.08,60.18,0.62,0.00,4.79,27.83,77.23,68.98,81.44,2661.44
Adhbhut Infra.,539189,,Construction,29.07,2.86,11.00,6.23,-17.13,0.00,0.00,32.40,42.96,0.00,13.32,28.60,0.00,0.00,3.79,1.07,0.00,0.00,0.00,32.40,2.72,0.00,0.00,2.95,10.00,0.44,0.00,0.00,1.10,0.00,1.33,29.64,42.96,0.00,-35.04,-29.22,-26.87,-19.46,0.00,0.00,1.52,0.00,42.91,42.91,40.59,31.98
Adinath Exim Res,532056,,Finance & Investments,23.88,0.00,4.77,0.00,14.71,0.00,0.00,20.35,0.20,0.00,0.18,0.01,0.00,7.62,0.09,0.01,0.00,0.00,0.02,20.35,0.08,0.00,0.00,0.00,10.00,0.02,0.00,0.00,0.43,0.00,0.22,0.01,0.20,0.00,0.41,0.08,0.07,0.09,0.00,0.00,0.00,0.00,0.01,0.01,0.01,10.31
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,25.92,0.01,6.99,0.00,-4.10,0.00,0.00,4.16,4.84,0.00,4.17,0.61,0.00,2.53,1.62,1.02,0.00,1.80,0.00,4.16,0.60,0.00,0.01,0.25,10.00,0.21,0.00,0.00,0.68,0.00,-0.50,0.66,4.84,0.00,-0.14,-0.70,0.02,0.76,0.45,0.60,0.80,1.70,0.85,1.56,1.66,17.66
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,164.80,1398.63,5.65,0.00,157.06,0.00,899.66,2116.11,59.31,0.00,28.27,36.26,0.00,429.97,1012.89,540.98,0.00,0.00,15.51,2116.11,471.91,24.00,0.00,60.66,1.00,889.51,0.00,23.80,5.65,899.66,283.82,31.04,59.31,0.61,411.83,124.00,58.27,17.09,396.57,417.42,34.71,9.87,23.58,6.98,7.04,931.27
Aditya AMC,543374,ABSLAMC,Finance & Investments,647.50,79.09,144.05,0.00,3024.83,0.00,48.03,3501.85,145.50,0.00,75.28,112.14,0.62,3122.17,157.26,171.96,2359.17,0.00,225.45,3501.85,-14.70,79.09,0.00,40.73,5.00,84.82,0.00,57.62,28.80,48.03,168.31,70.22,145.50,2.08,-26.80,64.39,-22.79,,59.31,71.87,0.00,,77.08,94.63,18.49,18654.44
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,318.20,9451.40,1015.01,0.01,3018.77,872.56,5700.29,22411.06,12136.54,0.00,3777.15,11866.55,171.07,984.83,8692.21,8601.46,0.00,182.43,70.52,22411.06,2942.93,5246.22,4505.34,1278.81,10.00,462.39,67.28,4135.66,94.88,6572.85,1619.12,8359.39,12136.54,203.70,364.83,-234.25,,,3599.27,1702.35,,,5626.90,2555.48,,32332.35
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,239.90,110139.34,2600.02,0.00,24217.24,72687.43,12050.07,232101.83,2108.22,0.00,829.48,1736.91,9.65,63533.72,42600.33,92560.03,80392.75,0.00,2636.65,232101.83,-49959.70,599.24,0.00,698.14,10.00,3579.01,0.00,1413.08,241.80,84737.50,-68650.52,1278.74,2108.22,44.04,-50537.39,-39555.66,8227.50,,53043.73,56324.17,33215.10,,1258.80,892.02,777.77,62423.85
Aditya Consumer,540146,,Trading,83.50,6.30,14.63,0.00,9.89,1.64,8.10,39.97,34.30,0.00,14.67,14.01,0.00,0.00,25.96,14.88,0.00,0.00,0.00,39.97,17.38,0.00,13.08,0.61,10.00,9.35,0.00,7.45,1.46,9.74,19.04,19.62,34.30,0.00,14.17,17.26,14.02,8.29,11.78,7.49,7.13,6.74,17.68,16.59,12.30,122.19
Aditya Ispat,513513,,Steel - Medium / Small,10.50,33.48,5.35,0.00,3.20,17.68,18.66,45.75,30.56,0.00,5.99,23.07,0.00,0.00,22.29,22.91,0.00,0.00,0.02,45.75,19.01,0.00,8.71,12.73,10.00,0.16,0.10,2.28,0.54,36.34,23.07,24.56,30.56,0.00,14.98,15.96,16.09,13.48,27.27,17.23,13.17,10.58,9.71,5.95,5.66,5.61
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,20.20,15.86,16.74,0.00,32.22,15.35,0.51,70.14,115.76,0.00,59.09,56.67,0.00,0.00,9.36,10.86,0.00,0.00,0.00,70.14,6.05,0.00,6.03,1.70,10.00,0.14,0.21,0.86,1.67,21.04,8.22,58.68,114.92,0.00,4.73,6.11,5.67,5.83,20.58,18.16,17.70,6.53,35.92,26.56,25.20,33.82
Aditya Vision,540205,,Trading,4513.95,318.64,12.81,0.00,473.90,65.17,352.73,875.38,197.91,0.00,14.98,244.14,8.91,0.00,586.21,209.68,0.00,0.00,0.00,875.38,516.18,193.37,433.14,0.39,10.00,96.16,2.45,61.95,1.20,417.90,298.56,182.94,197.91,8.05,113.80,39.38,44.17,14.30,197.74,27.91,35.04,9.12,130.05,15.44,9.15,5807.77
Adjia Tech,543269,,Computers - Software - Medium / Small,45.49,0.05,0.88,0.00,1.33,0.05,0.00,2.34,1.22,0.00,0.38,1.21,0.00,0.00,1.09,0.12,0.00,0.00,0.00,2.34,1.02,0.00,0.00,0.32,,0.08,0.01,0.01,0.09,0.05,0.75,0.84,1.22,0.57,1.16,0.00,0.00,,0.05,0.06,0.06,,0.70,0.00,0.00,4.00
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations,13.12,1.48,5.85,0.00,-7.56,0.00,1.33,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,1.50,0.00,0.00,0.00,0.04,0.02,0.00,0.00,0.00,10.00,0.04,0.00,0.00,0.58,1.33,0.05,0.00,0.00,0.00,1.18,0.65,4.53,4.38,2.50,5.35,9.94,6.69,3.64,11.99,12.68,7.68
Ador Fontech,530431,,Electrodes - Welding Equipment,144.00,0.00,7.00,0.00,125.25,0.00,0.10,158.47,62.07,0.00,32.72,27.25,0.00,15.90,125.43,25.94,0.00,0.00,9.55,158.47,99.49,0.00,22.76,30.66,2.00,45.83,0.00,16.43,3.50,0.10,79.11,29.35,62.07,0.00,60.06,67.97,60.10,58.90,1.91,3.01,0.00,1.88,27.69,18.74,21.59,504.01
Ador Multi Prod.,523120,,Personal Care - Indian,34.45,0.00,4.67,0.00,6.36,0.00,0.06,8.11,10.98,0.00,2.82,3.33,0.00,0.61,4.17,2.65,0.00,0.07,0.00,8.11,1.52,0.00,1.77,0.19,10.00,0.07,0.10,1.36,0.47,0.06,-0.25,8.17,10.98,0.00,2.02,0.95,-0.95,,2.58,0.59,2.57,,7.69,2.20,5.34,16.10
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1405.05,44.01,13.60,0.00,348.78,15.73,1.55,520.61,301.93,0.00,178.79,127.62,25.37,23.25,322.56,149.01,0.00,2.87,48.88,520.61,216.24,1.50,122.38,150.45,10.00,2.74,2.40,69.94,1.36,17.28,161.60,123.14,301.93,1.92,97.57,185.89,133.99,69.19,29.19,64.99,35.47,1.40,116.42,114.68,101.09,1910.87
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,18.42,3.45,29.79,0.00,5.55,2.32,1.13,47.92,27.50,0.00,6.48,20.39,0.00,0.00,16.59,6.39,0.00,0.00,0.00,47.92,12.54,0.44,0.00,14.11,10.00,1.66,0.00,0.73,5.07,3.45,7.38,21.01,27.50,0.00,1.73,25.15,34.41,13.37,1.29,3.73,1.03,0.00,0.28,12.23,3.52,39.92
Advait Infratech,543230,,Construction,1700.00,59.16,10.20,0.00,63.24,8.93,6.29,199.14,39.12,0.00,10.62,41.53,1.07,1.16,136.93,106.10,0.00,0.00,0.00,199.14,80.91,3.90,19.95,43.09,10.00,42.97,2.71,48.46,1.02,15.22,25.73,28.51,39.12,1.06,21.72,9.63,,,7.53,5.95,,,15.32,18.77,,1735.31
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,45.99,40.29,6.23,0.00,20.18,0.00,43.20,70.19,3.33,0.00,0.18,0.02,0.00,0.25,27.42,10.77,0.00,0.00,0.00,70.19,24.49,0.00,0.14,0.00,10.00,0.03,0.00,0.00,0.62,43.20,-2.41,3.16,3.33,0.00,2.00,1.93,19.90,26.48,43.93,40.20,58.01,73.88,2.84,2.85,0.04,28.63
Advance Meter.,534612,,Electric Equipment,38.20,12.79,8.03,0.00,91.15,4.31,6.29,118.26,89.19,0.00,26.09,60.65,0.00,26.63,55.67,13.12,0.00,4.07,3.43,118.26,49.90,4.10,6.15,5.84,5.00,15.16,0.48,3.84,1.61,10.60,42.33,63.10,89.19,0.00,64.24,23.08,24.81,7.95,85.79,82.88,56.80,42.78,114.87,118.95,99.93,61.34
Advance Petroch.,506947,,Chemicals,288.00,8.97,0.90,0.00,2.84,5.25,1.93,22.66,9.21,0.10,4.21,5.76,0.00,0.36,16.32,15.59,0.00,0.00,0.00,22.66,6.72,0.00,6.19,9.02,10.00,0.64,0.00,9.14,0.09,7.18,5.02,5.00,9.21,0.43,6.18,5.74,3.88,2.59,7.36,6.38,5.01,3.40,2.65,1.81,1.79,25.92
Advance Syntex,539982,,Textiles - Spinning - Synthetic / Blended,7.30,32.75,11.10,0.00,-5.10,31.20,4.01,41.33,5.86,0.00,2.64,2.68,0.00,0.00,35.71,23.69,0.00,0.00,0.00,41.33,33.20,0.00,21.82,13.67,10.00,0.07,0.00,0.96,1.11,35.21,41.29,3.22,5.86,0.00,42.45,38.68,27.27,12.07,35.94,32.25,25.26,13.12,9.92,12.41,9.12,8.10
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,378.50,47.31,22.37,0.00,1301.76,13.24,20.26,1535.46,867.77,0.00,218.71,660.11,30.74,403.05,809.74,106.36,0.00,0.00,5.43,1535.46,727.87,22.20,148.46,98.57,2.00,143.50,6.86,15.76,11.18,33.50,296.11,649.06,867.77,21.50,341.31,127.31,103.00,6.24,27.96,35.03,54.06,166.87,604.18,495.46,421.36,4232.57
Advani Hotels.,523269,ADVANIHOTR,Hotels,70.83,1.58,18.49,0.00,53.40,0.80,1.29,99.97,63.50,0.00,20.40,44.49,0.00,19.42,54.69,21.36,0.00,0.00,12.30,99.97,34.79,0.76,1.40,0.73,2.00,29.05,8.37,3.51,9.24,2.09,-7.34,43.09,63.50,0.00,-8.64,-5.26,-1.57,-7.52,1.07,1.69,0.75,17.99,44.42,48.67,50.29,654.73
Advik Capital,539773,,Finance & Investments,2.58,78.67,42.82,0.00,69.82,0.13,74.99,204.18,3.77,0.00,2.00,2.65,0.00,13.43,18.83,9.87,14.33,0.00,1.43,204.18,8.96,0.00,14.28,0.05,1.00,1.09,0.00,0.00,42.82,75.12,3.47,1.77,3.77,0.00,4.92,8.87,9.87,6.11,2.83,0.99,3.72,0.07,2.20,2.26,2.62,110.47
Aegis Logistics,500003,AEGISLOG,Trading,876.25,2665.43,35.10,0.00,3859.25,1103.99,1561.44,7929.18,4758.14,0.00,618.87,4139.27,697.15,193.99,2655.66,1043.19,0.00,0.00,184.12,7929.18,1926.60,1002.20,63.58,513.38,1.00,1774.63,41.91,435.13,35.10,1923.89,1513.37,3661.16,4145.14,411.66,429.43,89.04,-46.10,72.79,734.21,238.75,286.46,240.96,1710.72,1328.75,748.31,30756.39
Aeonx Digital,524594,,Trading,135.00,0.96,4.60,0.00,43.21,0.00,0.20,58.58,15.61,0.00,2.25,2.30,0.00,5.03,55.44,9.79,1.25,0.00,9.01,58.58,45.81,0.96,0.00,10.36,10.00,11.02,0.01,6.97,0.46,0.20,26.63,13.36,15.61,0.02,28.37,38.63,41.60,,3.27,8.40,11.64,,13.69,14.58,15.07,62.10
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,162.50,0.12,25.86,0.00,267.39,0.12,0.00,374.85,160.80,0.00,77.83,82.97,5.42,0.19,279.76,80.81,0.00,0.00,0.00,374.85,199.01,0.00,58.94,94.65,2.00,105.49,5.55,54.92,11.43,45.01,100.73,56.32,127.99,0.64,66.48,75.42,,,53.07,72.97,,,43.26,46.81,,2101.48
Aerpace Indus,534733,,Trading,30.91,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,422.46
Aether Industri.,543534,AETHER,Chemicals,922.75,183.00,132.55,0.00,1930.77,0.11,15.61,2400.74,717.02,0.00,70.83,859.60,226.14,0.21,1302.65,289.09,0.00,1.00,7.91,2400.74,1184.62,14.39,343.47,232.88,10.00,555.65,0.21,103.54,12.45,15.72,581.36,646.19,717.02,37.17,,,,,,,,,,,,12231.07
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1358.30,182.63,28.02,0.00,2470.02,0.00,105.63,3283.04,973.10,0.00,187.24,1242.49,0.00,37.32,1974.34,642.87,0.00,0.00,6.78,3283.04,1437.62,4.89,0.00,317.36,2.00,1236.55,0.00,383.11,13.33,105.63,812.26,785.86,973.10,48.52,85.74,24.01,,,118.73,9.00,,,360.63,57.30,,19044.60
Affordable Robo.,541402,,Engineering,559.00,46.22,10.18,0.00,94.29,37.97,0.73,218.00,24.33,0.00,11.94,11.56,17.20,40.04,148.46,96.61,0.00,0.00,0.00,218.00,82.44,0.00,54.18,81.10,10.00,3.22,1.05,45.12,1.12,38.70,60.28,12.40,24.33,15.80,43.81,45.47,10.55,0.77,26.32,24.41,10.00,2.26,14.06,12.17,6.19,628.65
AFLOAT Enterpris,543377,,Trading,12.00,0.00,4.56,0.00,0.55,0.00,0.00,5.17,0.09,0.00,0.07,0.01,0.00,0.00,5.14,0.06,0.00,0.00,0.00,5.17,5.08,0.00,0.00,0.00,10.00,0.02,0.00,0.00,0.46,0.00,5.05,0.01,0.09,0.00,2.94,0.04,,,0.00,0.03,,,0.05,0.00,,5.47
Agarwal Float,,AGARWALFT,Trading,65.15,13.23,7.24,0.00,8.20,8.67,0.31,30.30,0.78,0.00,0.52,0.30,0.00,0.00,29.91,13.66,0.00,0.00,0.00,30.30,28.35,0.00,12.98,12.25,10.00,0.73,0.03,1.15,0.72,8.98,23.86,0.26,0.78,0.00,13.67,,,,11.75,,,,0.32,,,47.19
