Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization
Richa Industries,532766,,Construction,1.47,0.10,-0.27,-43.33,0.21,-0.58,,41.99,-1809.07,17.56,-251.62,0.10,-0.58,-20.59,-94.92,-7.50,107.37,-12.77,-1.38,-0.71,0.00,,-9973.62,0.83,29.20,35.24,28.95,0.65,0.05,0.00,,,-29.79,,6.29,,-1.98,-0.05,3.45
Richa Info,,RICHA,Computers - Hardware,65.00,0.40,-4.21,8.24,1.49,1.86,0.77,42.55,73.08,213.20,11.85,0.40,1.86,11.12,-0.80,11.83,17.06,-12.54,0.72,2.42,0.00,80.99,-50.63,0.03,23.08,43.48,30.00,0.57,-0.83,0.00,56.62,23.64,9.62,29.59,69.38,23.94,2.59,20.00,15.80
Richfield Fin,539435,,Finance & Investments,60.90,12.48,-14.29,24.88,13.75,,1.26,508.74,6.25,19.64,8.59,12.48,,26.95,-0.13,0.80,9.43,-19.00,0.06,1.07,0.00,17.82,0.88,0.15,74.96,21.80,505.37,0.78,-1.78,0.00,29.89,-4.31,4.00,93.45,24.50,-4.25,6.30,67.18,22.84
Rico Auto Inds,520008,RICOAUTO,Auto Ancillaries,137.70,0.86,80.93,10.69,0.88,2.03,-6.75,12.02,55.14,4.75,720.04,0.86,2.03,21.40,-0.10,17.68,1418.12,1.61,0.98,2.66,21.17,34.74,-36.69,0.02,75.35,12.29,74.97,0.88,0.98,21.17,58.26,7.54,8.33,121.78,19.19,7.54,3.62,119.27,1863.00
Riddhi Corporate,540590,,Computers - Software - Medium / Small,83.98,0.57,-23.40,6.01,1.07,1.99,2.05,17.36,-48.13,71.80,56.00,0.57,1.99,13.66,-0.69,21.42,134.36,-2.51,1.97,3.51,0.00,112.36,-108.12,0.03,2.49,65.01,4.98,0.35,10.46,0.00,67.82,19.04,10.60,34.71,25.36,18.98,2.55,120.06,99.65
Riddhi Siddhi Gl,524480,,Trading,588.15,1.56,7.71,5.83,4.94,8.31,5.13,161.63,233.75,-62.60,1536.78,1.56,8.31,6.69,1.25,1.66,815.70,3.35,0.11,1.13,0.00,1062.75,-38.70,0.01,63.54,19.98,77.05,0.80,0.40,0.00,1782.29,46.87,4.03,1.91,610.06,47.06,2.17,14.53,419.33
Riddhi Steel,540082,,Steel - Medium / Small,56.00,0.14,10.60,7.81,1.76,1.57,-14.88,50.80,-4.88,13.23,57.25,0.14,1.57,9.25,-2.21,27.54,190.11,2.54,2.31,3.49,0.00,62.18,-278.03,0.07,43.12,37.98,86.67,0.62,0.44,0.00,94.85,5.22,9.78,7.83,200.49,5.21,3.77,,46.43
RIR Power Electr,517035,,Electronics - Components,1907.00,19.88,-130.87,112.64,3.05,8.60,,93.90,148.21,46.63,62.84,19.88,8.60,123.95,,4.85,97.16,-12.59,0.55,1.50,0.00,290.03,-0.46,0.01,78.16,17.45,310.11,0.83,,0.00,143.30,839.56,13.87,3991.23,89.56,834.76,21.57,477.44,1327.27
Risa Internatio.,530251,,Trading,0.66,,-43.86,-0.82,1.06,-210.00,,,10.00,,5.36,,-210.00,-0.82,-0.19,-0.10,2.07,-1.70,0.29,4.29,0.00,,-14.72,0.00,24.00,46.34,37.50,0.54,-6.19,0.00,,131.59,-35.87,,0.13,131.63,-1.37,-117.00,10.53
Rish.Digh.Steel,531539,,Steel - Medium / Small,34.00,,3.49,1.48,0.57,207.86,0.03,,14937.50,,18.00,,207.86,1.49,1.51,0.26,1.80,37.07,0.17,0.81,0.00,113.89,-15.91,0.00,49.21,36.26,122.80,0.64,0.44,0.00,124.39,1.19,29.93,1.68,3.11,1.18,4.99,1.57,18.67
Rishabh Instrum.,543977,RISHABH,Electric Equipment,451.65,2.50,1545.05,19.69,2.66,13.51,,50.36,-68.18,11.68,559.02,2.50,13.51,29.55,0.14,1.44,629.76,0.20,0.10,1.28,0.00,272.25,5.62,0.08,28.05,28.92,18.86,0.71,2.86,0.00,184.87,22.69,12.72,133.05,90.94,22.70,6.19,744.03,1726.16
Rishabh Sp. Yarn,514177,,Textiles - Processing,82.66,,-1115.91,-228.69,0.32,,,,50.00,,0.34,,,-228.69,-0.02,-2.31,0.02,-4.10,0.88,2.47,0.00,,-1.02,0.00,83.64,4.23,29.16,0.96,-35.67,0.00,,-2975.76,-19.28,,0.06,-2943.00,56.14,-2943.00,29.43
Rishi Laser,526861,,Engineering,132.80,0.87,23.17,9.94,1.17,4.46,0.68,6.37,204.35,10.06,53.92,0.87,4.46,12.35,0.12,1.38,65.58,8.80,0.23,1.68,0.00,66.76,-4.10,0.04,82.27,13.57,268.38,0.86,1.77,0.00,111.95,13.68,12.78,31.32,9.70,13.67,4.71,34.87,122.05
Rishi Techtex,523021,,Packaging,55.75,0.37,12.88,8.53,1.39,1.86,-2.13,32.29,-3.03,7.36,31.84,0.37,1.86,13.28,-0.21,18.62,59.45,5.66,0.82,2.28,0.00,26.83,-60.45,0.03,77.76,14.10,134.74,0.86,0.69,0.00,42.08,7.26,8.10,39.66,48.76,7.25,3.90,128.72,41.19
Rishiroop,526492,,Trading,174.50,2.09,13.74,5.49,4.29,175.88,0.24,43.11,-31.90,-1.25,123.07,2.09,175.88,5.62,0.82,0.02,35.29,,,1.02,6.82,211.56,,0.02,60.97,22.56,83.59,0.77,2.26,6.82,282.26,22.39,17.39,8.55,35.92,22.30,4.63,30.58,159.91
