Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
SAL Automotive,539353,,Automobiles - Tractors,514.20,2.64,92.12,5.03,0.50,5.53,1.08,4.45,0.87,3.58,0.83,2.75,0.00,2.75,5.46,2.99,2.40,11.47,123.29
Salasar Exterior,,SECL,Construction,17.65,-0.07,0.63,-0.22,,,,,,,,,,-0.16,,,,-0.02,181.70
Salasar Techno,540642,SALASAR,Steel - Medium / Small,18.44,37.47,294.70,29.85,0.99,31.48,2.17,29.31,9.45,19.22,4.48,15.15,-0.64,14.73,10.13,5.16,28.57,0.09,3124.23
Salem Erode Inv.,540181,,Finance & Investments,51.90,0.17,0.92,0.45,0.01,0.46,0.13,0.33,0.40,-0.07,0.03,-0.10,0.00,-0.10,48.91,-10.87,,-0.09,59.51
Salguti Industri,526554,,Packaging,41.19,0.93,21.93,0.81,0.15,0.96,0.50,0.46,0.48,-0.02,0.26,-0.28,0.00,-0.28,3.69,-1.28,7.54,-0.37,31.06
Salona Cotspin,590056,SALONA,Textiles - Cotton/Blended,304.90,6.91,146.99,5.01,0.08,5.09,1.26,3.83,3.52,0.31,-2.83,3.14,0.00,3.14,3.41,2.14,5.33,5.97,160.38
Salora Intl.,500370,,Trading,65.47,0.25,23.10,-1.04,-1.33,-0.91,0.05,-0.96,0.28,-2.70,-0.54,-0.70,-1.46,-2.16,-4.50,-3.03,8.81,-2.45,57.70
Salzer Electron.,517059,SALZERELEC,Electric Equipment,904.00,29.41,295.12,23.30,0.19,23.49,4.08,19.41,7.65,11.76,2.80,8.96,0.00,8.96,7.90,3.04,15.98,5.54,1571.39
Sam Industries,532005,,Construction,75.50,0.60,5.59,-0.91,0.21,-0.70,0.08,-0.78,0.07,-0.85,-0.28,-0.56,0.00,-0.56,-16.28,-10.02,11.20,-0.51,83.72
Sambandam Spg.,521240,,Textiles - Cotton/Blended,165.50,-1.25,49.98,2.58,3.33,5.91,3.88,2.03,3.16,-1.13,-0.52,-0.61,0.00,-0.61,5.16,-1.22,4.28,-1.43,70.50
Sambhaav Media,511630,SAMBHAAV,Entertainment / Electronic Media Software,4.63,2.14,11.51,0.63,0.28,1.23,1.82,-0.59,1.18,-2.09,0.15,-1.95,-0.32,-2.24,5.47,-16.94,19.11,-0.12,88.49
Sameera Agro,,SAIFL,Food - Processing - Indian,82.60,9.43,,,,,,,,,,,,,,,,,98.38
Samhi Hotels,543984,SAMHI,Hotels,191.55,84.95,204.78,69.92,14.67,76.70,23.33,53.37,134.93,-73.67,0.01,-81.56,7.89,-73.68,34.14,-39.83,,-8.63,4215.12
Samkrg Pistons,520075,,Auto Ancillaries,217.50,9.04,53.49,8.61,0.92,9.53,4.10,5.43,1.62,3.81,1.30,2.51,0.00,2.51,16.10,4.69,9.82,2.56,213.59
Samor Reality,543376,,Construction,95.41,0.32,0.00,-0.22,0.06,-0.16,0.00,-0.16,0.15,-0.31,0.00,-0.31,0.00,-0.31,,,,-0.14,205.13
Sampann Utpadan,534598,SAMPANN,Miscellaneous,33.00,0.55,16.20,0.49,0.14,0.63,1.22,-0.59,0.29,-0.88,-0.22,-0.65,0.00,-0.65,3.02,-4.01,40.61,-0.16,134.01
Sampre Nutrition,530617,,Food - Processing - Indian,65.90,0.97,11.67,0.43,0.06,0.49,0.43,0.06,0.56,-0.50,0.06,-0.56,0.00,-0.56,3.68,-4.80,4.82,-0.82,47.90
Samrat Forgings,543229,,Castings & Forgings,315.05,2.12,45.23,3.44,0.21,3.65,0.82,2.83,1.47,1.36,0.29,1.07,0.00,1.07,7.61,2.37,5.00,2.14,157.53
Samrat Pharma,530125,,Pharmaceuticals - Indian - Bulk Drugs,346.00,0.11,69.18,-0.49,0.03,-0.46,0.16,-0.62,0.17,-0.79,-0.05,-0.74,0.00,-0.74,-0.71,-1.07,3.09,-2.40,106.91
Samsrita Labs,539267,,Trading,16.01,-0.05,0.02,-0.80,0.15,-0.65,0.00,-0.65,0.00,-0.65,0.00,-0.65,0.00,-0.65,-4000.00,-3250.00,14.81,-0.44,23.71
Samtex Fashion,521206,,Textiles - Products,2.64,-0.14,0.00,-0.09,0.02,-0.07,0.36,-0.43,0.00,-0.43,0.00,-0.43,0.00,-0.43,,,14.92,-0.06,19.67
Samvardh. Mothe.,517334,MOTHERSON,Auto Ancillaries,199.00,2315.93,22516.99,2036.24,34.85,1372.09,839.70,532.39,278.44,952.95,253.85,186.70,699.00,699.10,9.04,0.89,451.76,0.97,134850.82
Samyak Internati,530025,,Trading,31.21,2.04,33.07,3.35,0.60,3.99,2.41,1.58,0.56,0.98,0.01,1.01,-0.04,0.97,10.13,3.05,6.25,1.55,19.48
Sanathnagar Ent.,509423,,Construction,83.39,1.06,0.00,-0.06,1.05,0.99,0.00,0.99,0.00,0.99,0.00,0.99,0.00,0.99,,,3.15,3.14,26.27
Sanblue Corp.,521222,,Trading,50.54,-0.08,3.07,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.04,0.00,-0.04,-0.98,-1.30,5.00,-0.08,25.27
Sanchay Finvest,511563,,Finance & Investments,27.00,0.23,0.44,0.39,0.01,0.40,0.00,0.40,0.00,0.40,0.00,0.39,0.00,0.39,88.64,88.64,,,8.51
Sanco Industries,,SANCO,Plastics Products,9.35,-0.12,1.26,-19.38,0.01,-19.37,0.22,-19.59,0.00,-19.59,0.00,-19.59,0.00,-19.59,-1538.10,-1554.76,13.08,-14.97,12.24
Sanco Trans,523116,,Miscellaneous,750.00,0.78,26.20,0.42,0.98,1.40,1.00,0.40,0.36,0.04,0.22,-0.18,0.00,-0.18,1.60,-0.69,1.80,-1.00,135.00
Sancode Tech.,543897,,Computers - Software - Medium / Small,66.55,-0.70,0.12,-0.43,0.00,-0.43,0.00,-0.43,0.00,-0.43,0.00,-0.43,0.00,-0.43,-358.33,-358.33,,-1.71,27.08
Sandesh,526725,SANDESH,Entertainment / Electronic Media Software,1550.30,25.51,77.12,7.54,7.66,15.20,1.58,13.62,0.03,13.59,2.28,11.31,0.00,11.31,9.78,14.67,7.57,14.94,1173.59
Sandhar Tech,541163,SANDHAR,Auto Ancillaries,574.05,88.60,764.97,67.51,7.82,75.33,32.54,42.79,10.98,31.81,7.09,24.33,0.00,24.72,8.83,3.23,60.19,4.04,3455.22
Sandu Pharma.,524703,,Pharmaceuticals - Indian - Formulations,58.94,0.51,15.26,0.49,0.04,0.53,0.13,0.40,0.02,0.38,0.10,0.27,0.00,0.27,3.21,1.77,8.81,0.28,56.94
Sandur Manganese,504918,SANDUMA,Mining / Minerals / Metals,547.60,17.11,607.71,235.28,16.56,251.84,16.26,235.58,6.90,228.68,54.71,173.97,0.00,173.97,38.72,28.63,9.00,10.74,8873.03
Sangal Papers,516096,,Paper,220.00,2.45,59.76,1.48,0.43,1.91,0.49,1.42,0.60,0.82,0.20,0.62,0.00,0.62,2.48,1.04,1.31,4.74,28.82
Sangam Finserv,538714,,Finance & Investments,107.00,3.93,4.42,1.98,0.00,1.98,0.07,1.91,1.25,0.66,0.29,0.36,0.00,0.36,44.80,8.14,9.32,0.39,99.75
Sangam India,514234,SANGAMIND,Textiles - Spinning - Synthetic / Blended,408.70,45.39,687.70,70.44,-11.99,76.18,12.82,63.36,9.55,36.08,2.81,47.26,-17.73,33.27,10.24,6.87,43.42,7.39,2053.57
Sangani Hospital,,SANGANI,Healthcare,46.90,1.75,9.81,1.63,,,,,,,,,,0.62,,,,0.62,64.61
Sanghi Industrie,526521,SANGHIIND,Cement - North India,98.50,-22.78,225.67,-12.64,1.34,-11.30,23.12,-34.42,70.14,-104.56,0.00,-104.56,0.00,-104.56,-5.60,-46.33,251.00,-4.05,2544.51
Sanghvi Brands,540782,,Miscellaneous,20.00,0.05,4.26,-0.34,,,,,,,,,,-0.56,,,,-0.54,20.83
Sanghvi Movers,530073,SANGHVIMOV,Miscellaneous,1067.95,114.78,126.83,76.58,4.70,81.28,30.68,50.60,5.05,45.55,11.62,33.93,0.00,33.93,60.38,26.75,8.66,7.84,4624.18
Sanginita Chemi.,,SANGINITA,Chemicals,18.56,1.22,33.82,0.58,0.11,0.69,0.14,0.55,0.68,-0.13,-0.04,-0.10,0.00,-0.10,1.71,-0.30,17.27,-0.04,48.08
Sanjiv.Parant.,531569,,Pharmaceuticals - Indian - Formulations,206.50,1.97,8.12,1.43,-0.04,1.39,0.23,1.16,0.16,1.00,0.00,1.00,0.00,1.00,17.61,12.32,10.00,1.00,241.28
Sanmit Infra,532435,,Trading,14.98,4.22,40.21,5.05,0.01,5.06,0.34,4.72,0.21,4.51,1.35,3.15,0.00,3.15,12.56,7.83,15.80,0.20,236.70
Sanofi India,500674,SANOFI,Pharmaceuticals - Multinational,6545.70,187.40,736.50,229.90,43.60,255.70,9.70,246.00,0.30,263.50,73.10,177.59,17.80,190.40,31.22,24.11,,82.78,15074.75
Sanrhea Tech.,514280,,Textiles - Processing,178.80,2.13,15.37,1.67,0.04,1.71,0.29,1.42,0.28,1.14,0.31,0.82,0.00,0.82,10.87,5.34,4.30,1.64,89.40
Sansera Enginee.,543358,SANSERA,Auto Ancillaries,1308.90,120.70,618.58,96.16,4.47,100.63,34.74,65.89,17.29,48.60,13.18,35.14,0.00,35.42,15.55,5.73,10.43,6.64,7053.49
Santosh Fin Fab,530035,,Textiles - Processing,23.00,0.13,4.21,0.11,0.10,0.21,0.05,0.16,0.14,0.02,0.02,0.00,0.00,0.00,2.61,0.00,3.43,0.00,8.10
Sanwaria Consum.,519260,SANWARIA,Food - Processing - Indian,0.49,,,,,,,,,,,,,,,,,,36.07
Sapphire Foods,543397,SAPPHIRE,Hotels,1578.55,121.75,560.41,98.15,11.39,109.54,72.35,37.19,24.90,12.29,-123.20,135.48,0.00,135.48,17.51,24.18,63.54,21.34,10064.29
Saptak Chem &,506906,,Trading,2.84,0.00,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,10.73,-0.01,3.05
Saptarishi Agro,519238,,Food - Processing - Indian,31.99,0.17,12.79,0.36,0.09,0.45,0.01,0.44,0.00,0.44,0.00,0.45,0.00,0.45,2.81,3.52,34.04,0.13,108.84
Sar Auto Prod.,538992,,Auto Ancillaries,2200.00,0.58,3.68,0.20,0.15,0.35,0.32,0.03,0.07,-0.04,0.28,-0.32,0.00,-0.32,5.43,-8.70,4.76,-0.67,1048.24
Sar Televenture,,SARTELE,Transmisson Line Towers / Equipment,241.00,5.20,26.17,4.61,,,,,,,,,,3.43,,,,52.53,361.51
Saraswati Commer,512020,,Finance & Investments,7849.90,39.17,-17.69,-19.07,0.00,-19.07,0.00,-19.07,0.87,-19.94,-2.54,-17.41,0.00,-17.41,,,1.03,-169.05,808.49
Sarda Energy,504614,SARDAEN,Steel - Medium / Small,232.15,188.19,1076.27,214.05,23.58,237.63,45.29,192.34,27.60,164.74,49.23,114.91,0.00,114.91,19.89,10.68,36.05,3.44,8180.52
Sarda Proteins,519242,,Trading,88.80,-0.03,0.74,-0.03,0.04,0.01,0.00,0.01,0.00,0.01,0.05,-0.04,0.00,-0.04,-4.05,-5.41,2.50,-0.23,15.33
Saregama India,532163,SAREGAMA,Entertainment / Electronic Media Software,557.60,65.62,203.66,49.18,17.28,66.46,6.50,59.96,1.69,58.27,14.66,43.61,0.00,43.61,24.15,21.41,19.28,2.27,10762.22
Sarla Performanc,526885,SARLAPOLY,Textiles - Spinning - Synthetic / Blended,107.75,13.02,69.78,10.18,1.75,11.93,8.28,3.65,1.52,2.13,2.10,0.03,0.00,0.03,14.59,0.04,8.35,0.02,899.67
Saroja Pharma In,,SAROJA,Trading,42.50,1.17,23.73,1.45,,,,,,,,,,0.54,,,,1.84,17.09
Sarthak Global,530993,,Finance & Investments,15.08,-0.06,2.40,-0.05,0.87,0.82,0.01,0.81,0.87,-0.06,-0.04,-0.02,0.00,-0.02,-2.08,-0.83,3.00,-0.07,4.52
Sarthak Industri,531930,,Trading,24.78,-0.22,19.99,0.26,1.04,1.30,0.18,1.12,0.30,0.82,0.21,0.61,0.00,0.61,1.30,3.05,6.97,0.66,23.02
Sarthak Metals,540393,SMLT,Mining / Minerals / Metals,198.60,2.45,80.82,7.84,0.62,8.46,0.44,8.02,0.20,7.82,2.04,5.78,0.00,5.78,9.70,7.15,,4.22,271.87
Sarup Industries,514412,,Leather / Leather Products,42.77,0.68,1.09,-0.43,0.01,-0.42,0.25,-0.67,0.61,-1.28,0.00,-1.28,0.00,-1.28,-39.45,-117.43,3.25,-3.94,13.90
Sarveshwar Foods,543688,SARVESHWAR,Food - Processing - Indian,8.76,16.40,129.81,11.24,0.86,12.10,1.69,10.41,7.74,2.67,0.86,1.81,0.00,1.81,8.66,1.39,24.57,0.02,857.45
Sarvottam Finve.,539124,,Finance & Investments,28.85,0.13,0.57,0.45,0.00,0.45,0.00,0.45,0.00,0.45,-0.07,0.52,0.00,0.52,78.95,91.23,7.50,0.69,21.64
Sashwat Technoc,506313,,Construction,175.05,-0.01,0.00,-0.36,0.01,-0.35,0.00,-0.35,0.00,-0.35,0.00,-0.35,0.00,-0.35,,,0.31,-11.43,5.43
Sasken Technol.,532663,SASKEN,Computers - Software - Medium / Small,1759.90,4.81,102.89,14.19,8.38,22.57,1.79,20.78,0.08,20.70,3.63,17.07,0.00,17.07,13.79,16.59,15.05,11.34,2653.55
Sastasundar Ven.,533259,SASTASUNDR,Finance & Investments,337.15,3.43,313.15,-11.17,8.63,-2.48,2.80,-5.28,0.26,-5.60,16.10,-34.35,-0.06,-48.00,-3.57,-15.40,31.81,-10.75,1072.48
Sat Industries,511076,SATINDLTD,Steel - Medium / Small,91.70,15.68,107.07,10.86,7.03,17.89,2.10,15.79,0.93,14.86,3.75,9.63,0.00,11.11,10.14,10.38,22.62,0.85,1037.00
Satchmo Holdings,533202,,Construction,4.18,-22.89,59.93,-20.67,104.96,84.29,0.08,84.21,14.74,69.47,4.11,65.36,0.00,65.36,-34.49,109.06,145.83,4.48,60.95
Satia Industries,539201,SATIA,Paper,128.60,92.19,520.64,136.17,2.78,138.95,112.30,26.65,9.98,16.67,-29.60,46.28,0.00,46.28,26.15,8.89,10.00,4.63,1286.00
Satin Creditcare,539404,SATIN,Finance & Investments,223.75,403.22,429.20,297.17,0.05,297.22,7.81,289.41,157.91,131.50,32.89,98.60,0.00,98.60,69.24,22.97,74.59,11.85,2471.80
Satra Properties,508996,,Construction,1.03,-0.45,0.00,-0.07,0.00,-0.07,0.02,-0.09,0.02,-0.11,0.00,-0.11,0.00,-0.11,,,35.67,-0.01,18.37
Sattrix,544189,,Computers - Software - Medium / Small,198.00,,,,,,,,,,,,,,,,,,134.64
Saumya Cons,539218,,Finance & Investments,211.65,6.96,0.13,-2.64,0.00,-2.64,0.04,-2.68,0.00,-2.68,-0.24,-2.44,0.00,-2.44,-2030.77,-1876.92,6.91,-3.53,146.18
Saurashtra Cem.,502175,SAURASHCEM,Cement - North India,133.80,43.14,471.42,29.81,3.35,33.16,9.84,23.32,1.95,21.37,7.06,14.31,0.00,14.31,6.32,3.04,110.56,2.03,1484.98
Savani Financial,511577,,Finance & Investments,20.72,-0.75,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,61.57
Saven Tech.,532404,,Computers - Software - Medium / Small,55.17,0.96,3.53,0.70,0.07,0.77,0.06,0.71,0.00,0.71,0.19,0.52,0.00,0.52,19.83,14.73,1.09,0.48,60.02
Savera Industrie,512634,,Hotels,127.95,3.23,16.25,3.78,0.64,4.42,0.69,3.73,0.07,3.66,0.98,2.69,0.00,2.69,23.26,16.55,11.93,2.26,152.65
Savita Oil Tech,524667,SOTL,Petrochemicals,558.45,85.54,955.61,47.12,14.29,61.41,5.75,55.66,6.52,49.14,12.72,36.42,0.00,36.42,4.93,3.81,13.82,5.27,3858.92
Sawaca Business,531893,,Trading,0.86,-0.11,0.48,-0.33,0.22,-0.11,0.03,-0.14,0.00,-0.14,-0.13,-0.01,0.00,-0.01,-68.75,-2.08,10.40,0.00,49.20
Sayaji (Indore),544080,,Hotels,1300.50,6.22,29.12,7.58,0.14,7.72,1.69,6.03,0.77,5.26,1.35,3.91,0.00,3.91,26.03,13.43,,,396.21
Sayaji Hot. Pune,544090,,Hotels,888.00,6.89,15.78,5.66,0.10,5.76,0.99,4.77,0.61,4.16,1.08,3.07,0.00,3.07,35.87,19.46,,,270.54
Sayaji Hotels,523710,,Hotels,358.55,11.61,42.83,12.09,2.36,13.20,2.56,10.64,0.77,11.12,4.25,5.61,1.25,6.86,28.23,13.10,17.52,3.92,628.10
Sayaji Industr,540728,,Miscellaneous,168.90,4.15,269.19,2.78,2.85,5.63,3.77,1.86,2.97,-1.11,-0.98,-0.04,0.00,-0.12,1.03,-0.04,3.16,-0.06,106.74
SBC Exports,542725,SBC,Textiles - Products,28.25,3.81,64.87,2.85,1.38,4.23,0.86,3.37,0.78,2.59,0.00,2.59,0.00,2.59,4.39,3.99,21.16,0.08,896.80
SBEC Sugar,532102,,Sugar,56.47,8.40,220.93,27.80,-2.77,25.03,5.35,19.68,5.08,14.60,-0.13,13.64,0.00,14.73,12.58,6.67,47.69,2.86,269.06
SBEC Systems,517360,,Miscellaneous,25.60,0.56,1.07,1.01,0.00,1.01,0.00,1.01,0.26,0.75,-0.13,0.88,0.00,0.88,94.39,82.24,10.00,,25.60
SBFC Finance,543959,SBFC,Finance & Investments,83.11,173.64,207.56,138.75,1.12,139.87,3.08,136.79,78.70,58.09,15.32,42.76,0.00,42.76,66.85,20.60,,0.48,8925.35
SBI Cards,543066,SBICARD,Finance & Investments,727.75,1363.96,3762.16,1197.58,154.41,1351.99,45.06,1306.93,507.26,799.67,203.20,596.47,0.00,596.47,31.83,15.85,943.18,6.30,69212.86
SBI Life Insuran,540719,SBILIFE,Finance & Investments,1493.80,351.70,21295.58,-901.10,1722.65,821.55,0.00,821.55,0.00,821.55,44.70,776.85,0.00,776.85,-4.23,3.65,,7.76,149615.57
SBL Infratech,543366,,Construction,36.10,-0.09,0.08,-0.40,,,,,,,,,,-0.41,,,,-5.05,2.93
SC Agrotech,526081,,Miscellaneous,21.79,-0.18,0.00,-0.23,0.41,0.18,0.00,0.18,0.00,0.18,0.00,0.17,0.00,0.17,,,6.00,0.28,13.07
Scan Projects,531797,,Trading,73.87,0.10,1.45,-0.04,0.00,-0.04,0.01,-0.05,0.01,-0.06,-0.01,-0.06,0.00,-0.06,-2.76,-4.14,4.00,-0.21,21.20
Scan Steels,511672,,Steel - Medium / Small,66.00,8.64,274.72,15.86,2.24,18.10,3.52,14.58,10.82,3.76,1.41,2.35,0.00,2.35,5.77,0.86,,0.45,345.52
Scanpoint Geoma,526544,,Computers - Software - Medium / Small,8.33,0.73,6.21,1.18,0.12,1.30,0.31,0.99,0.52,0.47,0.35,0.14,0.00,0.14,19.00,2.25,13.86,0.00,140.03
Schaeffler India,505790,SCHAEFFLER,Bearings,4650.05,328.09,1693.62,314.68,32.69,347.37,52.45,294.92,0.80,294.12,74.75,219.37,0.00,219.37,18.58,12.95,,14.03,72681.98
Schneider Elect.,534139,SCHNEIDER,Electric Equipment,914.95,110.45,410.51,60.96,3.34,64.90,5.12,59.78,14.34,44.84,0.00,45.44,-0.60,44.84,14.85,11.07,47.82,1.88,21876.44
Scintilla Comm,538857,,Finance & Investments,5.48,0.12,0.19,-0.14,0.01,-0.13,0.00,-0.13,0.01,-0.14,-0.03,-0.10,0.00,-0.12,-73.68,-63.16,10.03,-0.10,5.50
Scoobee Garments,531234,,Textiles - Products,77.06,2.61,13.98,4.74,0.77,5.51,0.60,4.91,0.73,4.18,0.00,4.18,0.00,4.18,33.91,29.90,13.50,3.10,104.03
Scooters India,505141,,Automobiles - Scooters And 3 - Wheelers,78.80,-0.29,0.00,-1.01,1.45,0.44,0.00,0.44,1.36,-0.92,0.00,-0.92,0.00,-0.92,,,87.27,-0.11,687.71
SDC Techmedia,535647,,Entertainment / Electronic Media Software,9.24,-0.36,5.53,1.39,,,,,,,,,,-0.33,,,,-0.51,6.00
Sea TV Network,533268,,Entertainment / Electronic Media Software,8.15,-0.51,2.39,-1.53,3.46,1.93,0.13,1.80,0.10,1.70,0.00,1.70,0.00,1.70,-64.02,71.13,12.02,1.41,9.80
Seacoast Ship.,542753,,Shipping,4.94,0.55,115.50,5.76,0.00,5.76,0.00,5.76,0.56,5.20,3.98,1.22,0.00,1.22,4.99,1.06,33.67,0.02,266.09
Sealmatic India,543782,,Engineering,630.00,8.89,32.91,7.15,,,,,,,,,,5.55,,,,6.13,570.16
SEAMEC Ltd,526807,SEAMECLTD,Shipping,1265.70,90.63,125.84,26.86,-1.28,25.58,31.44,-5.86,1.20,-7.06,-2.42,-4.64,0.00,-4.64,21.34,-3.69,25.43,-1.90,3218.05
Seasons Textiles,514264,,Textiles - Products,16.75,1.06,5.16,1.12,0.05,1.17,0.42,0.75,0.70,0.05,0.12,-0.07,0.00,-0.07,21.71,-1.36,7.49,-0.09,12.55
Secmark Consult.,543234,SECMARK,Computers - Software - Medium / Small,97.02,1.39,6.16,-0.01,0.71,0.70,0.71,-0.01,0.14,-0.15,-0.01,-0.13,0.00,-0.13,-0.16,-2.11,,-0.13,100.72
SecUR Credential,543625,SECURCRED,Miscellaneous,11.50,1.59,12.00,6.45,0.08,6.53,0.95,5.58,0.59,4.99,1.31,3.68,0.00,3.68,53.75,30.67,,0.90,47.23
SecureKloud Tech,512161,SECURKLOUD,Computers - Software - Medium / Small,37.42,-4.43,106.55,-23.33,0.10,-23.23,4.62,-27.85,2.51,-30.36,-4.15,-8.18,0.00,-26.22,-21.90,-24.61,16.09,-2.45,125.03
Sejal Glass,532993,SEJALLTD,Glass & Glass Products,369.95,6.02,12.21,0.01,0.04,0.05,0.21,-0.16,0.84,-1.00,-9.03,8.03,0.00,8.03,0.08,65.77,,7.95,373.65
SEL Mfg. Co,532886,SELMC,Textiles - Cotton/Blended,60.98,-6.12,228.31,-23.44,-2.44,-24.91,24.57,-49.48,11.59,-62.04,0.00,-61.07,-0.97,-62.04,-10.27,-26.75,33.13,-18.72,202.06
Selan Expl. Tech,530075,SELAN,Oil Drilling / Allied Services,725.75,7.36,26.61,3.99,3.95,7.94,0.59,7.35,0.22,7.13,1.78,5.35,0.00,5.35,14.99,20.11,15.20,3.52,1103.11
Sellwin Traders,538875,,Miscellaneous,23.90,0.29,9.94,-1.55,0.00,-1.55,0.00,-1.55,0.00,-1.55,0.00,-1.55,0.00,-1.55,-15.59,-15.59,8.20,-1.89,19.60
Semac Consul,505368,SEMAC,Engineering - Turnkey Services,615.10,-20.25,77.66,5.69,1.35,7.04,0.77,6.27,0.92,5.35,0.60,4.46,0.00,4.75,7.33,6.12,3.07,14.39,188.65
Senco Gold,543936,SENCO,Diamond Cutting / Jewellery,1132.85,182.83,812.79,67.02,7.53,74.55,13.87,60.68,24.52,36.16,9.51,26.64,0.00,26.64,8.25,3.28,,4.77,8802.73
Senthil Infotek,531980,,Computers - Software - Medium / Small,18.33,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.05,0.00,9.25
SEPC,532945,SEPC,Engineering - Turnkey Services,18.77,-1.86,142.23,12.90,7.90,20.80,1.39,19.41,9.34,10.07,30.22,-20.15,0.00,-20.15,9.07,-14.17,971.53,-0.13,2934.92
Sequent Scien.,512529,SEQUENT,Pharmaceuticals - Indian - Bulk Drugs & Formln,118.45,22.25,366.67,-3.37,-59.86,-1.63,14.71,-16.34,10.87,-88.81,3.64,-34.25,-61.60,-92.44,-0.92,-9.34,49.67,-3.75,2955.09
Sera Investments,512399,,Finance & Investments,18.58,7.61,1.48,-7.75,0.00,-7.75,0.00,-7.75,0.25,-8.00,1.39,-9.39,0.00,-9.39,-523.65,-634.46,,-1.88,120.77
Service Care Ltd,,SERVICE,Miscellaneous,55.00,1.52,84.50,2.82,,,,,,,,,,3.05,,,,3.63,63.24
Servoteach Inds.,531944,,Engineering - Turnkey Services,26.18,-0.03,0.00,-0.02,0.28,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,,,4.23,0.66,10.28
Servotech Power,,SERVOTECH,Electric Equipment,88.00,3.00,96.16,8.41,0.26,8.67,0.55,8.12,0.72,7.40,1.59,5.81,0.00,5.81,8.75,6.04,18.67,0.27,1961.55
Seshasayee Paper,502450,SESHAPAPER,Paper,337.20,87.64,573.10,156.86,8.62,165.48,10.25,155.23,1.47,153.76,37.92,115.84,0.00,115.84,27.37,20.21,12.04,18.37,2126.65
Setco Automotive,505075,SETCO,Auto Ancillaries,12.95,12.02,111.45,3.14,-2.79,2.05,9.10,-7.05,39.68,-48.43,0.00,-32.46,-1.70,-48.43,2.82,-41.93,,-2.51,173.23
Setubandhan Inf.,533605,SETUINFRA,Construction,0.92,-0.19,2.76,0.70,0.41,1.11,0.23,0.88,0.00,0.88,0.11,0.77,0.00,0.77,25.36,27.90,12.57,0.06,11.56
Seven Hill Inds.,511760,,Finance & Investments,1.16,0.00,0.00,-0.02,0.11,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,,,13.00,0.01,15.08
Seya Industries,524324,SEYAIND,Chemicals,26.29,0.24,2.47,-8.54,2.47,-6.07,4.43,-10.50,0.00,-10.50,-0.41,-10.08,0.00,-10.08,-345.75,-408.10,26.57,-3.79,69.85
SG Finserve,539199,,Finance & Investments,378.80,47.09,27.54,24.91,0.00,24.91,0.01,24.90,6.16,18.74,4.69,14.05,0.00,14.05,90.45,51.02,5.01,3.40,2082.61
SG Mart,512329,,Trading,456.40,17.03,0.00,-0.50,0.33,-0.17,0.00,-0.17,0.00,-0.17,-0.04,-0.13,0.00,-0.13,,,1.00,-0.06,5090.72
SGN Telecoms,531812,,Cables - Power,0.79,-0.03,0.00,-0.02,0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,,0.00,6.38
Sh. Ajit Pulp,538795,,Paper,234.00,4.98,75.75,3.85,-0.04,3.81,1.79,2.02,0.85,1.17,0.76,0.42,0.00,0.42,5.08,0.55,5.36,0.47,185.09
Sh. Bajrang All.,526981,,Steel - Medium / Small,285.05,-2.20,361.21,2.63,0.61,3.24,0.67,2.57,-0.38,2.95,0.22,13.82,0.00,13.82,0.73,3.83,9.00,15.36,256.55
Sh. Digvijay Cem,502180,SHREDIGCEM,Cement - North India,111.10,49.04,195.20,38.14,2.91,41.05,8.95,32.10,0.01,32.09,7.68,24.42,0.00,24.42,19.54,12.51,144.03,1.68,1637.69
Sh. Dinesh Mills,503804,,Textiles - Products,520.35,2.68,24.14,0.77,8.41,4.07,1.46,2.61,0.32,7.40,0.81,2.72,5.11,6.59,3.19,11.27,5.60,12.77,291.41
Sh. Ganesh Elas.,530797,,Finance & Investments,23.38,1.81,2.06,-1.56,0.02,-1.54,0.04,-1.58,0.02,-1.60,-0.01,-1.59,0.00,-1.59,-75.73,-77.18,5.50,-2.89,12.86
Sh. Hari Chem.,524336,,Dyes And Pigments,76.50,2.29,30.95,-0.94,0.38,-0.56,0.59,-1.15,0.60,-1.75,-0.49,-1.26,0.00,-1.26,-3.04,-4.07,4.45,-2.83,34.04
