Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Add-Shop E-Reta.,541865,,Trading,15.89,4.42,46.89,7.09,0.00,7.09,0.11,6.98,0.05,6.93,4.47,2.46,0.00,2.46,15.12,5.25,19.26,0.87,44.99
Addi Industries,507852,,Textiles - Products,50.07,-0.27,0.00,-0.11,1.10,0.99,0.07,0.92,0.01,0.91,0.15,0.76,0.00,0.76,,,5.40,0.70,54.06
Addictive Learn,,LAWSIKHO,Miscellaneous,307.25,5.68,16.43,-2.32,,,,,,,,,,-1.66,,,,-1660.00,488.83
Adeshwar Meditex,543309,,Healthcare,27.00,2.21,36.30,2.46,,,,,,,,,,0.99,,,,0.69,38.96
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,242.35,26.95,123.11,26.46,0.58,27.04,3.54,23.50,0.64,22.86,6.77,16.09,0.00,16.09,21.49,13.07,21.34,1.49,2662.54
Adhbhut Infra.,539189,,Construction,29.07,0.17,1.32,0.52,0.24,0.76,0.26,0.50,0.06,0.44,0.04,0.39,0.00,0.39,39.39,29.55,11.00,0.35,31.98
Adinath Exim Res,532056,,Finance & Investments,23.88,0.17,0.25,0.21,0.00,0.21,0.00,0.21,0.00,0.21,-0.14,0.35,0.00,0.35,84.00,140.00,4.77,0.81,10.31
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,25.91,-0.29,0.00,-0.32,0.52,0.20,0.02,0.18,0.00,0.18,-0.10,0.27,0.00,0.27,,,6.99,0.40,17.65
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,165.05,43.77,65.91,23.27,4.29,27.56,1.86,25.70,15.93,9.77,2.41,7.37,0.00,7.37,35.31,11.18,5.64,1.31,932.68
Aditya AMC,543374,ABSLAMC,Finance & Investments,648.25,194.27,296.97,158.00,32.20,190.20,8.41,181.79,0.84,180.95,45.38,135.57,0.00,135.57,53.20,45.65,144.00,4.71,18676.05
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,317.90,553.27,2879.73,192.80,38.76,231.56,348.48,-116.92,142.23,-259.15,-64.61,-186.94,0.00,-194.54,6.70,-6.76,938.29,-1.97,32301.87
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,239.45,3036.42,8024.95,2259.29,90.66,2349.95,40.21,2309.74,1477.59,832.15,196.37,608.65,0.00,635.78,28.15,7.92,2416.31,2.52,62306.76
