Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Vardhman Textile,502986,VTL,Textiles - Cotton/Blended,488.35,14121.87,22.37,0.72,1.56,5.46,0.20,7.15,64.13,6.01,0.00,26.01,15826.01,28.92,314.69,1.70,1.09,0.00,1.00,5.00,0.82,1.28,68945.00,64.13,7.51,46.86,1.46,,217.35,7.82,393.25,296.22,23.38,46.86,272.74,13.04,6.29,-0.08,-0.30,16.54,296.18,11.49,7.18,9.74,67848.00
Variman Global,540570,,Trading,18.25,355.09,314.26,0.00,10.88,1.85,0.83,3.58,28.14,1.17,12.47,34.16,381.37,19.46,1.67,6.67,1.64,0.00,3.00,0.00,1.53,2.27,9779.00,24.63,6.72,64.28,3.16,,152.24,5.96,1.48,76.86,48.51,64.28,61.09,67.75,2.84,1.48,0.00,0.00,1.57,9.95,3.07,6.44,10532.00
Varroc Engineer,541578,VARROC,Auto Ancillaries,669.30,10225.98,18.67,0.00,6.83,12.06,0.93,44.21,75.00,4.54,0.00,36.73,11485.41,15.28,97.98,7.04,0.47,17.48,9.00,5.00,1.65,3.06,86738.00,75.00,23.59,23.77,3.72,,-0.21,11.15,275.50,-18.58,94.36,23.77,52.01,8.64,4.22,-0.35,0.71,12.15,63.89,8.13,-10.61,-55.86,88080.00
Varun Beverages,540180,VBL,Food - Processing - Indian,1619.15,210398.95,97.23,0.15,30.33,16.16,0.78,35.20,62.91,1.47,0.04,38.34,215370.40,129.94,53.39,3.84,0.50,23.32,7.00,5.00,1.20,1.93,489887.00,62.89,22.68,8.18,3.49,,37.93,20.94,141.46,76.80,37.38,8.18,106.00,7.16,25.79,-0.79,0.58,4.16,39.28,27.39,15.04,33.54,440278.00
Varyaa Creations,544168,,Trading,83.30,39.90,13.21,0.00,,15.10,0.00,511.86,100.00,11.52,0.00,34.16,36.10,0.48,,1.10,0.22,0.00,3.00,4.00,1.07,33.90,,100.00,513.56,0.00,3.16,,-54.75,20.20,,-70.89,402.55,0.00,331.66,,,,,,,265.88,7.37,395.00,
Vas Infra.,531574,,Construction,3.20,4.83,,0.00,,-44.64,,,48.38,-7.41,0.00,33.28,124.53,1.51,-171.20,0.09,0.00,0.00,2.00,2.00,0.00,-0.54,2656.00,48.38,,-8.69,2.89,,-193693.33,-6.67,,4072.67,19.29,-8.69,4100.66,51.62,0.00,0.00,0.00,0.00,-130.22,,-37.96,,2633.00
Vasa Denticity,,DENTALKART,Trading,608.95,975.31,64.67,0.00,14.27,51.10,0.00,95.26,69.62,2.06,0.00,39.00,961.87,1.60,42.68,7.06,2.88,0.00,5.00,4.00,5.82,1.86,1807.00,69.62,101.92,2.08,6.10,,24.10,22.72,95.08,32.94,20.86,2.08,51.72,29.73,0.00,0.00,-1.04,0.65,,80.11,31.24,70.50,1000.00
Vasa Retail,,VASA,Trading,4.50,2.70,,0.00,,-4.29,,,61.69,-0.99,0.00,34.16,25.15,0.60,-29.64,0.00,0.41,,3.00,2.00,0.00,-0.33,304.00,61.69,-5.30,,3.16,,,-4.29,,,,,,38.31,0.00,0.00,0.00,0.00,-29.22,-116.52,-102.67,,289.00
Vascon Engineers,533156,VASCONEQ,Construction,73.61,1647.66,24.25,0.36,1.65,3.87,0.20,7.18,31.62,5.40,27.89,36.76,1759.28,22.38,44.33,1.61,1.13,0.00,1.00,2.00,0.59,1.79,86480.00,22.80,9.20,93.72,3.11,,240.07,5.02,55.33,162.86,176.68,93.72,245.82,67.34,0.89,0.78,0.00,0.14,41.96,11.34,6.33,11.30,75308.00
Vasu Bhagnani,532011,,Entertainment / Electronic Media Software,298.85,1264.24,156.27,0.00,13.34,5.53,0.31,13.39,74.71,0.88,0.00,41.23,1287.36,4.23,22.40,0.98,1.06,0.00,4.00,2.00,0.40,1.87,2663.00,74.71,8.22,312.96,2.96,,405.29,6.96,34.13,175.93,435.58,312.96,298.55,25.24,0.05,0.05,0.00,0.00,12.11,7.02,2.83,7.05,2630.00
Vasudhagama Ent.,539291,,Trading,31.30,53.78,33.40,0.00,1.27,,0.03,,0.15,3.89,0.00,34.16,54.73,1.72,24.57,,2.59,,1.00,0.00,,,3341.00,0.15,4.43,165.83,3.16,,150.46,4.60,22.76,165.83,,165.83,0.00,99.85,0.00,0.00,0.00,0.00,,,,,3590.00
Vasundhara Rasy.,538634,,Pharmaceuticals - Indian - Bulk Drugs & Formln,247.20,78.56,13.40,0.81,2.46,16.32,0.06,19.95,61.98,12.05,0.00,34.70,70.95,0.32,100.50,5.67,7.37,0.00,7.00,6.00,1.03,1.12,5395.00,61.98,17.84,61.33,3.58,,216.32,21.88,204.19,59.75,40.43,61.33,38.86,38.02,0.00,0.00,0.00,0.00,84.39,28.79,18.62,23.12,5510.00
Vaswani Industri,533576,VASWANI,Steel - Sponge Iron,35.00,105.00,11.62,0.00,0.85,4.63,0.27,7.71,58.33,18.02,0.00,17.94,115.25,3.00,40.55,6.55,1.55,0.00,8.00,6.00,2.00,1.60,14762.00,58.33,10.52,17.14,1.88,,61.29,10.61,52.40,48.59,22.61,17.14,54.06,41.65,0.01,0.01,0.00,0.00,37.55,12.53,2.88,5.49,12140.00
Vax Housing Fin.,531650,,Finance & Investments,2.90,3.48,,0.00,0.08,0.00,0.00,0.00,1.38,0.00,0.00,23.18,3.43,1.20,35.61,,43.00,0.00,2.00,0.00,0.00,1.02,,1.38,0.00,7300.00,1.78,,7026.25,0.00,,7300.00,,7300.00,,,,,,,35.60,0.00,0.00,0.00,
Vaxfab Enterp.,542803,,Trading,10.17,8.55,11.87,0.00,0.68,3.22,0.01,4.96,0.00,1.62,0.00,60.14,8.29,0.84,15.30,3.09,1.61,0.00,6.00,3.00,0.41,1.74,2083.00,0.00,2.83,156.54,5.58,,141.37,0.71,,56.21,123.94,156.54,23.61,100.00,0.00,0.00,0.00,0.00,19.24,4.52,2.22,3.47,1796.00
Vaxtex Cotfab,,VCL,Textiles - Products,1.14,20.95,,0.00,0.59,-0.34,0.20,-0.95,18.10,-27.81,0.00,31.14,27.94,18.38,1.93,21.07,2.37,0.00,2.00,3.00,1.62,1.99,39331.00,18.10,1.65,87.94,2.37,,116.18,-11.93,,-57.70,152.60,87.94,6.96,81.88,0.01,0.00,0.00,0.00,0.69,16.71,6.52,15.50,37536.00
VCU Data Managem,536672,,Trading,6.74,10.43,149.24,0.00,0.35,0.23,0.00,0.23,18.77,1.14,0.00,34.16,9.64,1.55,19.29,,1.51,,3.00,2.00,0.00,1.03,17534.00,18.77,3.59,,3.16,,,0.36,1.67,,,,,81.23,0.00,0.00,0.00,0.00,19.28,2.04,1.22,1.31,18111.00
Vedant Asset,543623,,Finance & Investments,39.49,10.91,45.46,0.00,2.10,4.47,0.00,4.62,73.16,3.02,0.00,23.18,10.60,0.28,18.79,0.22,7.35,0.00,5.00,3.00,0.47,1.03,124.00,73.16,16.00,2.87,1.78,,136.52,5.96,19.17,2.87,,2.87,,26.84,0.00,0.00,0.00,0.00,18.79,5.61,3.79,4.01,118.00
Vedant Fashions,543463,MANYAVAR,Trading,1081.25,26260.89,63.39,0.84,16.39,17.72,0.28,27.60,74.97,2.28,0.00,60.14,26683.60,24.29,65.96,2.33,3.36,2.05,4.00,2.00,0.59,1.46,92083.00,74.97,24.87,150.67,5.58,,297.59,23.63,159.08,200.42,89.44,150.67,139.19,4.27,8.13,0.38,-1.09,12.64,57.66,39.17,21.48,34.03,74379.00
Vedanta,500295,VEDL,Mining / Minerals / Metals,461.35,171493.30,46.57,6.39,5.62,3.47,2.85,10.49,61.95,10.76,99.99,19.15,254872.30,371.72,82.65,5.10,0.36,0.00,4.00,4.00,0.76,6.14,1785798.00,0.00,10.98,9.16,3.52,,-13.74,14.43,145.62,33.05,82.98,9.16,106.86,15.86,8.77,1.03,1.96,13.15,106.06,20.09,7.65,20.40,1909460.00
Vedavaag Systems,533056,,Computers - Software - Medium / Small,51.85,118.85,15.06,1.15,0.98,5.07,0.02,6.25,35.98,8.52,12.12,34.11,117.48,2.29,52.42,0.00,10.24,0.00,6.00,4.00,0.56,1.23,15320.00,31.62,6.69,97.67,3.70,,374.35,7.40,63.71,97.67,,97.67,,64.01,0.00,0.00,0.00,0.00,55.07,7.81,5.25,6.44,12748.00
Veefin Solutions,543931,,Computers - Software - Medium / Small,342.00,772.00,104.47,0.00,6.37,14.29,0.04,16.78,39.84,1.37,0.00,34.11,745.62,2.26,53.81,,4.66,0.00,6.00,2.00,0.48,1.17,1844.00,39.84,16.61,108.90,3.70,,61.39,6.90,63.00,108.90,,108.90,,58.20,0.00,-0.05,0.79,1.95,,18.55,12.59,16.01,1232.00
Veejay Lak. Eng.,522267,,Textiles - Cotton/Blended,60.00,30.41,,0.00,1.51,-7.11,1.42,-20.79,65.24,-4.14,0.00,26.01,58.56,0.51,39.61,4.50,0.36,0.00,7.00,5.00,1.35,3.21,4266.00,65.24,-5.12,18.90,1.46,,31.18,-3.89,,52.94,31.97,18.90,66.01,34.76,0.00,0.00,0.00,0.01,47.28,-20.85,-20.19,-41.59,4297.00
Veekayem Fash.,,VEEKAYEM,Textiles - Products,222.30,130.62,32.42,0.00,3.16,2.80,2.32,10.82,73.04,6.45,0.00,31.14,226.19,0.59,70.22,3.04,0.64,0.00,7.00,2.00,1.70,3.86,208.00,73.04,8.95,72.77,2.37,,152.04,9.67,104.10,168.17,24.49,72.77,119.90,26.58,0.00,0.00,0.37,0.37,63.36,10.20,1.31,5.31,190.00
Veer Energy,503657,,Construction,20.85,31.20,63.65,0.00,0.49,0.72,0.00,0.77,25.74,2.28,0.00,23.53,27.63,1.50,42.78,0.34,8.33,0.00,4.00,1.00,0.13,1.06,20418.00,25.74,1.05,116.02,2.74,,2103.62,0.89,14.57,1008.67,107.63,116.02,1000.28,73.86,0.39,0.00,0.00,0.00,42.56,2.00,2.62,2.72,17359.00
Veer Global Inf.,543241,,Construction,160.00,259.89,178.01,0.00,7.97,2.72,0.29,4.69,72.41,0.78,0.00,36.76,266.26,1.62,20.07,0.67,1.79,0.00,5.00,1.00,0.29,1.72,334.00,72.41,5.40,370.21,3.11,,623.18,2.81,20.15,648.90,269.19,370.21,547.88,27.58,0.00,0.00,0.00,0.00,19.22,4.01,1.44,2.80,320.00
Veeram Securit.,540252,,Trading,8.99,68.00,27.64,0.55,3.08,11.35,0.00,11.81,53.77,4.93,0.00,34.16,67.72,7.56,2.92,1.74,3.63,0.00,8.00,5.00,0.89,0.98,35335.00,53.77,11.21,0.00,3.16,,203.74,14.35,4.62,206.51,0.48,0.00,206.99,46.23,0.00,0.00,0.00,0.00,2.59,11.37,8.55,8.74,35777.00
Veerhealth Care,511523,,Pharmaceuticals - Indian - Formulations,21.80,43.60,106.35,0.00,2.00,1.54,0.00,1.90,30.41,3.10,0.00,26.15,43.36,2.00,10.92,4.55,4.35,0.00,6.00,1.00,0.50,1.22,10991.00,30.41,1.78,108.23,3.36,,288.52,4.59,7.10,77.85,86.35,108.23,55.97,69.59,0.00,0.00,0.00,0.00,10.72,6.33,6.96,8.93,6874.00
Veerkrupa Jewel,543545,,Trading,1.70,22.28,92.85,0.00,1.68,1.60,0.14,1.84,49.42,1.22,0.00,34.16,23.18,13.11,1.01,0.92,1.16,0.00,4.00,2.00,0.92,1.15,1346.00,49.42,1.71,6.85,3.16,,366.32,1.80,0.65,382.11,23.08,6.85,398.34,50.59,0.00,0.00,0.00,0.00,1.00,0.72,0.32,0.45,1122.00
Velan Hotels,526755,,Hotels,6.91,22.09,,0.00,4.05,-1.72,9.16,-18.18,75.00,-1.54,0.00,47.22,71.98,3.20,1.71,,0.55,,5.00,3.00,0.00,11.62,7801.00,75.00,-2.12,,4.25,,,-1.78,,,,,,25.00,0.00,0.00,0.00,0.00,2.05,-3.68,-3.32,-17.04,7080.00
Veljan Denison,505232,,Engineering,1877.80,845.01,41.49,0.35,4.21,9.06,0.03,10.62,74.98,3.58,0.00,43.13,814.32,0.45,445.64,0.80,2.81,0.00,7.00,4.00,0.55,1.12,3553.00,74.98,10.90,83.81,5.46,,229.63,12.26,673.71,495.87,71.64,83.81,483.70,25.01,0.00,0.00,0.00,0.00,406.89,11.09,6.94,8.23,3018.00
Vels Film,,VELS,Entertainment / Electronic Media Software,50.55,65.25,,0.00,1.71,-16.58,3.96,-48.85,73.60,-12.86,0.00,41.23,216.30,1.29,29.62,-0.36,0.35,0.00,3.00,3.00,0.21,3.48,382.00,73.60,-23.51,23.72,2.96,,678.03,-12.16,,23.72,,23.72,,26.14,0.00,0.00,0.27,0.27,41.81,6.27,0.34,1.46,397.00
Venky's (India),523261,VENKEYS,Miscellaneous,1942.40,2736.33,34.61,0.31,2.01,3.85,0.13,5.93,56.11,4.59,0.00,34.07,2809.40,1.41,972.68,16.08,1.71,0.00,8.00,2.00,1.82,1.50,60599.00,56.11,6.43,69.82,3.20,,70.05,6.09,1108.33,37.62,53.38,69.82,21.18,42.43,1.25,0.18,0.09,0.21,921.83,7.76,3.57,5.54,62162.00
Venlon Enterpris,524038,,Packaging,5.75,30.03,,0.00,,-1.98,,,60.38,-0.90,0.00,26.93,144.12,5.22,-15.44,3.30,0.33,0.00,6.00,5.00,0.12,-0.80,5340.00,60.38,-4.65,23.18,1.82,,-615.91,-2.13,,23.18,,23.18,0.00,39.60,0.00,0.00,0.00,0.02,-15.05,-13.21,-58.01,,5256.00
Ventura Textiles,516098,,Textiles - Processing,15.04,29.26,3.10,0.00,,132.07,,,56.82,26.06,0.00,21.29,36.34,1.95,-4.25,0.87,0.16,0.00,4.00,3.00,0.06,-0.86,9759.00,56.82,940.00,8.49,2.79,,-1128.95,676.03,,-423.38,668.70,8.49,236.83,38.10,0.00,0.00,0.00,5.08,-9.10,-51.33,-26.32,,8780.00
Venus Pipes,543528,VENUSPIPES,Steel - Medium / Small,2017.50,4094.78,47.59,0.05,10.12,13.59,0.37,23.61,48.68,3.20,1.52,27.86,4236.47,2.03,200.09,2.93,0.74,0.00,5.00,5.00,1.27,1.56,47062.00,47.94,18.84,80.60,2.94,,115.61,18.18,436.71,113.66,110.29,80.60,143.35,34.05,4.27,-0.54,4.76,13.02,158.75,22.94,11.68,19.58,45875.00
Venus Remedies,526953,VENUSREM,Pharmaceuticals - Indian - Formulations,363.00,485.24,17.04,0.00,0.98,4.64,0.08,6.01,41.76,9.89,0.00,26.15,458.47,1.34,364.74,2.94,2.99,0.00,8.00,4.00,0.98,1.26,19913.00,41.76,5.69,48.85,3.36,,130.27,7.14,418.23,128.65,45.43,48.85,125.23,56.76,1.48,-0.11,0.00,0.00,344.39,7.75,4.50,5.90,19560.00
Vera Synthetic,,VERA,Textiles - Manmade,51.70,25.51,14.17,0.00,1.35,7.76,0.12,9.40,68.66,9.13,0.00,26.24,27.70,0.49,38.28,8.63,2.03,0.00,6.00,2.00,1.70,1.21,109.00,68.66,9.19,84.90,1.98,,110.67,9.54,56.05,111.26,15.95,84.90,42.31,31.34,0.00,0.00,0.00,0.00,38.78,13.29,7.79,9.98,109.00
Veranda Learning,543514,VERANDA,Miscellaneous,209.10,1448.51,,0.00,3.82,-6.04,1.55,-22.80,54.87,-0.16,98.35,94.56,2003.07,6.93,54.49,3.62,0.28,0.00,5.00,4.00,0.29,3.34,12872.00,0.90,-0.21,39.31,4.67,,-107.85,-0.19,,39.31,,39.31,,42.86,1.99,-0.19,0.10,0.28,47.20,-25.24,-17.55,-60.48,11207.00
Veritaas,,VERITAAS,Miscellaneous,140.55,39.68,23.34,0.00,,32.02,0.59,188.89,65.36,6.33,0.00,34.07,41.58,0.28,,392.00,1.01,0.00,6.00,2.00,1.95,5.90,,65.36,87.38,100.15,3.20,,39.50,26.78,,-48.83,149.91,100.15,0.93,,,,,,,53.33,11.00,64.71,
Veritas (India),512229,,Trading,1273.90,3415.33,18.30,0.00,1.36,4.50,0.05,7.76,55.01,6.35,0.00,34.16,3515.17,2.68,936.27,83.44,4.14,0.00,7.00,2.00,0.93,1.65,3248.00,55.01,6.34,157.05,3.16,,128.49,5.24,1211.69,146.35,14.97,157.05,4.27,35.28,9.71,-0.02,0.00,0.00,859.26,4.59,2.33,4.30,3142.00
Vertex Secur.,531950,,Finance & Investments,6.74,49.89,106.15,0.00,5.24,1.06,0.51,5.05,73.41,2.19,0.00,17.68,47.49,7.40,1.29,,1.45,0.00,6.00,2.00,0.19,4.66,10321.00,73.41,8.28,195.10,2.85,,136.44,2.49,1.36,195.10,,195.10,,26.59,0.00,0.00,0.00,0.00,1.23,3.83,-1.12,-5.88,10115.00
Vertexplus Tech.,,VERTEXPLUS,Computers - Software - Medium / Small,162.25,88.90,145.74,0.00,3.84,1.87,0.12,2.73,73.00,1.67,0.00,34.11,91.39,0.55,42.30,,3.22,4.78,3.00,3.00,0.59,1.46,170.00,73.00,9.48,80.06,3.70,,151.39,5.13,33.08,80.06,,80.06,,23.08,3.92,-7.35,0.00,0.00,40.84,14.47,8.23,12.76,184.00
Vertoz Advertis.,,VERTOZ,Computers - Software - Medium / Small,740.00,3131.86,198.47,0.00,19.64,9.83,0.11,13.12,37.52,0.57,0.00,34.11,3138.08,4.23,37.68,,2.63,0.00,3.00,2.00,0.95,1.04,12099.00,37.52,10.19,124.98,3.70,,157.02,8.78,56.42,124.98,,124.98,,39.43,23.06,15.92,0.00,0.00,68.63,19.05,10.20,14.87,10502.00
Vesuvius India,520113,VESUVIUS,Refractories / Intermediates,5180.10,10515.59,44.10,0.25,8.82,14.58,0.01,19.43,55.57,3.28,0.00,42.69,10063.32,2.03,588.06,3.99,2.38,0.00,6.00,4.00,1.10,1.22,22517.00,55.57,20.13,73.57,2.91,,64.88,20.16,1246.59,60.44,117.80,73.57,104.67,19.81,1.57,-0.16,-0.20,23.06,491.62,16.66,9.27,12.33,21474.00
Veto Switchgears,539331,VETO,Electric Equipment,128.10,244.87,13.67,0.77,1.01,5.76,0.09,7.49,45.06,12.97,0.00,58.82,259.49,1.91,128.83,2.25,3.10,0.00,7.00,1.00,0.96,1.27,29603.00,45.06,7.92,161.76,8.34,,257.72,10.74,164.99,275.92,39.57,161.76,153.74,54.94,0.01,0.01,0.00,0.00,121.84,13.10,6.50,9.09,25804.00
Viaz Tyres,,VIAZ,Tyres,59.40,72.77,30.70,0.00,2.17,5.16,0.40,7.62,73.08,5.06,0.00,27.49,83.16,1.23,27.32,3.61,1.70,0.00,5.00,3.00,1.10,1.48,495.00,73.08,7.75,140.29,2.88,,256.59,8.27,34.48,216.75,24.59,140.29,101.05,26.92,0.00,0.00,0.00,0.00,25.39,11.74,5.41,10.88,445.00
Vibhor Steel,544124,VSTL,Steel - Medium / Small,260.00,493.02,27.82,0.00,2.77,5.24,0.81,13.08,73.48,6.87,0.00,27.86,612.52,1.90,93.75,6.59,0.61,2.30,5.00,3.00,3.17,1.90,35955.00,73.48,10.61,17.33,2.94,,67.80,11.00,140.40,61.00,21.36,17.33,65.03,23.79,1.83,,,0.90,,18.21,7.77,25.51,
Vibrant Glo. Cap,538732,,Finance & Investments,94.00,215.35,4.50,1.33,1.40,25.54,0.20,36.52,71.29,24.22,0.00,23.18,239.25,2.29,66.70,13.93,2.42,0.00,8.00,6.00,1.29,1.22,2239.00,71.29,96.03,10.79,1.78,,33.60,27.92,176.73,20.73,21.09,10.79,31.03,28.71,0.00,0.00,0.00,0.00,47.26,0.93,-4.19,-6.96,1023.00
Viceroy Hotels,523796,VHLTD,Hotels,115.65,730.42,131.13,0.00,10.93,1.62,2.52,,95.00,0.59,0.00,47.22,868.38,6.32,10.58,35.72,0.90,0.00,8.00,3.00,0.40,5.14,17367.00,95.00,2.34,20.63,4.25,,-91.34,1.50,9.49,-53.95,82.55,20.63,7.98,3.42,0.00,0.00,0.00,1.58,-104.87,-7.64,-3.89,,22079.00
Victoria Mills,503349,,Construction,5925.00,58.69,80.33,0.82,0.95,1.04,0.00,1.31,56.16,2.45,0.00,33.28,57.94,0.01,6417.85,0.42,2.13,0.00,4.00,2.00,0.24,1.11,3154.00,56.16,1.19,0.00,2.89,,1291.46,1.52,3269.71,1122.36,0.00,0.00,1122.36,43.72,0.00,0.00,0.00,0.13,4868.15,4.30,2.68,3.25,3161.00
Vidhi Specialty,531717,VIDHIING,Dyes And Pigments,435.40,2174.61,59.37,0.23,7.75,11.15,0.07,13.76,64.27,2.36,0.00,37.72,2183.20,4.99,56.27,3.27,3.36,0.00,8.00,3.00,0.92,1.17,18808.00,64.27,13.34,106.27,1.55,,187.43,16.03,96.35,183.65,30.38,106.27,107.76,35.64,0.08,0.01,0.00,0.00,50.33,17.57,11.07,16.15,17814.00
Vidli Restaurant,539659,,Hotels,65.00,75.33,48.30,0.77,3.64,4.18,1.50,9.06,65.90,3.27,0.00,47.22,101.93,1.19,17.84,6.13,1.18,0.00,3.00,3.00,0.71,1.95,1333.00,65.90,8.18,37.48,4.25,,17.06,5.67,22.98,-74.53,186.04,37.48,74.03,34.10,0.00,0.00,0.00,0.00,12.29,18.36,8.37,14.17,1206.00
Vijay Solvex,531069,,Solvent Extraction,1130.10,361.95,154.02,0.00,1.25,0.67,0.03,0.83,68.23,1.49,0.00,21.13,273.67,0.32,887.19,23.34,3.58,0.00,6.00,4.00,5.21,1.24,4914.00,68.23,1.36,4.12,2.46,,17.96,1.33,382.72,14.00,4.89,4.12,14.77,31.78,0.00,0.00,0.00,0.00,878.63,6.67,3.64,5.47,5335.00
Vijay Textiles,530151,,Textiles - Processing,12.45,22.79,,0.00,0.35,-1.84,3.35,-9.54,74.77,0.85,50.27,21.29,226.34,1.83,35.01,0.12,1.33,0.00,7.00,1.00,0.07,5.45,7268.00,37.18,-0.33,2225.46,2.79,,3013.06,0.54,,4941.35,757.15,2225.46,3473.03,25.23,0.00,0.00,0.00,0.00,38.81,-2.54,-4.90,-22.73,7268.00
Vijaya Diagnost.,543350,VIJAYA,Healthcare,763.05,7828.68,65.03,0.13,11.89,13.20,0.39,20.03,54.06,2.35,0.00,42.74,8014.78,10.26,64.21,18.10,2.83,0.00,7.00,5.00,0.60,1.40,66724.00,54.06,15.46,10.82,5.67,,56.97,18.80,129.52,-144.07,183.78,10.82,28.89,5.03,20.09,0.14,0.98,20.80,53.37,18.45,10.79,16.57,66204.00
Viji Finance,537820,VIJIFIN,Finance & Investments,3.32,47.32,394.26,0.00,3.87,0.49,1.09,0.99,49.63,0.66,0.00,23.18,60.44,14.25,0.86,,0.60,0.00,4.00,4.00,0.08,2.01,54793.00,49.63,14.52,0.00,1.78,,-117.25,1.43,0.40,0.00,,0.00,,50.38,0.00,0.00,0.00,0.00,0.85,4.25,2.19,3.70,51321.00
Vikalp Securitie,531334,,Finance & Investments,42.52,12.97,648.50,0.00,2.99,0.45,0.00,0.46,47.71,0.16,0.00,23.18,12.90,0.31,14.22,,88.33,0.00,4.00,2.00,0.00,1.02,2205.00,47.71,0.76,,1.78,,,0.46,4.58,,,,,52.28,0.00,0.00,0.00,0.00,14.12,0.23,0.00,0.00,2102.00
Vikas Ecotech,530961,VIKASECO,Diversified - Medium / Small,3.91,691.57,104.61,0.00,1.44,1.71,0.05,2.15,10.66,2.25,2.16,36.52,707.49,176.87,2.71,5.98,1.50,0.00,5.00,3.00,0.64,1.03,501059.00,10.43,10.27,102.38,1.93,,116.55,3.65,1.70,119.27,44.91,102.38,61.80,89.34,0.01,0.00,0.00,0.00,2.51,6.76,2.73,4.02,383102.00
Vikas Lifecare,542655,VIKASLIFE,Trading,5.52,939.60,50.82,0.00,1.80,3.59,0.07,4.46,12.17,2.76,0.03,34.16,960.25,170.22,3.02,38.57,4.30,0.00,4.00,3.00,0.87,1.03,729374.00,12.17,8.04,119.54,3.16,,154.43,4.57,2.40,114.71,12.85,119.54,8.02,83.73,4.08,-2.70,0.00,0.00,2.31,-6.65,-4.12,-5.93,571169.00
Vikas Proppant,531518,,Miscellaneous,0.52,26.77,,0.00,0.15,0.06,0.26,0.12,,-21.19,,34.07,75.32,51.47,3.64,,0.98,0.00,4.00,2.00,0.06,2.11,,,0.11,2651.82,3.20,,686.54,-4.13,,2651.82,,2651.82,,,,,,,3.92,1.94,0.96,1.98,
Vikas Wsp,519307,,Chemicals,1.63,33.35,,0.00,0.04,-2.17,0.37,-3.82,14.55,-10.62,56.92,39.79,334.41,20.44,40.24,0.00,0.89,0.00,4.00,2.00,0.00,1.80,66064.00,6.27,-4.27,,3.67,,,-2.40,,,,,,85.31,0.00,0.00,0.00,0.12,42.68,-4.12,-3.92,-6.39,66431.00
Vikram Thermo,530477,,Pharmaceuticals - Indian - Bulk Drugs & Formln,173.10,542.82,21.37,0.29,4.79,18.81,0.06,24.98,65.94,6.40,0.00,34.70,546.68,3.14,36.16,4.75,2.87,0.00,8.00,5.00,0.94,1.19,12229.00,65.94,22.28,113.51,3.58,,153.28,24.67,81.09,125.51,79.61,113.51,91.61,34.06,0.00,0.00,0.00,0.00,28.56,24.61,14.60,20.72,11284.00
Vilas Transcore,,VILAS,Steel - Medium / Small,517.85,1267.71,55.05,0.00,,12.20,0.00,16.81,73.17,2.76,0.00,27.86,1195.43,2.45,,4.89,3.65,0.14,6.00,3.00,1.64,1.38,3073.00,73.17,18.13,49.95,2.94,,70.07,16.04,,76.32,48.29,49.95,74.66,16.37,4.99,,,5.47,,21.87,11.02,15.64,
Vilin Bio Med,,VILINBIO,Pharmaceuticals - Indian - Bulk Drugs,19.80,27.62,172.62,0.00,1.21,0.90,0.30,1.50,64.52,3.59,0.00,32.00,28.40,1.40,16.37,14.78,1.53,0.00,2.00,1.00,0.89,1.66,585.00,64.52,5.89,228.01,3.40,,259.89,3.15,6.50,219.31,33.39,228.01,24.69,35.48,0.00,0.00,0.00,0.00,,17.17,8.00,13.83,659.00
Vimta Labs,524394,VIMTALABS,Miscellaneous,478.45,1060.77,27.61,0.42,3.33,10.16,0.06,12.87,36.92,5.06,0.00,34.07,1055.52,2.22,142.66,2.06,2.44,27.67,6.00,3.00,0.83,1.20,18550.00,36.92,14.52,100.72,3.20,,102.14,13.40,237.04,224.31,61.12,100.72,184.71,56.45,5.13,2.25,0.01,1.50,126.80,24.16,14.14,18.33,19957.00
Vinati Organics,524200,VINATIORGA,Chemicals,1888.10,19573.13,60.52,0.37,7.96,12.04,0.00,13.81,74.28,2.22,0.84,39.79,19565.04,10.37,237.73,5.90,3.76,0.00,5.00,2.00,0.71,1.09,106894.00,73.65,15.54,101.74,3.67,,145.18,15.43,408.48,137.03,36.33,101.74,71.61,13.46,4.93,0.22,-0.25,7.30,215.87,30.35,19.75,22.63,107022.00
Vinayak Polycon,534639,,Packaging,24.79,7.64,26.34,0.00,1.60,2.59,0.92,6.26,59.67,6.68,0.00,26.93,11.98,0.31,15.51,7.16,1.02,0.00,9.00,4.00,1.92,2.34,1017.00,59.67,6.82,65.16,1.82,,94.01,7.67,18.12,117.92,8.12,65.16,60.88,40.33,0.00,0.00,0.00,0.00,14.57,5.63,0.75,1.81,979.00
